epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.323,2.38668,9.35089,2.22739,0,0,0,0,1.90631,4.034,1.7358,0.000172086,0.000172086,0.000172086
2,36.8891,1.68797,7.61418,1.77155,0.00615,0.32434,0.01223,0.00419,1.70924,3.95721,1.69108,0.000330222,0.000330222,0.000330222
3,53.6771,1.32193,6.50812,1.45049,0.00837,0.50066,0.05857,0.02818,1.52848,3.75777,1.58674,0.000471001,0.000471001,0.000471001
4,68.9943,1.09626,7.00973,1.26711,0.68215,0.06382,0.1672,0.09509,1.44876,3.42252,1.47137,0.000447889,0.000447889,0.000447889
5,84.6141,1.02979,5.57564,1.24866,0.8604,0.09916,0.16973,0.11541,1.37875,3.11449,1.44411,0.000421852,0.000421852,0.000421852
6,100.309,1.00265,5.46785,1.23916,0.74534,0.12116,0.17752,0.12021,1.37811,3.17912,1.42997,0.000395815,0.000395815,0.000395815
7,116.245,0.87983,4.56677,1.15088,0.64409,0.19069,0.20642,0.14693,1.3991,2.79484,1.40903,0.000369778,0.000369778,0.000369778
8,133.437,0.80972,4.64287,1.08127,0.67678,0.17367,0.21831,0.15894,1.36588,2.62588,1.41241,0.000343741,0.000343741,0.000343741
9,148.583,0.69728,4.3873,1.03047,0.80315,0.18284,0.22998,0.16625,1.38082,2.57886,1.43688,0.000317704,0.000317704,0.000317704
10,164.296,0.64097,3.90761,0.98873,0.57493,0.21016,0.22028,0.16193,1.3801,2.53255,1.45136,0.000291667,0.000291667,0.000291667
11,179.233,0.55639,4.1195,0.95459,0.57826,0.2164,0.22929,0.16856,1.37784,2.56948,1.42683,0.00026563,0.00026563,0.00026563
12,193.381,0.52439,4.11405,0.93235,0.67662,0.21763,0.22624,0.17014,1.38836,2.64656,1.43057,0.000239593,0.000239593,0.000239593
13,207.983,0.47121,3.42951,0.93896,0.69302,0.20529,0.23121,0.1731,1.37765,2.55129,1.44321,0.000213556,0.000213556,0.000213556
14,224.186,0.44977,3.16245,0.92095,0.6732,0.21075,0.22218,0.16765,1.35974,2.71482,1.41895,0.000187519,0.000187519,0.000187519
15,240.257,0.39914,3.26683,0.8926,0.79835,0.21472,0.23889,0.17484,1.36046,2.52829,1.42668,0.000161482,0.000161482,0.000161482
16,254.772,0.39512,3.58093,0.88461,0.80741,0.20983,0.24065,0.1717,1.38031,2.47088,1.4374,0.000135445,0.000135445,0.000135445
17,269.266,0.39571,3.67669,0.88139,0.81812,0.20503,0.23996,0.17205,1.36035,2.43583,1.42121,0.000109408,0.000109408,0.000109408
18,283.66,0.36616,2.912,0.88693,0.82732,0.21338,0.24498,0.1778,1.34525,2.41846,1.41986,8.3371e-05,8.3371e-05,8.3371e-05
19,297.962,0.34519,2.85532,0.87655,0.82813,0.21322,0.2465,0.18169,1.33993,2.39215,1.4168,5.7334e-05,5.7334e-05,5.7334e-05
20,312.4,0.31203,3.42278,0.85405,0.81632,0.21648,0.24611,0.18119,1.34067,2.43411,1.41106,3.1297e-05,3.1297e-05,3.1297e-05
