epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.979,1.42069,7.17741,1.19745,0.7616,0.28431,0.3084,0.18934,1.27995,1.75549,1.10713,0.00019583,0.00019583,0.00019583
2,426.787,1.26426,4.58091,1.0984,0.59848,0.45467,0.43697,0.26171,1.30302,1.60611,1.12781,0.000384071,0.000384071,0.000384071
3,637.412,1.21045,3.07116,1.06781,0.65702,0.42411,0.4682,0.28969,1.31574,1.37813,1.11513,0.000564552,0.000564552,0.000564552
4,844.212,1.13202,2.0909,1.01888,0.53717,0.51227,0.49764,0.30518,1.2788,1.46162,1.12185,0.000553073,0.000553073,0.000553073
5,1048.36,1.06152,1.49515,0.9971,0.60989,0.48967,0.51404,0.3221,1.25725,1.43179,1.09761,0.00054143,0.00054143,0.00054143
6,1252.47,0.95321,1.19347,0.94405,0.54243,0.55678,0.53994,0.32609,1.27975,1.3563,1.10758,0.000529788,0.000529788,0.000529788
7,1456.71,0.9175,0.9751,0.9373,0.53406,0.57817,0.57742,0.35819,1.26491,1.29542,1.09914,0.000518146,0.000518146,0.000518146
8,1657.57,0.84563,0.84411,0.90785,0.56394,0.61595,0.60187,0.37873,1.28306,1.25383,1.09355,0.000506503,0.000506503,0.000506503
9,1862.07,0.78201,0.73731,0.88061,0.64367,0.54472,0.59456,0.37199,1.23316,1.23349,1.09998,0.000494861,0.000494861,0.000494861
10,2076.25,0.73806,0.67228,0.87306,0.63508,0.60876,0.60534,0.37259,1.27858,1.26128,1.11634,0.000483218,0.000483218,0.000483218
11,2283.39,0.68756,0.62412,0.85447,0.56576,0.55565,0.59415,0.36479,1.22523,1.23274,1.10648,0.000471576,0.000471576,0.000471576
12,2496.44,0.64277,0.56234,0.84091,0.48413,0.67825,0.57933,0.36136,1.21471,1.20594,1.09504,0.000459934,0.000459934,0.000459934
13,2712.06,0.61957,0.53676,0.83428,0.59288,0.64074,0.58687,0.38217,1.21003,1.2107,1.08823,0.000448291,0.000448291,0.000448291
14,2918.92,0.59011,0.49347,0.82764,0.57039,0.60593,0.61802,0.38989,1.21265,1.16502,1.10514,0.000436649,0.000436649,0.000436649
15,3136.93,0.56058,0.46517,0.81692,0.68721,0.58934,0.64383,0.40209,1.21122,1.15757,1.1068,0.000425006,0.000425006,0.000425006
16,3352.43,0.52179,0.43278,0.80922,0.61703,0.62444,0.6577,0.40794,1.21716,1.14228,1.12147,0.000413364,0.000413364,0.000413364
17,3562.98,0.49355,0.40813,0.81074,0.60067,0.70415,0.65358,0.41197,1.19367,1.11486,1.10824,0.000401722,0.000401722,0.000401722
18,3772.43,0.47096,0.39321,0.79805,0.71967,0.62799,0.63328,0.4031,1.20568,1.14199,1.1167,0.000390079,0.000390079,0.000390079
19,3975.88,0.44854,0.37386,0.79324,0.67701,0.56676,0.62189,0.38769,1.22537,1.18117,1.12319,0.000378437,0.000378437,0.000378437
20,4181.93,0.43133,0.35734,0.79347,0.63302,0.7028,0.65576,0.42395,1.20004,1.11708,1.10671,0.000366794,0.000366794,0.000366794
21,4388.47,0.41887,0.34751,0.78852,0.59484,0.73023,0.65427,0.40654,1.2038,1.13595,1.12747,0.000355152,0.000355152,0.000355152
22,4595.03,0.39976,0.3285,0.78189,0.66291,0.59769,0.63711,0.40541,1.18075,1.14122,1.11523,0.00034351,0.00034351,0.00034351
23,4800.52,0.3794,0.31964,0.78215,0.62203,0.66513,0.64788,0.41059,1.1863,1.10257,1.10988,0.000331867,0.000331867,0.000331867
24,5006.91,0.35659,0.30782,0.77606,0.61018,0.70573,0.65773,0.42715,1.17755,1.13035,1.11959,0.000320225,0.000320225,0.000320225
25,5215.45,0.3484,0.2986,0.77873,0.68845,0.61551,0.6686,0.43453,1.17518,1.08571,1.11397,0.000308582,0.000308582,0.000308582
26,5424.25,0.34816,0.29426,0.77555,0.66616,0.63014,0.64966,0.41109,1.1881,1.09534,1.11216,0.00029694,0.00029694,0.00029694
27,5631.67,0.32311,0.28118,0.77282,0.69568,0.6246,0.66243,0.41877,1.17333,1.09564,1.10604,0.000285298,0.000285298,0.000285298
28,5840.01,0.31494,0.27138,0.77287,0.65308,0.62128,0.65389,0.42295,1.15595,1.08819,1.10689,0.000273655,0.000273655,0.000273655
29,6058.65,0.29913,0.26218,0.7707,0.69654,0.57323,0.64389,0.42252,1.16798,1.10022,1.09955,0.000262013,0.000262013,0.000262013
30,6281.12,0.2876,0.25686,0.76869,0.63314,0.63095,0.64739,0.41559,1.16699,1.08919,1.11195,0.00025037,0.00025037,0.00025037
31,6488.69,0.27452,0.24797,0.76766,0.68279,0.62846,0.65854,0.42822,1.15588,1.09363,1.1049,0.000238728,0.000238728,0.000238728
32,6693.21,0.26822,0.23954,0.76858,0.70556,0.58633,0.65378,0.42482,1.16068,1.10804,1.11773,0.000227086,0.000227086,0.000227086
33,6904.87,0.26196,0.23521,0.76459,0.63617,0.62429,0.63949,0.41843,1.15745,1.09558,1.11032,0.000215443,0.000215443,0.000215443
34,7095.21,0.24059,0.22529,0.76508,0.71511,0.61317,0.66304,0.42502,1.15548,1.12431,1.11501,0.000203801,0.000203801,0.000203801
35,7282.1,0.23794,0.22014,0.76043,0.63223,0.64602,0.65358,0.42617,1.14728,1.10979,1.10303,0.000192158,0.000192158,0.000192158
36,7468.65,0.23222,0.21722,0.75985,0.65422,0.63135,0.65521,0.42805,1.15686,1.10452,1.11261,0.000180516,0.000180516,0.000180516
37,7656.56,0.22742,0.21111,0.76225,0.68465,0.61673,0.65659,0.42842,1.15798,1.10086,1.11381,0.000168874,0.000168874,0.000168874
38,7846.04,0.21348,0.20488,0.76069,0.69008,0.5963,0.65454,0.42527,1.14541,1.13779,1.11171,0.000157231,0.000157231,0.000157231
39,8034.71,0.20713,0.19991,0.75583,0.67944,0.58839,0.64873,0.42305,1.14686,1.11426,1.11219,0.000145589,0.000145589,0.000145589
40,8221.44,0.1973,0.1952,0.75768,0.74277,0.60953,0.64927,0.42221,1.14745,1.15743,1.11191,0.000133946,0.000133946,0.000133946
41,8408.11,0.19142,0.1893,0.75651,0.68066,0.59276,0.65109,0.42625,1.14575,1.1537,1.1144,0.000122304,0.000122304,0.000122304
42,8594.38,0.18617,0.18771,0.75543,0.65415,0.62153,0.64355,0.42381,1.14634,1.15804,1.11156,0.000110662,0.000110662,0.000110662
43,8780.9,0.17815,0.1824,0.75686,0.64824,0.6175,0.64621,0.4248,1.14607,1.15678,1.11563,9.90192e-05,9.90192e-05,9.90192e-05
44,8968.7,0.17608,0.17914,0.75595,0.64438,0.62705,0.65052,0.42476,1.14768,1.14803,1.11609,8.73768e-05,8.73768e-05,8.73768e-05
45,9183.63,0.1696,0.17499,0.75433,0.65845,0.62451,0.65456,0.42792,1.14007,1.15618,1.11041,7.57344e-05,7.57344e-05,7.57344e-05
46,9389.53,0.16147,0.17104,0.75314,0.67512,0.59954,0.65788,0.43022,1.14049,1.15076,1.1145,6.4092e-05,6.4092e-05,6.4092e-05
47,9585.39,0.15604,0.16722,0.75351,0.64654,0.62506,0.64921,0.42735,1.13869,1.17299,1.11435,5.24496e-05,5.24496e-05,5.24496e-05
48,9782.25,0.1529,0.16352,0.75489,0.63939,0.62786,0.64576,0.42549,1.14202,1.17084,1.11756,4.08072e-05,4.08072e-05,4.08072e-05
49,9977.63,0.14491,0.16229,0.74918,0.66186,0.61642,0.65168,0.42959,1.14062,1.16433,1.1148,2.91648e-05,2.91648e-05,2.91648e-05
