image_path,class_id,class_name,gt_bbox,area,area_bin,brightness,contrast,local_std,is_dark,is_low_contrast,tile_position,touches_tile_border,original_status,transform_name,recovered,recovered_iou,recovered_conf,predicted_class_after_transform,before_iou,before_conf,iou_gain,conf_gain,notes
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\105acebc-2025-05-09-18-24-19ps5_tile_0000.jpg,7,碰伤,"[912.9993896484375, 569.9989013671875, 931.0013427734375, 578.998779296875]",162.01538062095642,tiny,33.98765432098765,11.577429966155993,11.577429966155993,True,True,edge,False,FN,clahe_clip2,False,0.33743980526924133,0.8883265256881714,7,0.3009812533855438,0.9500972628593445,0.03645855188369751,-0.061770737171173096,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\13d91ebd-2025-04-13-11-32-17ps5_tile_0010.jpg,7,碰伤,"[525.0022583007812, 711.0015869140625, 550.0011596679688, 735.0010986328125]",599.9614263176918,tiny,31.981666666666666,9.476884010873803,9.476884010873803,True,True,center,False,FN,clahe_clip2,False,,,,0.0,0.837761402130127,0.0,-0.837761402130127,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\182e7d02-2025-04-22-16-40-10ps5_NGyuan_tile_0001.jpg,7,碰伤,"[494.002197265625, 576.0, 531.0013427734375, 586.0003662109375]",370.0050045698881,tiny,40.229729729729726,15.822279277922496,15.822279277922496,True,True,center,False,FN,clahe_clip2,False,0.09018060564994812,0.7752948999404907,7,0.0,0.8648220896720886,0.09018060564994812,-0.0895271897315979,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\182e7d02-2025-04-22-16-40-10ps5_NGyuan_tile_0007.jpg,12,锡膏,"[311.99896240234375, 112.99890899658203, 425.9998779296875, 240.99993896484375]",14592.2346048248,medium,80.68414199561404,25.61158079643109,25.61158079643109,False,False,edge,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-39-23ps5_tile_0007.jpg,4,油污,"[15.00006103515625, 628.000244140625, 304.99993896484375, 725.000732421875]",28130.129760682583,medium,54.22619978670458,15.326970402266443,15.326970402266443,True,True,edge,False,FN,clahe_clip2,False,0.0,0.914146900177002,4,0.1353103369474411,0.5343640446662903,-0.1353103369474411,0.37978285551071167,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-39-23ps5_tile_0012.jpg,4,油污,"[15.00006103515625, 569.0004272460938, 304.99993896484375, 666.0009155273438]",28130.129760682583,medium,54.22321365090651,15.3365902471285,15.3365902471285,True,True,edge,False,FN,clahe_clip2,False,0.17081740498542786,0.4314355254173279,4,0.14986126124858856,0.9171929359436035,0.020956143736839294,-0.48575741052627563,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0005.jpg,4,油污,"[359.9989929199219, 440.0005187988281, 402.0003967285156, 532.0007934570312]",3864.140686420724,small,34.52329192546584,26.149523784041858,26.149523784041858,True,False,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0006.jpg,4,油污,"[66.00038146972656, 801.9993286132812, 299.999755859375, 866.9998168945312]",15210.073592834175,medium,28.58500986193294,14.81777230950077,14.81777230950077,True,True,corner,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0007.jpg,6,漏背锡,"[551.99951171875, 300.00128173828125, 830.99853515625, 412.000244140625]",31247.601136267185,medium,87.3754160266257,51.00135128257115,51.00135128257115,False,False,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0010.jpg,4,油污,"[359.9989929199219, 380.99969482421875, 402.0003967285156, 472.99993896484375]",3864.1394046396017,small,34.53933747412008,26.137962230065977,26.137962230065977,True,False,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0010.jpg,4,油污,"[357.00018310546875, 160.0, 403.999755859375, 267.9992370605469]",5075.917999593541,small,44.630220646178095,27.09347754794195,27.09347754794195,True,False,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-10-15-40-40ps5_tile_0012.jpg,6,漏背锡,"[551.99951171875, 241.00146484375, 830.99853515625, 353.00042724609375]",31247.601136267185,medium,87.37426395289299,51.00970071261489,51.00970071261489,False,False,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-16-16-13-18ps5_tile_0006.jpg,3,开裂,"[632.9978637695312, 607.0006103515625, 825.9993286132812, 713.0009765625]",20458.22595268488,medium,54.9853358099521,35.48760494371061,35.48760494371061,True,False,center,False,FN,clahe_clip2,False,,,8,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-16-16-13-18ps5_tile_0006.jpg,7,碰伤,"[877.9985961914062, 616.00048828125, 898.9998168945312, 624.0]",167.99951112270355,tiny,36.892857142857146,13.2718982181497,13.2718982181497,True,True,edge,False,FN,clahe_clip2,False,,,8,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-16-16-13-18ps5_tile_0007.jpg,7,碰伤,"[234.0009002685547, 616.0005493164062, 269.00018310546875, 626.0009155273438]",350.00564548932016,tiny,35.331428571428575,10.488572596022816,10.488572596022816,True,True,center,False,FN,clahe_clip2,False,,,,,,0.0,0.0,clahe clip_limit=2.0 tile=8
E:\TJGY\MinPaper\MyAutoAugument\outputs\datasets\tiled\tiled_1024_ov20_full_safe_no_ok_position\images\val\2025-05-16-16-13-18ps5_tile_0011.jpg,3,开裂,"[632.9978637695312, 548.0007934570312, 825.9993286132812, 654.0011596679688]",20458.22595268488,medium,54.97976341773389,35.4759722846913,35.4759722846913,True,False,center,False,FN,clahe_clip2,False,,,8,,,0.0,0.0,clahe clip_limit=2.0 tile=8
