epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,555.357,1.42999,3.72023,1.14695,0.52886,0.22305,0.20326,0.1258,1.3542,2.40074,1.24598,0.00019583,0.00019583,0.00019583
2,1096.1,1.25017,2.16575,1.04588,0.43525,0.32387,0.27725,0.16157,1.55265,2.41924,1.38503,0.000384071,0.000384071,0.000384071
3,1599.4,1.1998,1.65318,1.03474,0.44002,0.32701,0.26083,0.15011,1.45444,2.54852,1.34503,0.000564552,0.000564552,0.000564552
4,2096.44,1.16045,1.34612,1.02592,0.3837,0.31282,0.29621,0.17469,1.4543,2.11382,1.31634,0.000553073,0.000553073,0.000553073
5,2597.15,1.10738,1.12923,0.99796,0.58195,0.34499,0.33191,0.19861,1.45678,2.60834,1.3062,0.00054143,0.00054143,0.00054143
6,3086.96,1.09043,1.02205,0.99216,0.5941,0.33811,0.35394,0.2204,1.42438,2.27207,1.32953,0.000529788,0.000529788,0.000529788
7,3578.65,1.04789,0.92476,0.98094,0.63131,0.37503,0.39249,0.2344,1.41639,1.84733,1.32328,0.000518146,0.000518146,0.000518146
8,4071.86,1.02458,0.85744,0.96825,0.54022,0.34898,0.34629,0.19929,1.46135,2.26179,1.32111,0.000506503,0.000506503,0.000506503
9,4557.23,1.0056,0.8026,0.9638,0.47417,0.44764,0.40402,0.2497,1.38185,1.77953,1.29382,0.000494861,0.000494861,0.000494861
10,5044.63,0.99379,0.76661,0.95567,0.42698,0.45359,0.40604,0.25201,1.43013,1.82603,1.32533,0.000483218,0.000483218,0.000483218
11,5535.58,0.97751,0.72627,0.9497,0.48112,0.41125,0.41016,0.24419,1.50047,2.29065,1.35299,0.000471576,0.000471576,0.000471576
12,5988.66,0.95225,0.70804,0.93986,0.49547,0.46267,0.40668,0.23134,1.48868,2.12906,1.35394,0.000459934,0.000459934,0.000459934
13,6437.85,0.94644,0.67566,0.93797,0.54423,0.42735,0.47042,0.29,1.38947,1.75801,1.31007,0.000448291,0.000448291,0.000448291
14,6890.84,0.91448,0.65058,0.92683,0.53631,0.4209,0.43475,0.26305,1.41234,2.24953,1.30234,0.000436649,0.000436649,0.000436649
15,7339.16,0.89329,0.62699,0.92376,0.50716,0.48192,0.46183,0.2698,1.43709,1.76596,1.3137,0.000425006,0.000425006,0.000425006
16,7789.87,0.89318,0.61612,0.92038,0.53483,0.46121,0.468,0.28733,1.39049,2.26767,1.2986,0.000413364,0.000413364,0.000413364
17,8241.85,0.87306,0.60135,0.91279,0.50241,0.48336,0.45824,0.28778,1.43403,1.88886,1.32601,0.000401722,0.000401722,0.000401722
18,8695.68,0.86682,0.58877,0.91064,0.64984,0.40838,0.44738,0.27221,1.45128,2.06681,1.34772,0.000390079,0.000390079,0.000390079
19,9147.76,0.854,0.58151,0.90717,0.46298,0.41441,0.4288,0.2619,1.38228,1.65132,1.30207,0.000378437,0.000378437,0.000378437
