epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.468,1.30904,6.55494,1.11186,0.60519,0.43912,0.43404,0.26949,1.29628,1.49373,1.07325,0.000195915,0.000195915,0.000195915
2,888.488,1.12958,3.76886,1.00243,0.67312,0.4339,0.50192,0.29345,1.27485,1.3802,1.06131,0.000384155,0.000384155,0.000384155
3,1349.02,1.02808,2.08676,0.95731,0.57132,0.61116,0.56736,0.35322,1.26295,2.19817,1.06679,0.000564633,0.000564633,0.000564633
4,1802.59,0.93208,1.26276,0.92511,0.48546,0.64277,0.54191,0.34446,1.25417,1.39439,1.07984,0.000553073,0.000553073,0.000553073
5,2195.51,0.84446,0.89617,0.89884,0.57632,0.65468,0.57957,0.37535,1.19862,1.29748,1.05874,0.00054143,0.00054143,0.00054143
6,2591.14,0.74254,0.71115,0.85871,0.65252,0.56774,0.65995,0.43102,1.22418,1.205,1.07537,0.000529788,0.000529788,0.000529788
7,2983.36,0.67933,0.58949,0.83846,0.68358,0.65054,0.7102,0.46048,1.19498,1.18512,1.05954,0.000518146,0.000518146,0.000518146
8,3361.47,0.60306,0.51253,0.82091,0.62029,0.65714,0.64927,0.42983,1.19514,1.18033,1.06318,0.000506503,0.000506503,0.000506503
9,3738.84,0.56399,0.46434,0.81435,0.66269,0.62916,0.67994,0.44988,1.17569,1.17192,1.06865,0.000494861,0.000494861,0.000494861
10,4132.43,0.519,0.42179,0.80516,0.61799,0.62539,0.62312,0.39518,1.1875,1.16946,1.07465,0.000483218,0.000483218,0.000483218
11,4529.62,0.49353,0.39319,0.79616,0.58084,0.65113,0.61787,0.40262,1.18555,1.17384,1.07716,0.000471576,0.000471576,0.000471576
12,4923.74,0.44818,0.36529,0.78847,0.70238,0.63844,0.6738,0.43601,1.17616,1.16594,1.07551,0.000459934,0.000459934,0.000459934
13,5345.77,0.42332,0.34036,0.7808,0.69067,0.63794,0.67614,0.45602,1.15994,1.12199,1.06299,0.000448291,0.000448291,0.000448291
14,5795.88,0.39539,0.32006,0.78224,0.69881,0.6683,0.67108,0.43033,1.16061,1.13833,1.06135,0.000436649,0.000436649,0.000436649
15,6240.47,0.3638,0.29814,0.77459,0.69867,0.60983,0.68863,0.4588,1.15596,1.18653,1.07962,0.000425006,0.000425006,0.000425006
16,6664.27,0.35613,0.28789,0.77378,0.70128,0.5856,0.65925,0.44989,1.13743,1.19999,1.06265,0.000413364,0.000413364,0.000413364
17,7096.01,0.33852,0.2756,0.76759,0.62828,0.67445,0.64743,0.4251,1.14123,1.13372,1.07208,0.000401722,0.000401722,0.000401722
18,7522.19,0.32095,0.26304,0.76794,0.69121,0.61477,0.693,0.47251,1.14843,1.21666,1.07662,0.000390079,0.000390079,0.000390079
19,7908.2,0.31088,0.25343,0.76514,0.65639,0.64397,0.70149,0.47307,1.15321,1.17448,1.07319,0.000378437,0.000378437,0.000378437
20,8335.62,0.298,0.24471,0.76466,0.61019,0.67937,0.69379,0.46354,1.12938,1.21152,1.06582,0.000366794,0.000366794,0.000366794
21,8774.95,0.28517,0.23785,0.76292,0.72616,0.6484,0.71015,0.48018,1.12554,1.18016,1.06765,0.000355152,0.000355152,0.000355152
22,9201.03,0.27264,0.22671,0.76322,0.68269,0.6701,0.71433,0.48013,1.12664,1.15563,1.07129,0.00034351,0.00034351,0.00034351
23,9607.65,0.26556,0.22126,0.76207,0.6863,0.64258,0.69963,0.48095,1.12729,1.16561,1.07778,0.000331867,0.000331867,0.000331867
24,10040.6,0.25348,0.21361,0.75681,0.61627,0.70362,0.71093,0.48146,1.13805,1.15631,1.08147,0.000320225,0.000320225,0.000320225
25,10478.5,0.2431,0.2073,0.75943,0.65404,0.66673,0.70289,0.48808,1.12227,1.17917,1.06714,0.000308582,0.000308582,0.000308582
26,10888.2,0.24111,0.20333,0.76003,0.6821,0.68997,0.71652,0.49592,1.11837,1.12732,1.08078,0.00029694,0.00029694,0.00029694
27,11287.4,0.23277,0.19772,0.75749,0.70271,0.63549,0.71272,0.48438,1.11058,1.13415,1.07868,0.000285298,0.000285298,0.000285298
28,11677.7,0.2239,0.19239,0.75661,0.66464,0.67423,0.6775,0.46008,1.12216,1.205,1.07546,0.000273655,0.000273655,0.000273655
29,12088.4,0.21179,0.18465,0.7548,0.714,0.65616,0.70197,0.48487,1.10868,1.15359,1.07408,0.000262013,0.000262013,0.000262013
30,12462.6,0.21244,0.18363,0.75472,0.67191,0.69256,0.68021,0.45641,1.10134,1.14142,1.068,0.00025037,0.00025037,0.00025037
31,12821.9,0.2007,0.1759,0.75394,0.62982,0.63823,0.64129,0.43117,1.10453,1.1905,1.0732,0.000238728,0.000238728,0.000238728
32,13189.3,0.19243,0.17009,0.7535,0.68547,0.67763,0.66499,0.44187,1.10837,1.17125,1.07339,0.000227086,0.000227086,0.000227086
33,13566.3,0.19361,0.16975,0.75323,0.67186,0.68743,0.68809,0.46875,1.09887,1.18088,1.07277,0.000215443,0.000215443,0.000215443
34,13926.1,0.18609,0.16602,0.75465,0.68838,0.66147,0.68832,0.46215,1.10997,1.16773,1.07886,0.000203801,0.000203801,0.000203801
35,14297.1,0.18099,0.16148,0.75299,0.69035,0.65019,0.67623,0.45173,1.11126,1.18359,1.08186,0.000192158,0.000192158,0.000192158
36,14690.4,0.17494,0.15833,0.75436,0.62197,0.67524,0.67404,0.45961,1.10065,1.19263,1.0773,0.000180516,0.000180516,0.000180516
37,15088.6,0.16806,0.1544,0.75281,0.63301,0.68801,0.7007,0.48061,1.09909,1.17721,1.07754,0.000168874,0.000168874,0.000168874
38,15475,0.16544,0.15194,0.75369,0.71881,0.63462,0.69466,0.47869,1.10135,1.16001,1.082,0.000157231,0.000157231,0.000157231
39,15860.4,0.1594,0.14982,0.75275,0.64978,0.67318,0.69558,0.48828,1.09617,1.18664,1.07918,0.000145589,0.000145589,0.000145589
40,16246.5,0.15741,0.14634,0.75212,0.69766,0.65236,0.708,0.49314,1.09992,1.19265,1.07982,0.000133946,0.000133946,0.000133946
41,16637,0.15214,0.14386,0.75126,0.64655,0.68194,0.70837,0.49389,1.09005,1.20239,1.07795,0.000122304,0.000122304,0.000122304
42,16999.2,0.14669,0.13964,0.75028,0.72047,0.61806,0.70787,0.48942,1.0953,1.18265,1.08219,0.000110662,0.000110662,0.000110662
