epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.656,1.42239,7.097,1.17355,0.81154,0.25085,0.27233,0.17933,1.27467,1.87951,1.06763,0.00019583,0.00019583,0.00019583
2,545.428,1.25907,4.4859,1.06673,0.61363,0.34605,0.33689,0.21701,1.27875,1.58769,1.07793,0.000384071,0.000384071,0.000384071
3,815.723,1.20746,3.037,1.03667,0.56959,0.38615,0.39082,0.24578,1.29403,1.38336,1.06527,0.000564552,0.000564552,0.000564552
4,1071.07,1.13225,2.0845,0.99065,0.63319,0.39339,0.43556,0.28996,1.23774,1.67206,1.06825,0.000553073,0.000553073,0.000553073
5,1325.68,1.06158,1.49943,0.97265,0.44428,0.4758,0.47274,0.29649,1.25591,2.04421,1.06806,0.00054143,0.00054143,0.00054143
6,1578.65,0.95533,1.17883,0.92076,0.52752,0.51001,0.52539,0.3366,1.2037,1.28614,1.0328,0.000529788,0.000529788,0.000529788
7,1835.06,0.89056,1.0074,0.90728,0.51789,0.57409,0.55137,0.35885,1.24948,1.38779,1.05384,0.000518146,0.000518146,0.000518146
8,2091.63,0.85167,0.87974,0.89176,0.66188,0.65182,0.64676,0.42214,1.214,1.21088,1.05242,0.000506503,0.000506503,0.000506503
9,2345.28,0.79159,0.74973,0.86784,0.63083,0.62933,0.62953,0.419,1.25033,1.24189,1.07395,0.000494861,0.000494861,0.000494861
10,2610.53,0.74922,0.68086,0.86214,0.56454,0.67366,0.60177,0.39204,1.25948,1.17924,1.08037,0.000483218,0.000483218,0.000483218
11,2870,0.70274,0.63252,0.84584,0.73639,0.59219,0.65562,0.41882,1.22809,1.19929,1.06679,0.000471576,0.000471576,0.000471576
12,3125.03,0.66116,0.55907,0.8297,0.75103,0.57569,0.65177,0.42549,1.20296,1.15342,1.04792,0.000459934,0.000459934,0.000459934
13,3380.14,0.638,0.5273,0.82484,0.74763,0.60062,0.68874,0.45015,1.19635,1.25027,1.05029,0.000448291,0.000448291,0.000448291
14,3637.57,0.60483,0.49465,0.81899,0.65577,0.65518,0.67778,0.45328,1.19615,1.20314,1.05231,0.000436649,0.000436649,0.000436649
15,3901.95,0.56447,0.46645,0.80719,0.65554,0.60005,0.65095,0.42235,1.19931,1.19147,1.04957,0.000425006,0.000425006,0.000425006
16,4185.29,0.52657,0.42973,0.79976,0.72315,0.63082,0.68242,0.45862,1.20846,1.15741,1.06236,0.000413364,0.000413364,0.000413364
17,4479.96,0.51792,0.41054,0.80342,0.62723,0.65544,0.65884,0.44515,1.1742,1.22086,1.04147,0.000401722,0.000401722,0.000401722
18,4765.08,0.48505,0.38853,0.79011,0.6337,0.67168,0.65781,0.43799,1.15646,1.14564,1.04683,0.000390079,0.000390079,0.000390079
19,5054.49,0.46288,0.37461,0.78763,0.68433,0.57918,0.64548,0.42928,1.18392,1.23383,1.05817,0.000378437,0.000378437,0.000378437
20,5353.63,0.44314,0.36418,0.78763,0.6566,0.6283,0.635,0.40788,1.19593,1.17946,1.05812,0.000366794,0.000366794,0.000366794
21,5640.25,0.42745,0.35208,0.78258,0.73119,0.67152,0.70218,0.45839,1.18228,1.22108,1.06499,0.000355152,0.000355152,0.000355152
22,5925.54,0.40825,0.33447,0.77775,0.70686,0.63543,0.66735,0.44555,1.16205,1.15997,1.04869,0.00034351,0.00034351,0.00034351
23,6220.06,0.38749,0.3207,0.77691,0.75029,0.64631,0.69262,0.45796,1.17366,1.16774,1.0533,0.000331867,0.000331867,0.000331867
24,6509.43,0.37536,0.31288,0.77276,0.70557,0.627,0.66117,0.44346,1.15725,1.14667,1.04593,0.000320225,0.000320225,0.000320225
25,6807.3,0.35401,0.29961,0.77282,0.66771,0.62167,0.64425,0.42801,1.15317,1.19639,1.05414,0.000308582,0.000308582,0.000308582
26,7107.53,0.34449,0.29402,0.76958,0.63615,0.65069,0.65718,0.42207,1.16443,1.13419,1.06451,0.00029694,0.00029694,0.00029694
27,7396.45,0.33021,0.28343,0.76788,0.66295,0.67689,0.6659,0.44358,1.15016,1.15239,1.05628,0.000285298,0.000285298,0.000285298
28,7698.5,0.31563,0.27126,0.76837,0.69847,0.6734,0.67098,0.44801,1.14738,1.14959,1.04755,0.000273655,0.000273655,0.000273655
29,7999.97,0.30055,0.26071,0.76571,0.75721,0.61049,0.66582,0.44066,1.14685,1.14813,1.04989,0.000262013,0.000262013,0.000262013
30,8291.36,0.29397,0.25787,0.76506,0.63139,0.69856,0.67355,0.44957,1.15286,1.18377,1.0542,0.00025037,0.00025037,0.00025037
31,8590.77,0.28899,0.25257,0.76437,0.65513,0.66883,0.66642,0.4431,1.15463,1.18801,1.05342,0.000238728,0.000238728,0.000238728
32,8893.64,0.27704,0.245,0.7654,0.66906,0.64719,0.65548,0.43857,1.14933,1.15957,1.04865,0.000227086,0.000227086,0.000227086
33,9189.6,0.27153,0.23803,0.76169,0.71886,0.6627,0.67234,0.45326,1.14994,1.16067,1.05782,0.000215443,0.000215443,0.000215443
34,9474.62,0.25897,0.23175,0.76208,0.71336,0.66352,0.66737,0.44777,1.14184,1.14987,1.04808,0.000203801,0.000203801,0.000203801
35,9759.69,0.24747,0.22416,0.75677,0.70254,0.68049,0.67545,0.45096,1.14237,1.13577,1.04927,0.000192158,0.000192158,0.000192158
36,10050.9,0.23985,0.21931,0.75717,0.73474,0.66369,0.67319,0.4512,1.13813,1.1527,1.0524,0.000180516,0.000180516,0.000180516
37,10335.1,0.23214,0.21475,0.75911,0.69293,0.66942,0.67038,0.4512,1.14107,1.16212,1.05722,0.000168874,0.000168874,0.000168874
38,10620,0.22345,0.21098,0.75771,0.70587,0.67749,0.68153,0.45602,1.13646,1.14663,1.05557,0.000157231,0.000157231,0.000157231
39,10906.8,0.21818,0.20557,0.75325,0.72727,0.67725,0.6849,0.45502,1.13786,1.14319,1.05665,0.000145589,0.000145589,0.000145589
40,11192.5,0.20992,0.19952,0.75518,0.75556,0.60622,0.67085,0.45,1.13647,1.14363,1.05777,0.000133946,0.000133946,0.000133946
41,11478.9,0.20323,0.19388,0.75586,0.71645,0.67728,0.67998,0.45607,1.14041,1.16121,1.06089,0.000122304,0.000122304,0.000122304
42,11768.3,0.19675,0.18932,0.75635,0.69818,0.68147,0.67451,0.449,1.13671,1.15697,1.05109,0.000110662,0.000110662,0.000110662
43,12049.8,0.18859,0.18578,0.75593,0.6711,0.68338,0.66879,0.44821,1.13118,1.18816,1.05414,9.90192e-05,9.90192e-05,9.90192e-05
44,12348.1,0.18297,0.18431,0.75321,0.73815,0.67761,0.68259,0.45871,1.12497,1.16834,1.0518,8.73768e-05,8.73768e-05,8.73768e-05
45,12643.9,0.17432,0.17636,0.7495,0.68241,0.6886,0.67504,0.45173,1.13189,1.16199,1.0571,7.57344e-05,7.57344e-05,7.57344e-05
46,12927.6,0.17048,0.1745,0.75244,0.68572,0.69356,0.6719,0.45247,1.12769,1.19019,1.05533,6.4092e-05,6.4092e-05,6.4092e-05
47,13216,0.16765,0.17339,0.75065,0.70138,0.69131,0.67235,0.44715,1.13369,1.17347,1.06036,5.24496e-05,5.24496e-05,5.24496e-05
48,13513.6,0.16201,0.1686,0.74906,0.68073,0.69687,0.67409,0.45009,1.12925,1.17054,1.0565,4.08072e-05,4.08072e-05,4.08072e-05
49,13805.6,0.15606,0.16695,0.75186,0.7131,0.67977,0.6741,0.45161,1.1335,1.18168,1.05965,2.91648e-05,2.91648e-05,2.91648e-05
50,14103,0.15198,0.16603,0.75226,0.67554,0.70117,0.67653,0.45312,1.13154,1.18379,1.05945,1.75224e-05,1.75224e-05,1.75224e-05
