epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.774,1.46015,7.2143,1.1992,0.78754,0.25258,0.25106,0.15707,1.30502,1.95875,1.07054,0.00019583,0.00019583,0.00019583
2,529.494,1.31729,4.55635,1.10641,0.60947,0.2959,0.37187,0.23172,1.31062,1.58223,1.09827,0.000384071,0.000384071,0.000384071
3,777.08,1.29805,3.15879,1.10672,0.5696,0.40309,0.40095,0.23879,1.29632,1.43392,1.11937,0.000564552,0.000564552,0.000564552
4,1014.25,1.22155,2.22495,1.06032,0.59909,0.46475,0.44227,0.26607,1.29426,1.37696,1.11448,0.000553073,0.000553073,0.000553073
5,1245.7,1.16885,1.63407,1.04733,0.54655,0.55558,0.48315,0.29707,1.3174,1.34061,1.11932,0.00054143,0.00054143,0.00054143
6,1478.88,1.11718,1.35641,1.00693,0.6368,0.44737,0.50369,0.31955,1.25213,1.25289,1.09553,0.000529788,0.000529788,0.000529788
7,1719.46,1.07413,1.14009,1.00005,0.57759,0.48915,0.50902,0.33403,1.26428,1.25725,1.10665,0.000518146,0.000518146,0.000518146
8,1991.97,1.01565,1.02054,0.97478,0.5727,0.53192,0.53832,0.35026,1.26066,1.24768,1.09311,0.000506503,0.000506503,0.000506503
9,2298.73,0.97537,0.90737,0.95065,0.55025,0.58897,0.57889,0.37338,1.23637,1.25546,1.09446,0.000494861,0.000494861,0.000494861
10,2588.71,0.94473,0.81872,0.93589,0.51031,0.64252,0.58087,0.36746,1.25544,1.49331,1.10421,0.000483218,0.000483218,0.000483218
11,2872.97,0.89241,0.76329,0.92347,0.53754,0.63891,0.58221,0.37194,1.20794,1.18272,1.07653,0.000471576,0.000471576,0.000471576
12,3145.57,0.8459,0.7109,0.90005,0.73229,0.53084,0.61519,0.38538,1.23226,1.251,1.09867,0.000459934,0.000459934,0.000459934
13,3420.97,0.8387,0.68343,0.90278,0.58895,0.59817,0.594,0.38545,1.18751,1.14561,1.08171,0.000448291,0.000448291,0.000448291
14,3693.69,0.80282,0.62713,0.88864,0.58981,0.64225,0.62985,0.40758,1.21599,1.10511,1.09231,0.000436649,0.000436649,0.000436649
15,3964.93,0.76877,0.59462,0.87332,0.52288,0.57719,0.58888,0.37234,1.24491,1.27444,1.09776,0.000425006,0.000425006,0.000425006
16,4244.24,0.74078,0.55966,0.86594,0.57405,0.65007,0.60913,0.39509,1.2103,1.16596,1.08067,0.000413364,0.000413364,0.000413364
17,4512.61,0.70857,0.525,0.86602,0.69461,0.57712,0.63561,0.40717,1.20865,1.17056,1.08885,0.000401722,0.000401722,0.000401722
18,4787.01,0.6865,0.50804,0.84689,0.65844,0.62374,0.63139,0.3961,1.19783,1.09991,1.09209,0.000390079,0.000390079,0.000390079
19,5062.96,0.67207,0.48613,0.84666,0.63388,0.68117,0.66243,0.43052,1.18443,1.11296,1.08661,0.000378437,0.000378437,0.000378437
20,5322.13,0.63169,0.45787,0.83671,0.64484,0.60293,0.65491,0.42827,1.20147,1.12417,1.09095,0.000366794,0.000366794,0.000366794
21,5596.46,0.61455,0.44801,0.83145,0.70065,0.66871,0.6338,0.40656,1.20474,1.13358,1.09044,0.000355152,0.000355152,0.000355152
22,5875.38,0.5876,0.43071,0.82233,0.64542,0.69928,0.66439,0.4398,1.16626,1.15765,1.0782,0.00034351,0.00034351,0.00034351
23,6143.19,0.57731,0.42544,0.81996,0.6689,0.65896,0.63807,0.41134,1.18807,1.17388,1.09739,0.000331867,0.000331867,0.000331867
24,6381.68,0.54953,0.40708,0.81313,0.58876,0.71902,0.64893,0.42322,1.16468,1.13325,1.08595,0.000320225,0.000320225,0.000320225
25,6619.39,0.52655,0.39407,0.81097,0.7335,0.67111,0.68114,0.44109,1.19812,1.20015,1.09763,0.000308582,0.000308582,0.000308582
26,6857.27,0.51366,0.38233,0.80688,0.67698,0.68236,0.66989,0.44116,1.20657,1.14457,1.10493,0.00029694,0.00029694,0.00029694
27,7095.37,0.49207,0.36682,0.80224,0.70397,0.56265,0.64684,0.42146,1.20545,1.15546,1.10335,0.000285298,0.000285298,0.000285298
28,7333.02,0.48223,0.35866,0.80056,0.77594,0.65164,0.69138,0.46014,1.18626,1.12257,1.08957,0.000273655,0.000273655,0.000273655
29,7569.07,0.45688,0.34706,0.79631,0.71383,0.65985,0.67389,0.45271,1.18411,1.16671,1.09251,0.000262013,0.000262013,0.000262013
30,7806.23,0.44539,0.33833,0.79216,0.63288,0.6108,0.65651,0.42715,1.19091,1.17062,1.10123,0.00025037,0.00025037,0.00025037
31,8045.7,0.43178,0.33019,0.78959,0.67254,0.70582,0.67378,0.44929,1.18677,1.16548,1.0991,0.000238728,0.000238728,0.000238728
32,8284.11,0.41933,0.31958,0.79047,0.69881,0.653,0.68425,0.45501,1.15205,1.13134,1.08915,0.000227086,0.000227086,0.000227086
33,8523.71,0.40131,0.31192,0.78588,0.65789,0.66478,0.65599,0.43887,1.16913,1.16477,1.09603,0.000215443,0.000215443,0.000215443
34,8780.34,0.3908,0.30332,0.78449,0.67103,0.66576,0.66659,0.4434,1.1712,1.1484,1.10897,0.000203801,0.000203801,0.000203801
35,9056.38,0.37056,0.29554,0.77601,0.72133,0.66989,0.67566,0.45344,1.16442,1.16259,1.10192,0.000192158,0.000192158,0.000192158
36,9335.17,0.35542,0.29053,0.77612,0.65412,0.64239,0.66376,0.44222,1.16556,1.19196,1.10275,0.000180516,0.000180516,0.000180516
37,9620.88,0.34474,0.2827,0.778,0.67601,0.64212,0.6678,0.4486,1.17609,1.17721,1.10595,0.000168874,0.000168874,0.000168874
38,9915.28,0.34098,0.27759,0.77499,0.71364,0.66889,0.67119,0.45513,1.17517,1.15051,1.10599,0.000157231,0.000157231,0.000157231
39,10218.9,0.32701,0.27472,0.77017,0.66905,0.6892,0.67916,0.45107,1.16805,1.19117,1.10615,0.000145589,0.000145589,0.000145589
40,10494.7,0.31676,0.26494,0.77014,0.70839,0.66483,0.68362,0.46462,1.1572,1.16401,1.10556,0.000133946,0.000133946,0.000133946
41,10749.4,0.29691,0.25688,0.76985,0.70631,0.68516,0.67794,0.45379,1.16154,1.16501,1.10457,0.000122304,0.000122304,0.000122304
42,10998.8,0.29136,0.25017,0.76914,0.68479,0.66748,0.67129,0.45337,1.1618,1.20837,1.10416,0.000110662,0.000110662,0.000110662
43,11253.4,0.27981,0.24752,0.7681,0.65351,0.69755,0.68066,0.45368,1.15849,1.16575,1.10617,9.90192e-05,9.90192e-05,9.90192e-05
44,11499.6,0.26887,0.2446,0.76554,0.67171,0.63718,0.65835,0.43963,1.16028,1.17878,1.1141,8.73768e-05,8.73768e-05,8.73768e-05
45,11749,0.25494,0.23271,0.76069,0.72012,0.63483,0.67444,0.45518,1.16058,1.18846,1.10949,7.57344e-05,7.57344e-05,7.57344e-05
46,12001.9,0.24616,0.23083,0.76191,0.63943,0.7166,0.67364,0.45195,1.16306,1.21645,1.11173,6.4092e-05,6.4092e-05,6.4092e-05
47,12248.7,0.2399,0.2279,0.76111,0.6647,0.71214,0.67781,0.45649,1.15578,1.21625,1.10606,5.24496e-05,5.24496e-05,5.24496e-05
48,12503.7,0.22927,0.22213,0.75874,0.70348,0.63073,0.67752,0.45598,1.15294,1.21125,1.10656,4.08072e-05,4.08072e-05,4.08072e-05
49,12753,0.22107,0.22065,0.76059,0.6582,0.6814,0.67527,0.44956,1.16043,1.22402,1.11078,2.91648e-05,2.91648e-05,2.91648e-05
50,13001.5,0.2202,0.21906,0.7613,0.67471,0.68466,0.68235,0.46009,1.15854,1.22745,1.11069,1.75224e-05,1.75224e-05,1.75224e-05
