epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.086,1.36257,6.48433,1.13632,0.6162,0.39592,0.43302,0.29071,1.26401,1.5441,1.05799,0.000195915,0.000195915,0.000195915
2,910.82,1.17933,3.59827,1.02788,0.39087,0.47763,0.4841,0.30588,1.30207,1.8363,1.09023,0.000384155,0.000384155,0.000384155
3,1335.49,1.10783,2.03924,1.00184,0.55605,0.52946,0.49947,0.32372,1.25834,1.45607,1.08198,0.000564633,0.000564633,0.000564633
4,1767.68,1.02886,1.30234,0.96661,0.5617,0.57816,0.57808,0.3456,1.22484,1.24861,1.06848,0.000553073,0.000553073,0.000553073
5,2202.78,0.92532,0.9494,0.92215,0.58827,0.63024,0.61637,0.39059,1.21847,1.19815,1.07102,0.00054143,0.00054143,0.00054143
6,2637.33,0.85817,0.77997,0.89975,0.61819,0.63013,0.6593,0.43205,1.23844,1.1995,1.08239,0.000529788,0.000529788,0.000529788
7,3075.32,0.80173,0.66836,0.88221,0.62383,0.68308,0.64768,0.41883,1.21083,1.1517,1.07874,0.000518146,0.000518146,0.000518146
8,3502.75,0.72714,0.58991,0.85705,0.6816,0.59311,0.66834,0.46118,1.20072,1.18758,1.08778,0.000506503,0.000506503,0.000506503
9,3932.28,0.68535,0.53722,0.84188,0.71543,0.61126,0.69366,0.45607,1.20219,1.09479,1.06911,0.000494861,0.000494861,0.000494861
10,4367.94,0.63907,0.48893,0.83186,0.59676,0.65036,0.65939,0.4465,1.23941,1.24877,1.09647,0.000483218,0.000483218,0.000483218
11,4808.24,0.5932,0.44733,0.8199,0.63886,0.63787,0.6437,0.43107,1.18251,1.15634,1.07961,0.000471576,0.000471576,0.000471576
12,5242.59,0.55495,0.41755,0.81269,0.7228,0.54643,0.65032,0.4371,1.19588,1.18958,1.08022,0.000459934,0.000459934,0.000459934
13,5660.03,0.51932,0.38964,0.80044,0.66093,0.63291,0.67149,0.44369,1.16797,1.21482,1.079,0.000448291,0.000448291,0.000448291
14,6079.56,0.49358,0.36892,0.79563,0.69253,0.65297,0.67552,0.45386,1.19299,1.1715,1.09432,0.000436649,0.000436649,0.000436649
15,6506.15,0.47627,0.35532,0.79407,0.64534,0.7205,0.69865,0.46699,1.16724,1.1742,1.07592,0.000425006,0.000425006,0.000425006
16,6932.38,0.44136,0.33207,0.78518,0.67008,0.67888,0.70619,0.46606,1.17133,1.12159,1.09096,0.000413364,0.000413364,0.000413364
17,7358.41,0.41925,0.31933,0.78219,0.68194,0.6295,0.68274,0.46432,1.14408,1.12449,1.07078,0.000401722,0.000401722,0.000401722
18,7785.91,0.39769,0.30591,0.78003,0.72673,0.6051,0.67695,0.45227,1.17185,1.17749,1.08642,0.000390079,0.000390079,0.000390079
19,8215.19,0.37862,0.2944,0.77736,0.74839,0.64356,0.70251,0.46746,1.17637,1.14165,1.0952,0.000378437,0.000378437,0.000378437
20,8643.31,0.36953,0.28581,0.77471,0.72175,0.59481,0.68348,0.45971,1.15505,1.16156,1.06997,0.000366794,0.000366794,0.000366794
21,9072.42,0.35009,0.27097,0.77226,0.69202,0.60667,0.67574,0.4405,1.15976,1.1388,1.08603,0.000355152,0.000355152,0.000355152
22,9509.2,0.33634,0.26302,0.76666,0.67381,0.68833,0.70233,0.47905,1.15634,1.17109,1.08359,0.00034351,0.00034351,0.00034351
23,9940.2,0.32259,0.25503,0.76826,0.66538,0.6957,0.69727,0.47239,1.12896,1.10546,1.07996,0.000331867,0.000331867,0.000331867
24,10370,0.3045,0.24536,0.76396,0.72481,0.63179,0.68912,0.46342,1.14443,1.10708,1.08099,0.000320225,0.000320225,0.000320225
25,10800.4,0.30317,0.24078,0.76559,0.73428,0.59595,0.68349,0.45828,1.14138,1.11991,1.074,0.000308582,0.000308582,0.000308582
26,11236.8,0.28512,0.23157,0.76412,0.78882,0.61251,0.69819,0.48044,1.1453,1.14208,1.08611,0.00029694,0.00029694,0.00029694
27,11673.4,0.28144,0.22792,0.76102,0.68759,0.66129,0.69377,0.46981,1.15587,1.14935,1.08843,0.000285298,0.000285298,0.000285298
28,12105.8,0.27387,0.22092,0.76082,0.68496,0.69119,0.68969,0.47314,1.14369,1.16665,1.08675,0.000273655,0.000273655,0.000273655
29,12537.6,0.26005,0.21332,0.75953,0.62497,0.71619,0.69632,0.47348,1.15149,1.16876,1.09449,0.000262013,0.000262013,0.000262013
30,12968.9,0.25162,0.20984,0.75821,0.70835,0.63831,0.69538,0.4725,1.14138,1.14274,1.08416,0.00025037,0.00025037,0.00025037
31,13401.3,0.24164,0.20148,0.75741,0.6065,0.7256,0.66539,0.44912,1.13619,1.13829,1.08547,0.000238728,0.000238728,0.000238728
32,13842,0.23575,0.19837,0.75724,0.68338,0.65285,0.68405,0.46701,1.14013,1.13746,1.09203,0.000227086,0.000227086,0.000227086
33,14266.8,0.22508,0.19226,0.75672,0.72664,0.6476,0.70588,0.4818,1.14439,1.1365,1.1,0.000215443,0.000215443,0.000215443
34,14721.7,0.21786,0.18696,0.75428,0.75861,0.62819,0.69831,0.4724,1.13116,1.14998,1.08646,0.000203801,0.000203801,0.000203801
35,15159,0.20866,0.18072,0.75629,0.73837,0.60562,0.70125,0.47825,1.14086,1.1598,1.1028,0.000192158,0.000192158,0.000192158
36,15576.8,0.20315,0.17646,0.75148,0.70534,0.62921,0.69878,0.47004,1.13214,1.14751,1.09121,0.000180516,0.000180516,0.000180516
37,16003.8,0.19699,0.1737,0.75503,0.70171,0.66372,0.7173,0.48103,1.12698,1.14303,1.09279,0.000168874,0.000168874,0.000168874
38,16433.2,0.1929,0.16959,0.75138,0.7506,0.66776,0.73633,0.50139,1.13519,1.15001,1.10042,0.000157231,0.000157231,0.000157231
39,16861.1,0.18603,0.16576,0.7515,0.77049,0.60097,0.70183,0.48761,1.12861,1.16923,1.09568,0.000145589,0.000145589,0.000145589
40,17289.4,0.18218,0.16316,0.75311,0.8023,0.57949,0.70997,0.49058,1.1303,1.1429,1.09951,0.000133946,0.000133946,0.000133946
41,17711.5,0.17195,0.16004,0.75077,0.72319,0.62629,0.70291,0.47995,1.12805,1.15442,1.09239,0.000122304,0.000122304,0.000122304
42,18137.5,0.16858,0.1555,0.74952,0.70268,0.64762,0.70517,0.48116,1.12887,1.17926,1.0947,0.000110662,0.000110662,0.000110662
43,18554.1,0.16252,0.1526,0.75001,0.74371,0.61128,0.70043,0.47765,1.12656,1.16079,1.09653,9.90192e-05,9.90192e-05,9.90192e-05
44,18971.1,0.15664,0.14971,0.7492,0.73901,0.62332,0.70278,0.4794,1.11999,1.17184,1.08901,8.73768e-05,8.73768e-05,8.73768e-05
45,19385.9,0.15226,0.14652,0.74892,0.75847,0.6207,0.70645,0.48019,1.12818,1.16629,1.09651,7.57344e-05,7.57344e-05,7.57344e-05
46,19788.7,0.1459,0.14371,0.7514,0.77055,0.60414,0.70326,0.48308,1.13156,1.17403,1.10395,6.4092e-05,6.4092e-05,6.4092e-05
47,20190.1,0.14179,0.14093,0.74893,0.77893,0.59344,0.70645,0.48074,1.13212,1.18403,1.10405,5.24496e-05,5.24496e-05,5.24496e-05
48,20592.3,0.14115,0.14073,0.75112,0.70063,0.62727,0.70162,0.4852,1.12478,1.1883,1.10157,4.08072e-05,4.08072e-05,4.08072e-05
49,20992.9,0.13359,0.13672,0.74771,0.80512,0.58371,0.7039,0.48362,1.12494,1.18721,1.101,2.91648e-05,2.91648e-05,2.91648e-05
50,21394.3,0.13221,0.13685,0.74856,0.73727,0.60472,0.70035,0.47954,1.12609,1.192,1.09995,1.75224e-05,1.75224e-05,1.75224e-05
