epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.599,1.3183,6.31006,1.11231,0.60939,0.33943,0.32719,0.21095,1.27004,1.53828,1.07319,0.000195915,0.000195915,0.000195915
2,892.427,1.1191,3.40301,1.00329,0.55219,0.48689,0.49861,0.30305,1.28255,1.52756,1.08736,0.000384155,0.000384155,0.000384155
3,1325.99,1.01234,1.88284,0.96181,0.58319,0.52092,0.52231,0.32216,1.27957,1.35537,1.1061,0.000564633,0.000564633,0.000564633
4,1738.42,0.91005,1.18617,0.91976,0.52172,0.60003,0.53553,0.32054,1.2447,1.2846,1.1003,0.000553073,0.000553073,0.000553073
5,2153.94,0.82693,0.82756,0.88407,0.75123,0.55618,0.63878,0.40607,1.22916,1.31457,1.0967,0.00054143,0.00054143,0.00054143
6,2572.94,0.74375,0.68365,0.85973,0.67586,0.64577,0.67285,0.44144,1.23559,1.1529,1.08783,0.000529788,0.000529788,0.000529788
7,2981.25,0.66756,0.57965,0.84227,0.72311,0.58757,0.65524,0.43155,1.23607,1.19279,1.11374,0.000518146,0.000518146,0.000518146
8,3377.99,0.6028,0.50884,0.82474,0.57265,0.49454,0.5575,0.35434,1.20177,1.24667,1.09993,0.000506503,0.000506503,0.000506503
9,3776.38,0.55168,0.45718,0.81087,0.51499,0.60654,0.58276,0.37267,1.20349,1.25002,1.09864,0.000494861,0.000494861,0.000494861
10,4183.88,0.51334,0.42454,0.80075,0.72664,0.53059,0.64133,0.4218,1.17394,1.2937,1.08379,0.000483218,0.000483218,0.000483218
11,4589.45,0.47996,0.38763,0.79476,0.66088,0.64135,0.67245,0.44968,1.1794,1.21389,1.08793,0.000471576,0.000471576,0.000471576
12,4992,0.44604,0.35395,0.78829,0.63924,0.5512,0.59219,0.3914,1.17549,1.30674,1.0916,0.000459934,0.000459934,0.000459934
13,5422.1,0.41112,0.34016,0.77996,0.57492,0.64902,0.63275,0.41348,1.16829,1.18918,1.10795,0.000448291,0.000448291,0.000448291
14,5836.27,0.39478,0.31541,0.77859,0.64159,0.64258,0.65684,0.44258,1.1593,1.18758,1.0947,0.000436649,0.000436649,0.000436649
15,6236.66,0.37576,0.30188,0.77769,0.59692,0.615,0.62403,0.40916,1.15429,1.252,1.0879,0.000425006,0.000425006,0.000425006
16,6643.67,0.34548,0.28259,0.77098,0.64613,0.59357,0.61752,0.40445,1.14504,1.21356,1.09463,0.000413364,0.000413364,0.000413364
17,7035.21,0.33534,0.27495,0.76938,0.75503,0.5567,0.65424,0.44664,1.14857,1.21578,1.09079,0.000401722,0.000401722,0.000401722
18,7432.47,0.31402,0.25898,0.76838,0.7267,0.57923,0.64341,0.44302,1.13023,1.23554,1.08873,0.000390079,0.000390079,0.000390079
19,7824.19,0.30966,0.25224,0.76691,0.67352,0.6169,0.67059,0.46265,1.13485,1.19756,1.09347,0.000378437,0.000378437,0.000378437
20,8232.67,0.28588,0.23968,0.76357,0.6813,0.63712,0.67136,0.45349,1.12922,1.16538,1.09224,0.000366794,0.000366794,0.000366794
21,8640.49,0.28067,0.23269,0.76297,0.72232,0.56784,0.6353,0.42852,1.13587,1.2108,1.10036,0.000355152,0.000355152,0.000355152
22,9068.54,0.27299,0.22504,0.75848,0.69523,0.5985,0.66333,0.45853,1.12483,1.26458,1.08578,0.00034351,0.00034351,0.00034351
23,9471.07,0.25792,0.21663,0.7596,0.69647,0.59602,0.6808,0.46214,1.13506,1.19495,1.09783,0.000331867,0.000331867,0.000331867
24,9874.47,0.24863,0.21163,0.75744,0.65599,0.63579,0.67762,0.45762,1.1283,1.1867,1.10471,0.000320225,0.000320225,0.000320225
25,10279.7,0.24622,0.20586,0.75879,0.74764,0.59438,0.67162,0.46065,1.1397,1.2538,1.10813,0.000308582,0.000308582,0.000308582
26,10685.9,0.23211,0.19817,0.75832,0.7276,0.62839,0.67298,0.46062,1.12269,1.2373,1.10138,0.00029694,0.00029694,0.00029694
27,11096.4,0.23073,0.1957,0.7559,0.72807,0.58134,0.66938,0.45614,1.12096,1.20694,1.09674,0.000285298,0.000285298,0.000285298
28,11542.6,0.22061,0.19035,0.75561,0.76516,0.62625,0.69337,0.47014,1.1282,1.23897,1.11545,0.000273655,0.000273655,0.000273655
29,11998,0.21573,0.18747,0.75518,0.68416,0.62808,0.67577,0.45898,1.12239,1.1948,1.09953,0.000262013,0.000262013,0.000262013
30,12451.6,0.21107,0.18401,0.75379,0.73495,0.60981,0.68191,0.45812,1.11941,1.19385,1.09609,0.00025037,0.00025037,0.00025037
31,12915.8,0.20357,0.17702,0.75377,0.75204,0.63096,0.68174,0.46254,1.12276,1.21368,1.10779,0.000238728,0.000238728,0.000238728
32,27297.5,0.19661,0.17354,0.75367,0.66581,0.61338,0.62415,0.42321,1.11978,1.24946,1.10092,0.000227086,0.000227086,0.000227086
33,27715.3,0.19009,0.17069,0.75338,0.76974,0.56871,0.67498,0.45889,1.1232,1.2035,1.10769,0.000215443,0.000215443,0.000215443
34,28142.7,0.18262,0.16506,0.75135,0.70879,0.61669,0.67637,0.45764,1.11523,1.23837,1.09929,0.000203801,0.000203801,0.000203801
35,28564,0.1795,0.16232,0.75395,0.75217,0.59219,0.66979,0.45621,1.11844,1.22654,1.1067,0.000192158,0.000192158,0.000192158
36,28983.3,0.17103,0.15697,0.74892,0.71662,0.61664,0.67593,0.46619,1.10931,1.23759,1.10288,0.000180516,0.000180516,0.000180516
