epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.148,1.50889,8.37233,1.21669,0.87375,0.17656,0.19597,0.12609,1.32865,2.21044,1.1086,0.00019583,0.00019583,0.00019583
2,536.101,1.45273,6.52761,1.20633,0.73326,0.26519,0.27351,0.15965,1.3984,2.28395,1.18541,0.000384071,0.000384071,0.000384071
3,793.698,1.44419,5.18215,1.20675,0.75782,0.30111,0.31924,0.18355,1.37427,1.79312,1.20747,0.000564552,0.000564552,0.000564552
4,1064.1,1.43744,4.01431,1.20002,0.57591,0.34902,0.37165,0.21667,1.3171,1.78243,1.19004,0.000553073,0.000553073,0.000553073
5,1341.74,1.38191,3.06253,1.20057,0.67274,0.33899,0.35824,0.21194,1.30011,1.96789,1.19422,0.00054143,0.00054143,0.00054143
6,1636.44,1.31181,2.59084,1.15533,0.68709,0.3429,0.412,0.24118,1.37071,1.56414,1.25419,0.000529788,0.000529788,0.000529788
7,1909.64,1.32985,2.23952,1.16964,0.62732,0.4011,0.3912,0.24171,1.26686,1.44193,1.17096,0.000518146,0.000518146,0.000518146
8,2178,1.30922,1.95149,1.14964,0.47501,0.41406,0.36959,0.23127,1.23611,1.84697,1.15769,0.000506503,0.000506503,0.000506503
9,2435.88,1.28651,1.71401,1.13961,0.54584,0.44708,0.42412,0.26007,1.23719,1.48986,1.1657,0.000494861,0.000494861,0.000494861
10,2692.62,1.27391,1.62926,1.13676,0.626,0.43067,0.42814,0.26578,1.2293,1.31025,1.16037,0.000483218,0.000483218,0.000483218
11,2947.34,1.24782,1.5372,1.1231,0.65261,0.43915,0.45418,0.28597,1.19485,1.37448,1.16263,0.000471576,0.000471576,0.000471576
12,3199.8,1.22177,1.436,1.11446,0.64579,0.44281,0.46889,0.29584,1.22598,1.33186,1.13728,0.000459934,0.000459934,0.000459934
13,3453.78,1.21115,1.38451,1.1075,0.67895,0.48378,0.52374,0.31764,1.17718,1.29068,1.13814,0.000448291,0.000448291,0.000448291
14,3707.83,1.20705,1.29769,1.09933,0.65865,0.48994,0.51921,0.33367,1.17671,1.21987,1.13901,0.000436649,0.000436649,0.000436649
15,3962.37,1.17252,1.30423,1.07643,0.6557,0.50356,0.5193,0.33257,1.13798,1.14293,1.11341,0.000425006,0.000425006,0.000425006
16,4214.15,1.15413,1.24105,1.07889,0.65746,0.51672,0.52839,0.31757,1.21704,1.16682,1.15921,0.000413364,0.000413364,0.000413364
17,4467.95,1.1723,1.16366,1.0921,0.50673,0.54989,0.55671,0.34007,1.17437,1.1592,1.1398,0.000401722,0.000401722,0.000401722
18,4722.26,1.15661,1.18707,1.08458,0.60183,0.50405,0.5259,0.33402,1.19702,1.18565,1.14429,0.000390079,0.000390079,0.000390079
