epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.372,1.51989,7.9708,1.23014,0.66887,0.18135,0.19926,0.13425,1.32651,2.3319,1.13293,0.00019583,0.00019583,0.00019583
2,557.365,1.43656,6.60726,1.19081,0.75412,0.2552,0.25443,0.16304,1.30954,2.28646,1.17141,0.000384071,0.000384071,0.000384071
3,829.945,1.46021,5.29748,1.20735,0.68154,0.27713,0.28982,0.17342,1.38094,1.99487,1.16995,0.000564552,0.000564552,0.000564552
4,1099.35,1.44154,4.08747,1.19789,0.635,0.34987,0.38983,0.24088,1.30818,1.73039,1.17444,0.000553073,0.000553073,0.000553073
5,1368.82,1.38869,3.05019,1.18755,0.67002,0.35386,0.38948,0.23312,1.28425,1.75218,1.18001,0.00054143,0.00054143,0.00054143
6,1639.27,1.31468,2.50036,1.155,0.57751,0.39539,0.36935,0.21537,1.32029,1.5087,1.17632,0.000529788,0.000529788,0.000529788
7,1907.82,1.31917,2.18787,1.14591,0.58851,0.36989,0.38827,0.24592,1.23303,1.46184,1.15856,0.000518146,0.000518146,0.000518146
8,2178.36,1.29303,1.88357,1.14014,0.61586,0.42871,0.40353,0.24966,1.25745,1.59519,1.1641,0.000506503,0.000506503,0.000506503
9,2449.27,1.27465,1.70319,1.13329,0.64743,0.39019,0.41517,0.25758,1.23075,1.4702,1.1463,0.000494861,0.000494861,0.000494861
10,2708.48,1.27482,1.62137,1.12011,0.60897,0.45179,0.44366,0.2774,1.21013,1.4071,1.14508,0.000483218,0.000483218,0.000483218
11,2952.7,1.24317,1.5251,1.10978,0.53681,0.50918,0.48436,0.30223,1.21994,1.36061,1.161,0.000471576,0.000471576,0.000471576
12,3195.61,1.21992,1.45704,1.10348,0.62674,0.51119,0.50512,0.30495,1.23888,1.38892,1.14612,0.000459934,0.000459934,0.000459934
13,3439.84,1.19897,1.35291,1.10834,0.60396,0.52179,0.50676,0.32429,1.20401,1.27365,1.13706,0.000448291,0.000448291,0.000448291
14,3684.11,1.22404,1.28353,1.10321,0.53076,0.51639,0.47385,0.29432,1.18641,1.27988,1.14073,0.000436649,0.000436649,0.000436649
15,3929.27,1.1695,1.32436,1.08867,0.47017,0.57556,0.50345,0.30935,1.18533,1.17224,1.12808,0.000425006,0.000425006,0.000425006
16,4173.93,1.15603,1.22754,1.07732,0.6261,0.51173,0.55395,0.34734,1.20232,1.13223,1.1355,0.000413364,0.000413364,0.000413364
17,4417.83,1.16745,1.16227,1.08497,0.44468,0.60255,0.54839,0.34651,1.15887,1.14686,1.11215,0.000401722,0.000401722,0.000401722
18,4661.23,1.15964,1.21468,1.08717,0.55202,0.57347,0.56425,0.35388,1.16547,1.17369,1.12497,0.000390079,0.000390079,0.000390079
19,4905.01,1.12529,1.14143,1.06975,0.46639,0.60082,0.54871,0.33979,1.17602,1.13179,1.13006,0.000378437,0.000378437,0.000378437
20,5148.59,1.14212,1.12041,1.07461,0.59405,0.55747,0.59277,0.38765,1.16088,1.10786,1.11794,0.000366794,0.000366794,0.000366794
