epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.162,1.50303,8.32121,1.22077,0.76675,0.17713,0.19672,0.12868,1.32533,2.2954,1.13646,0.00019583,0.00019583,0.00019583
2,585.935,1.46427,6.56229,1.22072,0.77871,0.25181,0.26734,0.15578,1.41015,2.61166,1.24579,0.000384071,0.000384071,0.000384071
3,865.444,1.45032,5.24789,1.22551,0.72372,0.30906,0.29795,0.18775,1.33892,1.89401,1.2165,0.000564552,0.000564552,0.000564552
4,1144.25,1.41707,3.99269,1.20122,0.67638,0.30352,0.35093,0.20895,1.35038,1.79737,1.24068,0.000553073,0.000553073,0.000553073
5,1423.66,1.373,2.98274,1.19992,0.64967,0.36067,0.38529,0.22307,1.33812,1.93297,1.22113,0.00054143,0.00054143,0.00054143
6,1701.35,1.30158,2.5251,1.14787,0.62818,0.34066,0.36493,0.21559,1.28347,1.72086,1.20473,0.000529788,0.000529788,0.000529788
7,1977.76,1.33764,2.23464,1.1691,0.6382,0.40159,0.41175,0.25416,1.26651,1.40391,1.20669,0.000518146,0.000518146,0.000518146
8,2255.65,1.29543,1.90064,1.15488,0.64547,0.37917,0.42274,0.25334,1.29868,1.74427,1.22243,0.000506503,0.000506503,0.000506503
9,2578.44,1.27418,1.70627,1.13945,0.62727,0.45634,0.4429,0.26108,1.23905,1.48274,1.17742,0.000494861,0.000494861,0.000494861
10,2891.23,1.27324,1.65022,1.14136,0.48837,0.49566,0.4564,0.27363,1.2402,1.25537,1.18132,0.000483218,0.000483218,0.000483218
11,3202.56,1.24422,1.5576,1.13102,0.46231,0.5235,0.48224,0.29934,1.18692,1.50074,1.16915,0.000471576,0.000471576,0.000471576
12,3499.32,1.21901,1.42601,1.12515,0.55483,0.50826,0.47458,0.30395,1.22592,1.39962,1.16136,0.000459934,0.000459934,0.000459934
13,3800.14,1.20673,1.38922,1.11417,0.56901,0.51404,0.49097,0.30951,1.17458,1.32323,1.13992,0.000448291,0.000448291,0.000448291
14,4107.43,1.19891,1.32517,1.10491,0.65989,0.48046,0.52562,0.32241,1.1922,1.24089,1.15392,0.000436649,0.000436649,0.000436649
15,4423.64,1.1705,1.30033,1.09041,0.48451,0.59449,0.55222,0.33715,1.15667,1.14996,1.13992,0.000425006,0.000425006,0.000425006
16,4730.25,1.15151,1.22196,1.08302,0.50018,0.55839,0.54598,0.33466,1.17757,1.15709,1.13456,0.000413364,0.000413364,0.000413364
17,5032.92,1.16851,1.16837,1.0996,0.55427,0.60952,0.57728,0.3585,1.14582,1.14043,1.13219,0.000401722,0.000401722,0.000401722
18,5328.08,1.14759,1.17786,1.09339,0.63033,0.57613,0.5901,0.36896,1.18249,1.18177,1.15108,0.000390079,0.000390079,0.000390079
19,5606.42,1.14938,1.17285,1.08595,0.5814,0.54022,0.60121,0.37159,1.13113,1.0417,1.12043,0.000378437,0.000378437,0.000378437
20,5907.42,1.14593,1.08625,1.08576,0.50966,0.70931,0.60297,0.39845,1.16037,1.1271,1.13661,0.000366794,0.000366794,0.000366794
21,6214.9,1.10773,1.06037,1.06966,0.6275,0.61174,0.59788,0.37923,1.14762,1.10857,1.1442,0.000355152,0.000355152,0.000355152
22,6516.41,1.08477,1.03352,1.04889,0.52457,0.62751,0.60117,0.38939,1.13277,1.02574,1.13272,0.00034351,0.00034351,0.00034351
23,6780.9,1.0832,0.99384,1.03884,0.57338,0.68767,0.63662,0.41068,1.14572,1.04428,1.1335,0.000331867,0.000331867,0.000331867
24,7039.78,1.06581,0.96784,1.05013,0.64579,0.66304,0.67979,0.43239,1.1521,1.08034,1.13282,0.000320225,0.000320225,0.000320225
25,7296.93,1.0966,1.00739,1.05856,0.58072,0.64181,0.60486,0.37777,1.14623,1.07895,1.12899,0.000308582,0.000308582,0.000308582
26,7555.26,1.06572,0.94486,1.03587,0.62286,0.57283,0.62726,0.4018,1.12107,1.03826,1.12382,0.00029694,0.00029694,0.00029694
27,7813.9,1.06365,0.94097,1.04636,0.69466,0.55832,0.62798,0.39349,1.13415,1.05965,1.13563,0.000285298,0.000285298,0.000285298
28,8073.05,1.04925,0.90731,1.03392,0.71235,0.69719,0.70503,0.46421,1.12798,1.00183,1.12431,0.000273655,0.000273655,0.000273655
29,8332.37,1.03357,0.9068,1.0317,0.71736,0.67509,0.71975,0.46015,1.15172,0.99069,1.13858,0.000262013,0.000262013,0.000262013
30,8588.94,1.0132,0.87976,1.02083,0.6207,0.69811,0.67457,0.44452,1.12651,0.97946,1.12268,0.00025037,0.00025037,0.00025037
31,8847.27,1.01293,0.8647,1.01506,0.56839,0.63424,0.65415,0.43081,1.12229,0.97206,1.12937,0.000238728,0.000238728,0.000238728
32,9105.68,1.02184,0.84472,1.01801,0.58727,0.74039,0.69454,0.44801,1.12703,0.98806,1.13124,0.000227086,0.000227086,0.000227086
33,9395.91,1.0061,0.83552,1.01112,0.59496,0.64932,0.66432,0.41762,1.13894,0.94594,1.13133,0.000215443,0.000215443,0.000215443
34,9710.33,0.98498,0.83315,0.99891,0.67293,0.7223,0.7269,0.47572,1.11241,0.96728,1.11225,0.000203801,0.000203801,0.000203801
35,10016.5,0.9641,0.79998,0.99838,0.69632,0.66674,0.69924,0.46336,1.10234,0.9668,1.11061,0.000192158,0.000192158,0.000192158
36,10308.6,0.95506,0.78299,0.98941,0.63303,0.73203,0.72671,0.49125,1.1135,0.93835,1.1252,0.000180516,0.000180516,0.000180516
37,10599.7,0.96391,0.75591,1.00662,0.69602,0.70141,0.73327,0.48434,1.1178,0.93391,1.10915,0.000168874,0.000168874,0.000168874
38,10898.1,0.95324,0.75684,0.99298,0.65145,0.71495,0.73465,0.49396,1.10661,0.94312,1.10919,0.000157231,0.000157231,0.000157231
39,11192.2,0.93002,0.74338,0.97846,0.79995,0.64552,0.7427,0.50096,1.1139,0.97385,1.11063,0.000145589,0.000145589,0.000145589
40,11481.6,0.91909,0.74417,0.98079,0.74145,0.63705,0.71172,0.48441,1.11623,0.97439,1.12322,0.000133946,0.000133946,0.000133946
41,11765.3,0.9238,0.71093,0.99196,0.65228,0.70124,0.71119,0.47374,1.11748,0.93693,1.13631,0.000122304,0.000122304,0.000122304
