epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.626,1.50894,8.37618,1.21768,0.58646,0.17093,0.1505,0.09528,1.38971,2.65099,1.14191,0.00019583,0.00019583,0.00019583
2,481.521,1.46017,6.588,1.21363,0.71381,0.27528,0.27562,0.17262,1.34776,2.04446,1.18865,0.000384071,0.000384071,0.000384071
3,716.342,1.44841,5.15787,1.22267,0.74216,0.32926,0.33671,0.19881,1.33164,1.76592,1.21146,0.000564552,0.000564552,0.000564552
4,949.615,1.42577,3.97495,1.18971,0.67911,0.28812,0.42979,0.25887,1.34726,1.77009,1.20657,0.000553073,0.000553073,0.000553073
5,1182.07,1.37468,3.01474,1.18803,0.70194,0.32375,0.41998,0.2528,1.31309,1.90745,1.20519,0.00054143,0.00054143,0.00054143
6,1421.01,1.30346,2.56132,1.1415,0.718,0.34014,0.40576,0.24747,1.31529,1.60392,1.20499,0.000529788,0.000529788,0.000529788
7,1665.75,1.34052,2.1926,1.16857,0.63988,0.40869,0.4286,0.25666,1.29869,1.67238,1.19052,0.000518146,0.000518146,0.000518146
8,1908.64,1.29775,1.87368,1.14891,0.6815,0.40388,0.46661,0.29437,1.23364,1.76317,1.16501,0.000506503,0.000506503,0.000506503
9,2141.24,1.28559,1.75047,1.14632,0.58357,0.40386,0.41263,0.24406,1.24201,1.38324,1.17076,0.000494861,0.000494861,0.000494861
10,2377.66,1.26584,1.63992,1.13799,0.66498,0.40833,0.45076,0.27069,1.25173,1.35541,1.17688,0.000483218,0.000483218,0.000483218
11,2612.32,1.23706,1.51068,1.11856,0.55558,0.50838,0.51331,0.3176,1.23009,1.40757,1.1715,0.000471576,0.000471576,0.000471576
12,2844.71,1.22595,1.4468,1.11779,0.54064,0.51131,0.49932,0.29813,1.25241,1.29048,1.16413,0.000459934,0.000459934,0.000459934
13,3078.9,1.2093,1.38843,1.11853,0.57065,0.55283,0.52135,0.32887,1.18255,1.19533,1.12951,0.000448291,0.000448291,0.000448291
14,3311.54,1.19983,1.29916,1.10337,0.58248,0.51096,0.5344,0.33022,1.18399,1.1952,1.13414,0.000436649,0.000436649,0.000436649
15,3543.83,1.16254,1.2985,1.08632,0.68434,0.52287,0.57098,0.36296,1.18135,1.16763,1.14417,0.000425006,0.000425006,0.000425006
16,3785.44,1.14345,1.23112,1.07468,0.67428,0.51317,0.57253,0.3465,1.2037,1.181,1.14193,0.000413364,0.000413364,0.000413364
17,4077.62,1.18113,1.15769,1.10033,0.57306,0.64659,0.64012,0.39829,1.16318,1.17166,1.14118,0.000401722,0.000401722,0.000401722
18,4353.59,1.16386,1.16497,1.08761,0.6299,0.55808,0.57967,0.36587,1.16532,1.10027,1.13605,0.000390079,0.000390079,0.000390079
19,4623.3,1.12786,1.16677,1.07428,0.61327,0.5604,0.58274,0.36423,1.1852,1.12696,1.1385,0.000378437,0.000378437,0.000378437
20,4887.28,1.15425,1.10259,1.08105,0.57779,0.62402,0.60449,0.39484,1.17372,1.15261,1.13632,0.000366794,0.000366794,0.000366794
21,5152.14,1.1043,1.06427,1.06331,0.55657,0.59238,0.59913,0.37438,1.18322,1.14666,1.1516,0.000355152,0.000355152,0.000355152
22,5418.35,1.09836,1.0431,1.04347,0.614,0.59949,0.61417,0.38459,1.17681,1.03683,1.13943,0.00034351,0.00034351,0.00034351
23,5682.63,1.08491,0.97617,1.0294,0.55139,0.60508,0.58225,0.36883,1.15535,1.07303,1.1306,0.000331867,0.000331867,0.000331867
24,5949.69,1.07245,0.96842,1.05036,0.52021,0.65497,0.62164,0.39042,1.17287,1.04272,1.14463,0.000320225,0.000320225,0.000320225
25,6207.18,1.09374,1.00601,1.05433,0.53728,0.66487,0.63377,0.3846,1.18114,1.14645,1.13417,0.000308582,0.000308582,0.000308582
26,6441.2,1.06071,0.95348,1.03478,0.55067,0.65656,0.64363,0.4025,1.1623,1.06923,1.12869,0.00029694,0.00029694,0.00029694
27,6673.16,1.0701,0.93956,1.04495,0.5832,0.6435,0.64253,0.39641,1.13488,1.05656,1.12296,0.000285298,0.000285298,0.000285298
28,6906.75,1.04615,0.9115,1.02687,0.5785,0.66466,0.66047,0.4154,1.16365,0.98269,1.13048,0.000273655,0.000273655,0.000273655
29,7139.98,1.02052,0.91695,1.01818,0.61005,0.5947,0.63041,0.40329,1.16128,1.02256,1.13997,0.000262013,0.000262013,0.000262013
30,7374.86,1.02984,0.8914,1.02035,0.58132,0.75089,0.70365,0.46662,1.14158,0.99971,1.12086,0.00025037,0.00025037,0.00025037
31,7632.19,1.00984,0.88421,1.01096,0.52486,0.76208,0.67118,0.4331,1.1198,1.00332,1.11397,0.000238728,0.000238728,0.000238728
32,7886,1.01367,0.84139,1.01427,0.65825,0.6948,0.72323,0.47047,1.1331,1.00033,1.12193,0.000227086,0.000227086,0.000227086
