epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.836,1.54425,8.44699,1.24056,0.77995,0.19137,0.20228,0.12827,1.40684,2.40362,1.13364,0.00019583,0.00019583,0.00019583
2,529.833,1.49931,6.07373,1.20714,0.76826,0.23288,0.25433,0.14837,1.38702,2.27022,1.15729,0.000353039,0.000353039,0.000353039
3,788.464,1.42752,4.30458,1.17876,0.67994,0.31557,0.31957,0.19479,1.36325,1.83106,1.15013,0.000471439,0.000471439,0.000471439
4,1041.46,1.40269,3.27883,1.17127,0.7084,0.32647,0.35271,0.22267,1.26203,1.66338,1.13398,0.000413364,0.000413364,0.000413364
5,1291.77,1.34407,2.50674,1.14557,0.6973,0.36991,0.41588,0.25735,1.29028,1.68228,1.12554,0.000355152,0.000355152,0.000355152
6,1612.24,1.28599,2.15705,1.11457,0.72095,0.42367,0.49539,0.31786,1.2147,1.39352,1.07444,0.00029694,0.00029694,0.00029694
7,1859.54,1.24009,1.84454,1.09279,0.71935,0.43075,0.49101,0.3115,1.17898,1.41812,1.07492,0.000238728,0.000238728,0.000238728
8,2107.21,1.16257,1.66348,1.05231,0.63645,0.52028,0.53594,0.34749,1.12923,1.23386,1.05809,0.000180516,0.000180516,0.000180516
9,2346.55,1.16234,1.57583,1.05139,0.67429,0.46102,0.55635,0.37108,1.09935,1.22278,1.03499,0.000122304,0.000122304,0.000122304
10,2586.8,1.10013,1.43341,1.02702,0.75665,0.44216,0.60745,0.4212,1.08714,1.16845,1.028,6.4092e-05,6.4092e-05,6.4092e-05
