epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.372,1.50355,8.39982,1.21947,0.84463,0.16292,0.18735,0.12522,1.32119,2.35407,1.11366,0.00019583,0.00019583,0.00019583
2,595.125,1.4735,6.60381,1.21237,0.73443,0.25136,0.28672,0.17098,1.41817,2.24525,1.20353,0.000384071,0.000384071,0.000384071
3,873.547,1.44465,5.15579,1.20521,0.68509,0.31811,0.32406,0.19915,1.30326,1.65044,1.16718,0.000564552,0.000564552,0.000564552
4,1153.35,1.41843,3.93574,1.17761,0.61075,0.2901,0.36143,0.22734,1.32306,1.76809,1.18747,0.000553073,0.000553073,0.000553073
5,1425.52,1.3791,2.97372,1.18749,0.67727,0.36126,0.37545,0.21363,1.28811,1.95505,1.1547,0.00054143,0.00054143,0.00054143
6,1770.43,1.30753,2.52392,1.12692,0.64757,0.34297,0.36465,0.22516,1.30878,1.55617,1.1838,0.000529788,0.000529788,0.000529788
7,2035.57,1.32444,2.19444,1.13921,0.63691,0.37276,0.40176,0.24208,1.2742,1.50349,1.15047,0.000518146,0.000518146,0.000518146
8,2301.91,1.29552,1.87372,1.13683,0.53749,0.35589,0.36829,0.23434,1.24687,1.65246,1.14854,0.000506503,0.000506503,0.000506503
9,2537.31,1.27227,1.73729,1.12923,0.61001,0.37022,0.38454,0.24421,1.21806,1.50059,1.12642,0.000494861,0.000494861,0.000494861
10,2773.61,1.27015,1.63092,1.11328,0.60891,0.40968,0.43446,0.26635,1.23465,1.34901,1.14079,0.000483218,0.000483218,0.000483218
11,3081.76,1.22409,1.53973,1.10449,0.64485,0.4316,0.44768,0.27893,1.20044,1.37323,1.13968,0.000471576,0.000471576,0.000471576
12,3313.55,1.21771,1.43722,1.10289,0.5589,0.44558,0.44773,0.28095,1.22192,1.35794,1.13254,0.000459934,0.000459934,0.000459934
13,3544.46,1.20776,1.40114,1.10525,0.65746,0.47537,0.5104,0.33119,1.15567,1.23859,1.10843,0.000448291,0.000448291,0.000448291
14,3775.8,1.19455,1.31428,1.09044,0.49809,0.62879,0.55806,0.35103,1.17426,1.24825,1.12647,0.000436649,0.000436649,0.000436649
15,4006.99,1.16712,1.32278,1.07621,0.61359,0.55402,0.53091,0.33449,1.16602,1.15677,1.11674,0.000425006,0.000425006,0.000425006
16,4318.63,1.14568,1.2158,1.06854,0.44096,0.58052,0.52118,0.32805,1.19663,1.21274,1.11687,0.000413364,0.000413364,0.000413364
17,4555.22,1.17369,1.1635,1.0909,0.48115,0.67809,0.56262,0.34706,1.17078,1.22194,1.1142,0.000401722,0.000401722,0.000401722
