epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.779,1.5387,8.49932,1.23856,0.88738,0.16994,0.18619,0.12547,1.34563,2.18502,1.12959,0.00019583,0.00019583,0.00019583
2,558.036,1.47434,5.92933,1.2148,0.80316,0.24903,0.27033,0.16434,1.35566,1.89672,1.16993,0.000353039,0.000353039,0.000353039
3,828.553,1.44353,4.29712,1.19465,0.60235,0.33706,0.34405,0.21123,1.34619,1.62882,1.14844,0.000471439,0.000471439,0.000471439
4,1088.85,1.42744,3.22475,1.19322,0.55276,0.35733,0.36014,0.22455,1.27519,1.74005,1.13937,0.000413364,0.000413364,0.000413364
5,1352.54,1.35139,2.43285,1.1568,0.70451,0.36569,0.38283,0.23856,1.2427,1.56459,1.09745,0.000355152,0.000355152,0.000355152
6,1689.98,1.29136,2.0953,1.12111,0.62668,0.41226,0.43708,0.28327,1.19842,1.35531,1.0939,0.00029694,0.00029694,0.00029694
7,1941.17,1.22714,1.79967,1.0941,0.66207,0.42224,0.47047,0.29811,1.15484,1.38647,1.05792,0.000238728,0.000238728,0.000238728
8,2192.26,1.15474,1.60321,1.05104,0.51808,0.49246,0.48166,0.31356,1.13816,1.31632,1.05788,0.000180516,0.000180516,0.000180516
9,2452.13,1.15487,1.51478,1.05371,0.60346,0.45317,0.52451,0.34505,1.11287,1.24157,1.04918,0.000122304,0.000122304,0.000122304
10,2707.78,1.09239,1.38948,1.02918,0.63217,0.49611,0.5659,0.37358,1.08869,1.17663,1.03526,6.4092e-05,6.4092e-05,6.4092e-05
