epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.638,1.56582,8.41197,1.28763,0.71454,0.21589,0.23545,0.14781,1.31146,2.39921,1.12905,0.00019583,0.00019583,0.00019583
2,531.945,1.45725,5.66535,1.22956,0.80412,0.23489,0.29072,0.18037,1.31641,2.06108,1.14436,0.000353039,0.000353039,0.000353039
3,798.979,1.40894,4.24047,1.19647,0.85723,0.26637,0.31852,0.18576,1.30929,1.88424,1.16003,0.000471439,0.000471439,0.000471439
4,1059.45,1.38856,3.08313,1.19986,0.58355,0.3731,0.34448,0.20714,1.2898,1.53976,1.14991,0.000413364,0.000413364,0.000413364
5,1317.39,1.30189,2.45359,1.16054,0.7616,0.32269,0.4059,0.2509,1.28523,1.65412,1.13802,0.000355152,0.000355152,0.000355152
6,1654.17,1.27008,2.04883,1.13853,0.54425,0.48984,0.46736,0.28199,1.23028,1.43442,1.09343,0.00029694,0.00029694,0.00029694
7,1911.17,1.24279,1.79665,1.12283,0.66087,0.47118,0.48113,0.30009,1.15992,1.29886,1.07631,0.000238728,0.000238728,0.000238728
8,2167.18,1.17049,1.58353,1.09237,0.65751,0.46052,0.5176,0.31168,1.14555,1.45347,1.07746,0.000180516,0.000180516,0.000180516
9,2422.83,1.13755,1.48743,1.07701,0.68027,0.49927,0.53635,0.34017,1.14448,1.2707,1.07801,0.000122304,0.000122304,0.000122304
10,2677.5,1.10812,1.35231,1.05635,0.63051,0.49728,0.52881,0.34262,1.12826,1.19523,1.06041,6.4092e-05,6.4092e-05,6.4092e-05
