epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,9,burnin_observe,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
5,9,burnin_observe,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
5,9,burnin_observe,local_contrast,prob,0.0,0.015,texture_boundary_weak,
5,9,burnin_observe,local_contrast,strength,0.0,0.02,texture_boundary_weak,
10,12,burnin_observe,sharpen_mild,prob,0.0,0.015,weak_localization,
10,12,burnin_observe,sharpen_mild,strength,0.0,0.02,weak_localization,
10,12,burnin_observe,local_contrast,prob,0.0,0.015,weak_localization,
10,12,burnin_observe,local_contrast,strength,0.0,0.02,weak_localization,
15,12,no_op_fallback,local_contrast,prob,0.0,0.015,low_contrast_fn,adaptive_burnin_not_ready
15,12,no_op_fallback,local_contrast,strength,0.0,0.02,low_contrast_fn,adaptive_burnin_not_ready
15,12,no_op_fallback,gamma,prob,0.0,0.01,low_contrast_fn,adaptive_burnin_not_ready
15,12,no_op_fallback,gamma,strength,0.0,0.015,low_contrast_fn,adaptive_burnin_not_ready
20,,no_op_fallback,,,,,,adaptive_burnin_not_ready
25,,no_op_fallback,,,,,,adaptive_burnin_not_ready
30,,no_op_fallback,,,,,,adaptive_burnin_not_ready
35,,no_op_fallback,,,,,,adaptive_burnin_not_ready
40,,no_op_fallback,,,,,,"epoch_ge_40,adaptive_burnin_not_ready"
45,,no_op_fallback,,,,,,"epoch_ge_40,adaptive_burnin_not_ready"
