epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.07,1.5387,8.49932,1.23856,0.88738,0.16994,0.18619,0.12547,1.34563,2.18502,1.12959,0.00019583,0.00019583,0.00019583
2,546.517,1.47434,5.92933,1.2148,0.80316,0.24903,0.27033,0.16434,1.35566,1.89672,1.16993,0.000353039,0.000353039,0.000353039
3,804.265,1.44353,4.29712,1.19465,0.60235,0.33706,0.34405,0.21123,1.34619,1.62882,1.14844,0.000471439,0.000471439,0.000471439
4,1064.08,1.42744,3.22475,1.19322,0.55276,0.35733,0.36014,0.22455,1.27519,1.74005,1.13937,0.000413364,0.000413364,0.000413364
5,1328.9,1.35139,2.43285,1.1568,0.70451,0.36569,0.38283,0.23856,1.2427,1.56459,1.09745,0.000355152,0.000355152,0.000355152
6,1670.88,1.28745,2.08592,1.11727,0.61174,0.44366,0.44239,0.28506,1.18344,1.35552,1.07181,0.00029694,0.00029694,0.00029694
7,1925.59,1.23355,1.79107,1.09098,0.7132,0.47615,0.49812,0.31156,1.16771,1.47825,1.05965,0.000238728,0.000238728,0.000238728
8,2179.78,1.16941,1.60734,1.05426,0.65284,0.4839,0.49237,0.32235,1.11997,1.26482,1.04229,0.000180516,0.000180516,0.000180516
9,2437.38,1.14523,1.50563,1.04819,0.57064,0.51025,0.51245,0.3439,1.09864,1.25264,1.04178,0.000122304,0.000122304,0.000122304
10,2697.8,1.09693,1.39183,1.02977,0.61038,0.50948,0.53447,0.35096,1.10162,1.17676,1.04081,6.4092e-05,6.4092e-05,6.4092e-05
