seed,epoch,original_fixed_candidate,original_fixed_action,original_fixed_active_class,original_fixed_dominant_issue,original_fixed_op_list,original_fixed_prob_strength,original_fixed_roi_expected,original_fixed_industrial_expected,fixed_constraint_failed,fixed_constraint_passed,weak_replay_active_class,weak_replay_dominant_issue,weak_replay_original_ops,risk_level,risk_basis,strict_metric_low_risk,original_causal_score,original_causal_accept,estimated_precision_drop,non_active_fp_delta,high_confidence_fp_delta,high_fp_spillover_rate,non_active_regression_rate,ratio_0_25_accepted,ratio_0_25_rejection_reasons,original_rejection_reasons,final_replay_action,decision_reason,selected_op,selected_op_source,original_prob_strength_for_weak,weak_prob_strength,attenuation_ratio,noop_reason,sampler_only_used
0,5,fixed_catf_v2_roi_texture,accept,4;11,c4:low_recall;c11:texture_boundary_weak,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c11:local_contrast:0.015/0.02; c11:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,8,low_recall,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.15200000000000002,False,0.04,0.05,0.036000000000000004,0.055,0.066,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,10,fixed_catf_v2_roi_texture,rollback,4,c4:low_recall,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,8,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.08850000000000001,False,0.027,0.05,0.036000000000000004,0.045,0.054,False,no_prior_image_causal_evidence,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,15,fixed_catf_v2_roi_texture,accept,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,12,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.1125,False,0.033,0.05,0.05,0.055,0.066,False,no_prior_image_causal_evidence,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,20,fixed_catf_v2_roi_texture,shrink,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,9,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.09183333333333332,False,0.027,0.05,0.05,0.045,0.054,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,25,fixed_catf_v2_roi_texture,shrink,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,9,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,0.01726315789473684,True,0.03,0.05,0.05,0.05,0.06,True,,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,30,fixed_catf_v2_roi_texture,observe,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,-1,,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,0.0,False,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,35,fixed_catf_v2_roi_texture,observe,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,-1,,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,0.0,False,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,40,fixed_catf_v2_roi_texture,freeze,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,6,low_contrast_fn,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.08123684210526316,False,0.024,0.048,0.042,0.04,0.048,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
0,45,fixed_catf_v2_roi_texture,freeze,4;12,c4:low_recall;c12:weak_localization,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c12:weak_localization:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c12:local_contrast:0.015/0.02; c12:sharpen_mild:0.015/0.02,"fixed_run_total=45; affected={'4': 9, '11': 22, '12': 14}",fixed_run_total=41,False,True,-1,,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,0.0,False,0.0,0.0,0.0,0.0,0.0,False,no_prior_image_causal_evidence,causal_score_not_positive;insufficient_active_class_benefit;insufficient_evidence_count;diagnosis_confidence_too_low,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
1,5,fixed_catf_v2_roi_texture,accept,4;11,c4:low_recall;c11:texture_boundary_weak,"c4:low_recall:local_contrast@p=0.005/s=0.01,sharpen_mild@p=0.005/s=0.01; c11:texture_boundary_weak:local_contrast@p=0.015/s=0.02,sharpen_mild@p=0.015/s=0.02",c4:local_contrast:0.005/0.01; c4:sharpen_mild:0.005/0.01; c11:local_contrast:0.015/0.02; c11:sharpen_mild:0.015/0.02,"fixed_run_total=56; affected={'4': 5, '11': 51}",fixed_run_total=55,False,True,6,texture_boundary_weak,"[""sharpen_mild"", ""local_contrast""]",low,fixed outcome pass + executable conservative fixed image policy; alternate weak candidate not allowed to replace it,False,-0.11525,False,0.033,0.05,0.03,0.055,0.066,False,no_prior_image_causal_evidence,causal_score_not_positive;high_fp_spillover_rate_too_high;non_active_regression_rate_too_high;bbox_instability_rate_too_high;estimated_precision_drop_too_high;non_active_fp_delta_too_high;high_confidence_fp_delta_too_high,preserve_original,fixed_seed_constraint_passed_preserve_safe_original_precedence,,,,,,,False
