epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.018,1.50065,7.88552,1.25639,0.8412,0.14921,0.19912,0.12652,1.38913,2.27595,1.15048,0.00019583,0.00019583,0.00019583
2,538.393,1.44092,7.08584,1.21611,0.71799,0.22736,0.26871,0.1675,1.3539,2.00639,1.19347,0.000384071,0.000384071,0.000384071
3,771.632,1.42811,5.31036,1.24458,0.75174,0.30208,0.34746,0.20174,1.35059,1.90655,1.23069,0.000564552,0.000564552,0.000564552
4,1005.22,1.41195,4.08517,1.23413,0.61097,0.34071,0.34169,0.2054,1.35262,1.78492,1.23101,0.000553073,0.000553073,0.000553073
5,1243,1.3412,3.03519,1.21406,0.57142,0.47866,0.39571,0.23466,1.32324,1.59446,1.2296,0.00054143,0.00054143,0.00054143
6,1565.92,1.343,2.42102,1.23558,0.62829,0.39345,0.42688,0.25819,1.25763,1.51647,1.21388,0.000529788,0.000529788,0.000529788
7,1798.2,1.30206,2.15014,1.22107,0.58764,0.41609,0.40681,0.23443,1.30102,1.47832,1.21429,0.000518146,0.000518146,0.000518146
8,2031.46,1.31313,1.98276,1.20967,0.54914,0.4268,0.43088,0.25649,1.27063,1.65475,1.21091,0.000506503,0.000506503,0.000506503
9,2270.98,1.29817,1.86934,1.22266,0.68298,0.42374,0.4685,0.28902,1.27376,1.32676,1.1849,0.000494861,0.000494861,0.000494861
10,2507.67,1.25167,1.74804,1.17223,0.5644,0.43041,0.441,0.28921,1.19119,1.3725,1.17593,0.000483218,0.000483218,0.000483218
11,2820.85,1.25442,1.56382,1.1724,0.56653,0.52673,0.50324,0.30956,1.19349,1.23301,1.16324,0.000471576,0.000471576,0.000471576
12,3054.56,1.22882,1.45346,1.17271,0.68722,0.45536,0.48852,0.29372,1.20353,1.43087,1.16027,0.000459934,0.000459934,0.000459934
13,3287.6,1.19905,1.36899,1.14673,0.67817,0.49062,0.55242,0.33852,1.18145,1.41405,1.16264,0.000448291,0.000448291,0.000448291
14,3521.75,1.18129,1.36864,1.14206,0.42714,0.56829,0.53452,0.34491,1.18444,1.19283,1.16085,0.000436649,0.000436649,0.000436649
15,3754.44,1.18652,1.33706,1.1289,0.5715,0.60964,0.59009,0.35799,1.18583,1.37514,1.1667,0.000425006,0.000425006,0.000425006
16,4065.31,1.15685,1.21126,1.14235,0.54969,0.57231,0.56713,0.34945,1.19282,1.12936,1.17028,0.000413364,0.000413364,0.000413364
17,4295.83,1.16106,1.25203,1.13212,0.60955,0.62831,0.58145,0.36035,1.16698,1.07556,1.17144,0.000401722,0.000401722,0.000401722
18,4533.68,1.14002,1.12843,1.10838,0.70565,0.52236,0.57838,0.37248,1.17377,1.17888,1.15249,0.000390079,0.000390079,0.000390079
19,4795.6,1.1074,1.13147,1.09164,0.71518,0.58887,0.63421,0.39953,1.19958,1.10853,1.17866,0.000378437,0.000378437,0.000378437
20,5063.28,1.10996,1.10678,1.10356,0.64621,0.61346,0.61373,0.38873,1.18826,1.22801,1.17349,0.000366794,0.000366794,0.000366794
21,5405.5,1.09961,1.0699,1.07967,0.65383,0.55423,0.60292,0.37869,1.14641,1.17138,1.13865,0.000355152,0.000355152,0.000355152
22,5671.1,1.06935,1.00066,1.08618,0.49598,0.63867,0.59109,0.36918,1.15313,1.08578,1.16228,0.00034351,0.00034351,0.00034351
23,5929.35,1.09362,1.0259,1.09056,0.58186,0.60027,0.5592,0.33788,1.17753,1.18061,1.17101,0.000331867,0.000331867,0.000331867
24,6190.92,1.07519,0.98436,1.0843,0.55627,0.616,0.61816,0.3792,1.17193,1.07664,1.15513,0.000320225,0.000320225,0.000320225
25,6451.01,1.06886,0.95429,1.07975,0.54333,0.637,0.61018,0.37339,1.17226,1.05283,1.15341,0.000308582,0.000308582,0.000308582
26,6793.14,1.06135,0.97932,1.07343,0.62776,0.58912,0.61503,0.37993,1.17052,1.06663,1.15123,0.00029694,0.00029694,0.00029694
27,7052,1.05442,0.9445,1.0763,0.57281,0.62625,0.6226,0.37532,1.15237,1.11257,1.15599,0.000285298,0.000285298,0.000285298
28,7309.19,1.02978,0.90156,1.04202,0.62214,0.60932,0.62725,0.40005,1.15478,1.08422,1.15864,0.000273655,0.000273655,0.000273655
29,7570.59,1.00046,0.8906,1.04068,0.59019,0.61771,0.63745,0.40793,1.13225,1.10166,1.1291,0.000262013,0.000262013,0.000262013
30,7824.86,1.00728,0.85629,1.0408,0.56173,0.71982,0.65751,0.42885,1.1225,1.07597,1.13672,0.00025037,0.00025037,0.00025037
31,8160.69,1.00221,0.8584,1.04232,0.55869,0.63637,0.6236,0.40381,1.16115,1.09385,1.15882,0.000238728,0.000238728,0.000238728
32,8414.55,1.00407,0.85829,1.04834,0.56404,0.60782,0.61691,0.39345,1.13966,1.04024,1.14125,0.000227086,0.000227086,0.000227086
33,8668.39,0.98031,0.83271,1.03942,0.62445,0.62786,0.65911,0.42441,1.11833,0.98445,1.13151,0.000215443,0.000215443,0.000215443
34,8930.13,0.99783,0.80481,1.04547,0.62928,0.59742,0.65862,0.41924,1.12444,1.01356,1.13644,0.000203801,0.000203801,0.000203801
