epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,,shrink,,,,,,global_precision_guard
10,11,accept,sharpen_mild,prob,0.015,0.03,texture_boundary_weak,
10,11,accept,sharpen_mild,strength,0.02,0.04,texture_boundary_weak,
10,11,accept,local_contrast,prob,0.015,0.03,texture_boundary_weak,
10,11,accept,local_contrast,strength,0.02,0.04,texture_boundary_weak,
15,,shrink,,,,,,global_precision_guard
20,,shrink,,,,,,global_map95_guard
25,,shrink,,,,,,"global_map50_guard,global_map95_guard"
30,,shrink,,,,,,global_precision_guard
35,,shrink,,,,,,global_precision_guard
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
