epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.719,1.50065,7.88552,1.25639,0.8412,0.14921,0.19912,0.12652,1.38913,2.27595,1.15048,0.00019583,0.00019583,0.00019583
2,564.73,1.44092,7.08584,1.21611,0.71799,0.22736,0.26871,0.1675,1.3539,2.00639,1.19347,0.000384071,0.000384071,0.000384071
3,816.939,1.42811,5.31036,1.24458,0.75174,0.30208,0.34746,0.20174,1.35059,1.90655,1.23069,0.000564552,0.000564552,0.000564552
4,1065.55,1.41195,4.08517,1.23413,0.61097,0.34071,0.34169,0.2054,1.35262,1.78492,1.23101,0.000553073,0.000553073,0.000553073
5,1317.6,1.3412,3.03519,1.21406,0.57142,0.47866,0.39571,0.23466,1.32324,1.59446,1.2296,0.00054143,0.00054143,0.00054143
6,1658.18,1.34309,2.42455,1.23537,0.62958,0.38381,0.42838,0.25697,1.26681,1.51913,1.21649,0.000529788,0.000529788,0.000529788
7,1929.98,1.30393,2.14888,1.22477,0.6693,0.37174,0.42573,0.26054,1.25813,1.40088,1.19822,0.000518146,0.000518146,0.000518146
8,2192.43,1.33589,1.98941,1.22595,0.64046,0.462,0.4588,0.29073,1.23129,1.8312,1.21006,0.000506503,0.000506503,0.000506503
9,2459.11,1.30706,1.86618,1.22684,0.57986,0.47223,0.45063,0.27955,1.24602,1.35817,1.20744,0.000494861,0.000494861,0.000494861
10,2739.65,1.25641,1.72637,1.17727,0.54794,0.52134,0.48747,0.30932,1.20839,1.43002,1.18317,0.000483218,0.000483218,0.000483218
11,3094.96,1.23651,1.56225,1.16969,0.56056,0.48743,0.50498,0.3061,1.19421,1.64609,1.16938,0.000471576,0.000471576,0.000471576
12,3356.75,1.22258,1.45137,1.16851,0.60387,0.48826,0.44637,0.2808,1.22116,1.51963,1.1768,0.000459934,0.000459934,0.000459934
13,3615.91,1.19504,1.36064,1.14729,0.54562,0.51741,0.51341,0.32018,1.15617,1.52738,1.1592,0.000448291,0.000448291,0.000448291
14,3869.51,1.18355,1.35337,1.14203,0.40069,0.65357,0.54416,0.33581,1.18239,1.37354,1.16523,0.000436649,0.000436649,0.000436649
15,4117.73,1.18203,1.33734,1.12956,0.60911,0.52446,0.56007,0.34456,1.18446,1.41872,1.17189,0.000425006,0.000425006,0.000425006
16,4447.08,1.14592,1.2256,1.13615,0.6135,0.5459,0.60744,0.36745,1.16009,1.17219,1.16291,0.000413364,0.000413364,0.000413364
17,4693.73,1.15476,1.22013,1.12739,0.65662,0.52637,0.5897,0.35416,1.14586,1.12255,1.14899,0.000401722,0.000401722,0.000401722
18,4942,1.13914,1.12436,1.10759,0.64148,0.57462,0.59946,0.37643,1.14603,1.12101,1.1328,0.000390079,0.000390079,0.000390079
19,5189.85,1.1014,1.11537,1.09109,0.55184,0.62005,0.62382,0.3816,1.17453,1.12808,1.15746,0.000378437,0.000378437,0.000378437
20,5440.33,1.10464,1.10091,1.09493,0.61533,0.56282,0.58645,0.3657,1.17453,1.17229,1.15809,0.000366794,0.000366794,0.000366794
