epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.243,1.50065,7.88552,1.25639,0.8412,0.14921,0.19912,0.12652,1.38913,2.27595,1.15048,0.00019583,0.00019583,0.00019583
2,588.762,1.44092,7.08584,1.21611,0.71799,0.22736,0.26871,0.1675,1.3539,2.00639,1.19347,0.000384071,0.000384071,0.000384071
3,845.276,1.42811,5.31036,1.24458,0.75174,0.30208,0.34746,0.20174,1.35059,1.90655,1.23069,0.000564552,0.000564552,0.000564552
4,1098.99,1.41195,4.08517,1.23413,0.61097,0.34071,0.34169,0.2054,1.35262,1.78492,1.23101,0.000553073,0.000553073,0.000553073
5,1365.88,1.3412,3.03519,1.21406,0.57142,0.47866,0.39571,0.23466,1.32324,1.59446,1.2296,0.00054143,0.00054143,0.00054143
6,1719.7,1.343,2.42102,1.23558,0.62829,0.39345,0.42688,0.25819,1.25763,1.51647,1.21388,0.000529788,0.000529788,0.000529788
7,1973.74,1.30206,2.15014,1.22107,0.58764,0.41609,0.40681,0.23443,1.30102,1.47832,1.21429,0.000518146,0.000518146,0.000518146
8,2228.95,1.31313,1.98276,1.20967,0.54914,0.4268,0.43088,0.25649,1.27063,1.65475,1.21091,0.000506503,0.000506503,0.000506503
9,2484.99,1.29817,1.86934,1.22266,0.68298,0.42374,0.4685,0.28902,1.27376,1.32676,1.1849,0.000494861,0.000494861,0.000494861
10,2744.1,1.25167,1.74804,1.17223,0.5644,0.43041,0.441,0.28921,1.19119,1.3725,1.17593,0.000483218,0.000483218,0.000483218
11,3082.54,1.25118,1.564,1.17201,0.56045,0.53758,0.50847,0.31509,1.18448,1.2533,1.15391,0.000471576,0.000471576,0.000471576
12,3336.69,1.23278,1.44875,1.17628,0.65021,0.46658,0.49549,0.3011,1.22617,1.38446,1.17634,0.000459934,0.000459934,0.000459934
13,3590.39,1.21101,1.37988,1.15391,0.46727,0.55787,0.51756,0.31935,1.19635,1.45867,1.17261,0.000448291,0.000448291,0.000448291
14,3844.5,1.1897,1.36567,1.14854,0.598,0.53716,0.519,0.318,1.20108,1.21581,1.19315,0.000436649,0.000436649,0.000436649
15,4098.26,1.17917,1.31334,1.12576,0.48426,0.61141,0.55296,0.35446,1.16795,1.23516,1.15061,0.000425006,0.000425006,0.000425006
16,4438.63,1.14091,1.2353,1.12925,0.46943,0.64426,0.59093,0.35438,1.20028,1.20004,1.17151,0.000413364,0.000413364,0.000413364
17,4692.7,1.14881,1.23437,1.12194,0.62622,0.57795,0.57738,0.36395,1.15808,1.149,1.16238,0.000401722,0.000401722,0.000401722
18,4946.91,1.1404,1.13283,1.11119,0.65107,0.58987,0.60387,0.3868,1.18292,1.20094,1.14851,0.000390079,0.000390079,0.000390079
19,5201.48,1.10578,1.13607,1.08829,0.51263,0.62083,0.60652,0.38417,1.16129,1.14617,1.1579,0.000378437,0.000378437,0.000378437
20,5456.45,1.11809,1.1042,1.10277,0.65591,0.56434,0.57831,0.37719,1.17453,1.23649,1.15477,0.000366794,0.000366794,0.000366794
21,5791.77,1.10107,1.08588,1.08367,0.55936,0.63757,0.62295,0.38996,1.16871,1.14989,1.15667,0.000355152,0.000355152,0.000355152
22,6046.05,1.08587,0.99922,1.09422,0.63178,0.56161,0.59957,0.3845,1.13821,1.04953,1.15351,0.00034351,0.00034351,0.00034351
23,6305.35,1.09854,1.03903,1.0886,0.59658,0.61355,0.5913,0.36996,1.15443,1.0765,1.14349,0.000331867,0.000331867,0.000331867
24,6566.46,1.06816,0.98501,1.08488,0.62752,0.57896,0.63292,0.40131,1.15289,1.07742,1.14857,0.000320225,0.000320225,0.000320225
25,6824.04,1.07559,0.97986,1.07993,0.54595,0.64355,0.59895,0.39138,1.11429,1.06795,1.12291,0.000308582,0.000308582,0.000308582
26,7158.85,1.06163,0.98425,1.0691,0.56997,0.61583,0.61812,0.39066,1.15707,1.03841,1.14051,0.00029694,0.00029694,0.00029694
27,7412.12,1.0401,0.92416,1.06426,0.60991,0.61947,0.62069,0.39415,1.12339,1.03698,1.14059,0.000285298,0.000285298,0.000285298
28,7665.85,1.0299,0.90177,1.04389,0.60932,0.59247,0.61624,0.40275,1.12918,1.08656,1.14093,0.000273655,0.000273655,0.000273655
29,7920.85,1.00514,0.8949,1.04405,0.57649,0.6701,0.65287,0.40154,1.13565,1.08966,1.1318,0.000262013,0.000262013,0.000262013
30,8174.37,1.01294,0.85418,1.04714,0.59855,0.67515,0.64887,0.42294,1.0929,1.02357,1.12319,0.00025037,0.00025037,0.00025037
31,8508.76,1.00703,0.84621,1.04269,0.60647,0.63057,0.65968,0.4165,1.14193,1.05973,1.15197,0.000238728,0.000238728,0.000238728
32,8761.5,1.00883,0.86762,1.04754,0.55429,0.59742,0.61472,0.38639,1.12624,1.01812,1.13871,0.000227086,0.000227086,0.000227086
33,9013.24,0.97943,0.82043,1.03936,0.64123,0.58381,0.65233,0.41905,1.10456,0.97999,1.12651,0.000215443,0.000215443,0.000215443
34,9267.15,0.98999,0.80977,1.04278,0.57904,0.66366,0.66345,0.41947,1.10933,1.01528,1.12194,0.000203801,0.000203801,0.000203801
35,9520.91,0.97792,0.78718,1.02671,0.56686,0.72093,0.68604,0.44453,1.10396,0.96443,1.12147,0.000192158,0.000192158,0.000192158
36,9854.61,0.97454,0.7941,1.02752,0.59569,0.65256,0.67989,0.44199,1.09929,0.93206,1.12871,0.000180516,0.000180516,0.000180516
37,10106.1,0.94315,0.77555,1.02545,0.66018,0.67384,0.69778,0.45742,1.11791,0.97965,1.13586,0.000168874,0.000168874,0.000168874
38,10358.6,0.95488,0.75743,1.01714,0.63338,0.62705,0.67335,0.4389,1.08675,1.00975,1.11882,0.000157231,0.000157231,0.000157231
39,10610.7,0.93288,0.73779,1.01707,0.68167,0.60773,0.6839,0.4474,1.08125,1.02328,1.11872,0.000145589,0.000145589,0.000145589
40,10862,0.9223,0.74254,1.01256,0.63789,0.6834,0.69762,0.45383,1.09387,0.9558,1.11669,0.000133946,0.000133946,0.000133946
41,11189.8,0.91783,0.69511,1.014,0.67488,0.61463,0.68369,0.44473,1.08803,0.93542,1.11667,0.000122304,0.000122304,0.000122304
42,11439.7,0.89926,0.67185,0.99939,0.67351,0.61489,0.68805,0.447,1.08447,0.91774,1.10966,0.000110662,0.000110662,0.000110662
43,11688.3,0.89764,0.66021,0.99891,0.70906,0.65268,0.70967,0.45867,1.1108,0.89826,1.12816,9.90192e-05,9.90192e-05,9.90192e-05
44,11936.3,0.8978,0.64232,0.99501,0.68246,0.66037,0.69588,0.45326,1.09508,0.89054,1.11905,8.73768e-05,8.73768e-05,8.73768e-05
