epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.482,1.49973,7.76186,1.2578,0.88989,0.22574,0.25063,0.15203,1.35214,2.1049,1.18973,0.00019583,0.00019583,0.00019583
2,546.911,1.42465,5.78387,1.2132,0.79375,0.25396,0.27253,0.15844,1.33568,1.96667,1.15065,0.000384071,0.000384071,0.000384071
3,804.047,1.39136,4.28299,1.22466,0.81485,0.24197,0.2955,0.18642,1.32905,2.04582,1.21547,0.000564552,0.000564552,0.000564552
4,1066.8,1.40682,3.11306,1.22703,0.69215,0.26824,0.31503,0.19569,1.33219,1.69761,1.20148,0.000553073,0.000553073,0.000553073
5,1323.98,1.4211,2.57048,1.2294,0.55691,0.40929,0.36993,0.2199,1.31213,1.57537,1.23591,0.00054143,0.00054143,0.00054143
6,1667.13,1.33894,2.10253,1.18771,0.71159,0.38348,0.40842,0.25195,1.27783,1.3887,1.18836,0.000529788,0.000529788,0.000529788
7,1922.51,1.33775,1.85755,1.19383,0.58816,0.43738,0.42581,0.26185,1.24741,1.40151,1.17251,0.000518146,0.000518146,0.000518146
8,2183.89,1.32145,1.68639,1.17266,0.61242,0.45808,0.43506,0.25663,1.25973,1.41992,1.17025,0.000506503,0.000506503,0.000506503
9,2440.3,1.29712,1.60535,1.16168,0.60925,0.43928,0.46485,0.30016,1.24204,1.43299,1.19454,0.000494861,0.000494861,0.000494861
10,2694.27,1.27773,1.50694,1.16041,0.64056,0.52788,0.53959,0.32997,1.23611,1.3196,1.18159,0.000483218,0.000483218,0.000483218
11,3037.51,1.22986,1.42866,1.12599,0.62642,0.50364,0.4985,0.30836,1.20441,1.22936,1.15356,0.000471576,0.000471576,0.000471576
12,3293.71,1.2212,1.3966,1.1099,0.6321,0.47511,0.52715,0.31861,1.21236,1.16949,1.16017,0.000459934,0.000459934,0.000459934
