epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.914,1.50251,7.63938,1.2344,0.8278,0.19843,0.21309,0.14562,1.27935,2.19284,1.09885,0.00019583,0.00019583,0.00019583
2,595.904,1.46469,5.66161,1.20673,0.78859,0.2534,0.26348,0.16168,1.38889,2.09527,1.15344,0.000384071,0.000384071,0.000384071
3,865.164,1.44868,4.12448,1.21179,0.4546,0.29604,0.30564,0.18886,1.34864,2.08499,1.19497,0.000564552,0.000564552,0.000564552
4,1133.86,1.41741,3.0033,1.2084,0.50347,0.34303,0.31782,0.19781,1.26801,1.59625,1.15368,0.000553073,0.000553073,0.000553073
5,1411.11,1.377,2.43953,1.18951,0.52472,0.38057,0.35714,0.21955,1.28449,1.65188,1.17611,0.00054143,0.00054143,0.00054143
6,1774.43,1.33725,2.1292,1.16066,0.56256,0.3383,0.33961,0.20826,1.26158,1.46796,1.13338,0.000529788,0.000529788,0.000529788
7,2043.54,1.30661,1.88377,1.15727,0.58849,0.38429,0.36713,0.23,1.26036,1.41593,1.15911,0.000518146,0.000518146,0.000518146
8,2314.81,1.30501,1.73841,1.15384,0.62404,0.48077,0.48006,0.29549,1.24103,1.34611,1.14182,0.000506503,0.000506503,0.000506503
9,2591.86,1.26965,1.60601,1.14588,0.60866,0.48643,0.49601,0.3063,1.24554,1.35712,1.15498,0.000494861,0.000494861,0.000494861
10,2860.2,1.24899,1.47913,1.13215,0.58297,0.529,0.50905,0.30616,1.20607,1.29728,1.12329,0.000483218,0.000483218,0.000483218
11,3223.97,1.25054,1.42537,1.12977,0.66091,0.45282,0.48886,0.31835,1.16277,1.26632,1.1152,0.000471576,0.000471576,0.000471576
12,3502.87,1.24554,1.43448,1.11774,0.57461,0.47079,0.51311,0.32532,1.21925,1.22923,1.13458,0.000459934,0.000459934,0.000459934
