epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.933,1.49973,7.76186,1.2578,0.88989,0.22574,0.25063,0.15203,1.35214,2.1049,1.18973,0.00019583,0.00019583,0.00019583
2,508.252,1.42465,5.78387,1.2132,0.79375,0.25396,0.27253,0.15844,1.33568,1.96667,1.15065,0.000384071,0.000384071,0.000384071
3,753.436,1.39136,4.28299,1.22466,0.81485,0.24197,0.2955,0.18642,1.32905,2.04582,1.21547,0.000564552,0.000564552,0.000564552
4,998.46,1.40682,3.11306,1.22703,0.69215,0.26824,0.31503,0.19569,1.33219,1.69761,1.20148,0.000553073,0.000553073,0.000553073
5,1242.81,1.4211,2.57048,1.2294,0.55691,0.40929,0.36993,0.2199,1.31213,1.57537,1.23591,0.00054143,0.00054143,0.00054143
6,1561.01,1.33894,2.10253,1.18771,0.71159,0.38348,0.40842,0.25195,1.27783,1.3887,1.18836,0.000529788,0.000529788,0.000529788
7,1803.98,1.33775,1.85755,1.19383,0.58816,0.43738,0.42581,0.26185,1.24741,1.40151,1.17251,0.000518146,0.000518146,0.000518146
8,2048.45,1.32145,1.68639,1.17266,0.61242,0.45808,0.43506,0.25663,1.25973,1.41992,1.17025,0.000506503,0.000506503,0.000506503
9,2290.11,1.29712,1.60535,1.16168,0.60925,0.43928,0.46485,0.30016,1.24204,1.43299,1.19454,0.000494861,0.000494861,0.000494861
10,2533.2,1.27773,1.50694,1.16041,0.64056,0.52788,0.53959,0.32997,1.23611,1.3196,1.18159,0.000483218,0.000483218,0.000483218
11,2854.53,1.23122,1.42783,1.12597,0.65335,0.47923,0.50269,0.30729,1.22824,1.23053,1.16133,0.000471576,0.000471576,0.000471576
12,3098.99,1.22472,1.39626,1.11314,0.60294,0.53763,0.51198,0.32116,1.20884,1.15383,1.1594,0.000459934,0.000459934,0.000459934
13,3344.34,1.21749,1.34988,1.12872,0.64219,0.51516,0.51839,0.31412,1.2057,1.18382,1.15044,0.000448291,0.000448291,0.000448291
14,3588.75,1.20242,1.28037,1.10931,0.59014,0.54494,0.5261,0.3273,1.1681,1.13955,1.13303,0.000436649,0.000436649,0.000436649
15,3834.36,1.20049,1.23718,1.11418,0.68789,0.52799,0.56706,0.34722,1.21564,1.15643,1.16825,0.000425006,0.000425006,0.000425006
16,4160.1,1.15824,1.19733,1.09668,0.64261,0.50335,0.54332,0.33321,1.17299,1.19447,1.15229,0.000413364,0.000413364,0.000413364
17,4404.23,1.17281,1.15751,1.09849,0.61844,0.5778,0.58104,0.36589,1.14477,1.12634,1.13658,0.000401722,0.000401722,0.000401722
18,4649.43,1.15243,1.13779,1.10207,0.70664,0.53757,0.63472,0.39801,1.17784,1.15858,1.13698,0.000390079,0.000390079,0.000390079
19,4892.78,1.10237,1.08953,1.06593,0.73122,0.58055,0.64487,0.3965,1.17372,1.05407,1.13144,0.000378437,0.000378437,0.000378437
20,5136.54,1.11707,1.06666,1.07657,0.54046,0.64092,0.63769,0.39334,1.1413,1.0258,1.12221,0.000366794,0.000366794,0.000366794
21,5447.79,1.09771,1.04936,1.06285,0.52747,0.74963,0.68295,0.42774,1.15204,1.07377,1.12685,0.000355152,0.000355152,0.000355152
22,5668.83,1.07035,1.01534,1.04564,0.55173,0.7079,0.69333,0.43685,1.15457,1.05408,1.1265,0.00034351,0.00034351,0.00034351
23,5889.73,1.08491,0.99762,1.0652,0.58994,0.68633,0.66676,0.44076,1.15307,1.04639,1.12715,0.000331867,0.000331867,0.000331867
24,6114.11,1.08621,0.9495,1.05254,0.51917,0.70373,0.64062,0.40033,1.16132,1.04863,1.13323,0.000320225,0.000320225,0.000320225
25,6336.58,1.0789,0.92303,1.0684,0.60409,0.75709,0.69846,0.43282,1.14043,1.08168,1.12317,0.000308582,0.000308582,0.000308582
26,6635.17,1.04066,0.91545,1.04005,0.66612,0.68182,0.68296,0.44046,1.14313,1.0831,1.12321,0.00029694,0.00029694,0.00029694
27,6854.08,1.04457,0.94162,1.03526,0.60217,0.61522,0.65652,0.41564,1.15449,0.99369,1.12174,0.000285298,0.000285298,0.000285298
28,7073.63,1.02724,0.89217,1.03558,0.65175,0.69054,0.68709,0.42974,1.14782,0.95788,1.14118,0.000273655,0.000273655,0.000273655
29,7293.89,1.03873,0.88135,1.04424,0.61077,0.69993,0.66567,0.42101,1.14157,0.996,1.12551,0.000262013,0.000262013,0.000262013
30,7513.82,1.02062,0.86453,1.02653,0.59926,0.6977,0.65973,0.41724,1.14335,1.00598,1.12481,0.00025037,0.00025037,0.00025037
31,7810.26,1.01836,0.84734,1.03377,0.57618,0.74997,0.69348,0.44536,1.11259,0.95203,1.10909,0.000238728,0.000238728,0.000238728
32,8031.35,1.01397,0.83416,1.0109,0.63047,0.6929,0.68597,0.44194,1.11909,0.94492,1.11494,0.000227086,0.000227086,0.000227086
33,8251.52,0.99661,0.82521,1.02859,0.6618,0.68375,0.68202,0.43601,1.09605,0.91001,1.10953,0.000215443,0.000215443,0.000215443
34,8471.52,0.95843,0.81717,1.00122,0.63276,0.65994,0.67414,0.42473,1.11718,0.92991,1.11353,0.000203801,0.000203801,0.000203801
35,8691.51,0.97095,0.8054,0.99124,0.63201,0.62472,0.66008,0.41406,1.12976,0.92435,1.1228,0.000192158,0.000192158,0.000192158
36,8987.82,0.97587,0.785,1.00445,0.63334,0.6692,0.68123,0.43251,1.12322,0.94462,1.11558,0.000180516,0.000180516,0.000180516
37,9209.38,0.95008,0.75036,1.00004,0.61515,0.6604,0.67891,0.43394,1.12133,0.94199,1.12357,0.000168874,0.000168874,0.000168874
38,9429.77,0.93852,0.74886,1.01013,0.55457,0.78162,0.67584,0.42828,1.116,0.96193,1.12036,0.000157231,0.000157231,0.000157231
39,9649.91,0.93122,0.7418,0.99616,0.63445,0.7265,0.75221,0.50798,1.10837,0.91513,1.12351,0.000145589,0.000145589,0.000145589
40,9869.71,0.91805,0.7234,0.98745,0.63535,0.7238,0.69623,0.4445,1.12559,0.90766,1.13013,0.000133946,0.000133946,0.000133946
41,10164.7,0.9226,0.68491,0.99281,0.6711,0.72731,0.69083,0.44987,1.11672,0.89462,1.12441,0.000122304,0.000122304,0.000122304
42,10381.8,0.8923,0.65545,0.97782,0.65707,0.73546,0.689,0.43565,1.12687,0.89884,1.12427,0.000110662,0.000110662,0.000110662
43,10598.8,0.90016,0.65565,0.98258,0.71287,0.71067,0.72335,0.46594,1.12749,0.88401,1.12979,9.90192e-05,9.90192e-05,9.90192e-05
44,10816,0.89021,0.63957,0.9895,0.63277,0.75311,0.75771,0.50297,1.11583,0.88706,1.12407,8.73768e-05,8.73768e-05,8.73768e-05
45,11034.7,0.87108,0.62867,0.98369,0.70055,0.67715,0.74968,0.49312,1.12564,0.89925,1.13113,7.57344e-05,7.57344e-05,7.57344e-05
46,11327.9,0.85371,0.60478,0.96752,0.65745,0.66931,0.69587,0.45533,1.11336,0.87535,1.1223,6.4092e-05,6.4092e-05,6.4092e-05
47,11544.4,0.85427,0.61934,0.96039,0.67745,0.74258,0.7016,0.45371,1.11888,0.8938,1.12561,5.24496e-05,5.24496e-05,5.24496e-05
48,11761.2,0.84181,0.61117,0.95898,0.75955,0.69208,0.72509,0.47784,1.10231,0.87545,1.11516,4.08072e-05,4.08072e-05,4.08072e-05
49,11976.9,0.83452,0.60418,0.96191,0.66851,0.74523,0.74339,0.49295,1.09869,0.86489,1.12115,2.91648e-05,2.91648e-05,2.91648e-05
50,12192.7,0.83294,0.5857,0.95333,0.66692,0.73945,0.74452,0.49043,1.10378,0.87297,1.12096,1.75224e-05,1.75224e-05,1.75224e-05
