epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.899,1.56582,8.41197,1.28763,0.71454,0.21589,0.23545,0.14781,1.31146,2.39921,1.12905,0.00019583,0.00019583,0.00019583
2,656.502,1.45725,5.66535,1.22956,0.80412,0.23489,0.29072,0.18037,1.31641,2.06108,1.14436,0.000353039,0.000353039,0.000353039
3,956.297,1.40894,4.24047,1.19647,0.85723,0.26637,0.31852,0.18576,1.30929,1.88424,1.16003,0.000471439,0.000471439,0.000471439
4,1243.03,1.38856,3.08313,1.19986,0.58355,0.3731,0.34448,0.20714,1.2898,1.53976,1.14991,0.000413364,0.000413364,0.000413364
5,1543.84,1.30189,2.45359,1.16054,0.7616,0.32269,0.4059,0.2509,1.28523,1.65412,1.13802,0.000355152,0.000355152,0.000355152
6,1945.27,1.27008,2.04883,1.13853,0.54425,0.48984,0.46736,0.28199,1.23028,1.43442,1.09343,0.00029694,0.00029694,0.00029694
7,2233.64,1.24219,1.79598,1.12271,0.63903,0.47324,0.48266,0.29851,1.16332,1.29919,1.07664,0.000238728,0.000238728,0.000238728
8,2517.88,1.17085,1.58461,1.09082,0.72167,0.44868,0.51342,0.31788,1.14659,1.38423,1.08082,0.000180516,0.000180516,0.000180516
9,2800.58,1.13864,1.49202,1.07449,0.61223,0.52306,0.53394,0.34029,1.1393,1.24195,1.06809,0.000122304,0.000122304,0.000122304
10,3079.97,1.10507,1.34946,1.05379,0.63652,0.50766,0.53683,0.34302,1.13344,1.19696,1.06214,6.4092e-05,6.4092e-05,6.4092e-05
