epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.299,1.50894,8.37618,1.21768,0.58646,0.17093,0.1505,0.09528,1.38971,2.65099,1.14191,0.00019583,0.00019583,0.00019583
2,590.295,1.46017,6.588,1.21363,0.71381,0.27528,0.27562,0.17262,1.34776,2.04446,1.18865,0.000384071,0.000384071,0.000384071
3,865.457,1.44841,5.15787,1.22267,0.74216,0.32926,0.33671,0.19881,1.33164,1.76592,1.21146,0.000564552,0.000564552,0.000564552
4,1138.03,1.42577,3.97495,1.18971,0.67911,0.28812,0.42979,0.25887,1.34726,1.77009,1.20657,0.000553073,0.000553073,0.000553073
5,1412.85,1.37468,3.01474,1.18803,0.70194,0.32375,0.41998,0.2528,1.31309,1.90745,1.20519,0.00054143,0.00054143,0.00054143
6,1768.4,1.30346,2.56132,1.1415,0.718,0.34014,0.40576,0.24747,1.31529,1.60392,1.20499,0.000529788,0.000529788,0.000529788
7,2045.72,1.34052,2.1926,1.16857,0.63988,0.40869,0.4286,0.25666,1.29869,1.67238,1.19052,0.000518146,0.000518146,0.000518146
8,2316.49,1.29775,1.87368,1.14891,0.6815,0.40388,0.46661,0.29437,1.23364,1.76317,1.16501,0.000506503,0.000506503,0.000506503
9,2602.75,1.28559,1.75047,1.14632,0.58357,0.40386,0.41263,0.24406,1.24201,1.38324,1.17076,0.000494861,0.000494861,0.000494861
10,2887.89,1.26584,1.63992,1.13799,0.66498,0.40833,0.45076,0.27069,1.25173,1.35541,1.17688,0.000483218,0.000483218,0.000483218
11,3238.82,1.23895,1.51161,1.11993,0.53784,0.51643,0.51027,0.31617,1.21497,1.45525,1.16281,0.000471576,0.000471576,0.000471576
12,3496.16,1.23543,1.45061,1.12454,0.57873,0.49155,0.52059,0.30334,1.24791,1.3431,1.16616,0.000459934,0.000459934,0.000459934
13,3754.01,1.22478,1.4067,1.12832,0.71485,0.38224,0.51468,0.32152,1.1923,1.19907,1.14596,0.000448291,0.000448291,0.000448291
14,4013.21,1.20446,1.31972,1.1065,0.58135,0.5539,0.58704,0.36765,1.18411,1.2135,1.13835,0.000436649,0.000436649,0.000436649
15,4270.58,1.16328,1.31055,1.08551,0.58064,0.6339,0.6114,0.37141,1.18893,1.10791,1.15219,0.000425006,0.000425006,0.000425006
16,4615.81,1.1567,1.24717,1.07924,0.6551,0.52328,0.61448,0.39345,1.19958,1.11635,1.15224,0.000413364,0.000413364,0.000413364
17,4889.79,1.18196,1.17003,1.10075,0.45208,0.75189,0.58756,0.36838,1.16387,1.21022,1.14015,0.000401722,0.000401722,0.000401722
18,5161.48,1.16144,1.17754,1.09498,0.60363,0.57616,0.61289,0.37677,1.17061,1.11513,1.13557,0.000390079,0.000390079,0.000390079
19,5423.63,1.13695,1.15964,1.07519,0.53613,0.60685,0.60316,0.38012,1.18958,1.10657,1.14355,0.000378437,0.000378437,0.000378437
20,5695.94,1.14005,1.09449,1.08065,0.65533,0.61126,0.64061,0.41727,1.19275,1.09866,1.14512,0.000366794,0.000366794,0.000366794
21,6040.62,1.10858,1.06279,1.06756,0.60109,0.57772,0.60934,0.38657,1.19121,1.05973,1.15676,0.000355152,0.000355152,0.000355152
22,6298.02,1.08862,1.05412,1.04833,0.61258,0.70353,0.64145,0.40526,1.17819,0.98844,1.13572,0.00034351,0.00034351,0.00034351
23,6556.79,1.07325,0.98573,1.02947,0.64361,0.64657,0.66001,0.4143,1.16714,1.04609,1.13866,0.000331867,0.000331867,0.000331867
24,6814.63,1.07645,0.99047,1.05495,0.59,0.66425,0.66424,0.43016,1.16666,1.05334,1.14163,0.000320225,0.000320225,0.000320225
25,7073.16,1.08048,1.00202,1.04448,0.55293,0.6718,0.65774,0.40553,1.19059,1.09335,1.13882,0.000308582,0.000308582,0.000308582
26,7418.11,1.07637,0.96626,1.03932,0.61241,0.72634,0.65257,0.41752,1.1456,1.02435,1.11559,0.00029694,0.00029694,0.00029694
27,7682.15,1.07334,0.9375,1.04622,0.57438,0.72403,0.68394,0.43137,1.14757,1.04827,1.12415,0.000285298,0.000285298,0.000285298
28,7946.27,1.04608,0.90255,1.02831,0.62669,0.67343,0.6658,0.41475,1.14993,1.0227,1.12882,0.000273655,0.000273655,0.000273655
29,8208.87,1.0318,0.92304,1.02899,0.72602,0.63607,0.71547,0.47525,1.12555,0.98254,1.11073,0.000262013,0.000262013,0.000262013
30,8472.69,1.02228,0.89365,1.01881,0.59819,0.59811,0.63242,0.41314,1.12811,1.03453,1.11433,0.00025037,0.00025037,0.00025037
31,8802.41,1.01793,0.88444,1.01802,0.65861,0.68162,0.6903,0.45196,1.12346,0.96907,1.11933,0.000238728,0.000238728,0.000238728
32,9034.33,1.01505,0.83663,1.01599,0.71945,0.58779,0.65109,0.41491,1.12261,1.00501,1.11754,0.000227086,0.000227086,0.000227086
33,9267.05,1.01353,0.84479,1.01429,0.58893,0.76938,0.69385,0.44302,1.13034,0.96078,1.12255,0.000215443,0.000215443,0.000215443
34,9507.9,0.99171,0.85328,0.99684,0.64803,0.74539,0.68796,0.44173,1.12802,0.96251,1.12132,0.000203801,0.000203801,0.000203801
35,9742.92,0.95836,0.79646,0.99185,0.7278,0.67746,0.71503,0.47164,1.11435,1.01526,1.12193,0.000192158,0.000192158,0.000192158
36,10054.6,0.95565,0.77208,0.98543,0.66276,0.66394,0.66567,0.42531,1.12118,0.97354,1.12296,0.000180516,0.000180516,0.000180516
37,10286,0.96898,0.77302,1.00118,0.76279,0.6901,0.75882,0.50328,1.1236,0.91487,1.11243,0.000168874,0.000168874,0.000168874
38,10517.4,0.94602,0.74946,0.98357,0.73156,0.70124,0.76167,0.50676,1.11652,0.95488,1.12373,0.000157231,0.000157231,0.000157231
39,10748.5,0.92814,0.74654,0.97406,0.69448,0.72314,0.75593,0.49551,1.13895,0.96647,1.13542,0.000145589,0.000145589,0.000145589
40,10980.1,0.93124,0.7412,0.97913,0.69372,0.72076,0.74937,0.49467,1.11263,0.95764,1.12343,0.000133946,0.000133946,0.000133946
41,11289.9,0.91886,0.70501,0.99098,0.72372,0.7109,0.72716,0.47923,1.12033,0.90252,1.13168,0.000122304,0.000122304,0.000122304
42,11516.5,0.89724,0.66857,0.96943,0.78452,0.68183,0.742,0.49114,1.12605,0.89565,1.12865,0.000110662,0.000110662,0.000110662
43,11743,0.91577,0.67447,0.98813,0.79605,0.69996,0.78216,0.51639,1.12416,0.89005,1.12841,9.90192e-05,9.90192e-05,9.90192e-05
44,11974.3,0.88828,0.65807,0.97327,0.80172,0.6747,0.76992,0.50577,1.10646,0.88259,1.12214,8.73768e-05,8.73768e-05,8.73768e-05
45,12211,0.88806,0.64432,0.96831,0.76773,0.71167,0.77795,0.51392,1.10401,0.88957,1.11965,7.57344e-05,7.57344e-05,7.57344e-05
46,12518.5,0.87445,0.62727,0.96959,0.75588,0.7039,0.76923,0.51713,1.10488,0.89154,1.11945,6.4092e-05,6.4092e-05,6.4092e-05
47,12745.8,0.88053,0.6337,0.97062,0.76086,0.70018,0.76507,0.51753,1.09734,0.90014,1.12057,5.24496e-05,5.24496e-05,5.24496e-05
48,12972.9,0.84658,0.61448,0.9578,0.79846,0.68959,0.76601,0.51476,1.09771,0.89263,1.12064,4.08072e-05,4.08072e-05,4.08072e-05
49,13200,0.8387,0.59925,0.95059,0.75458,0.72671,0.76769,0.52091,1.10021,0.88561,1.12038,2.91648e-05,2.91648e-05,2.91648e-05
50,13426.9,0.82249,0.59037,0.94432,0.73797,0.71387,0.75962,0.51721,1.09999,0.89261,1.12209,1.75224e-05,1.75224e-05,1.75224e-05
