epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.926,1.58474,8.70302,1.29883,0.82452,0.18983,0.22744,0.15001,1.29284,2.06726,1.13621,0.000195811,0.000195811,0.000195811
2,438.509,1.46566,6.15738,1.22291,0.79471,0.26796,0.26752,0.16222,1.3739,1.93197,1.16496,0.000353022,0.000353022,0.000353022
3,661.479,1.41494,4.47238,1.2094,0.83716,0.27312,0.30112,0.19086,1.29468,2.05477,1.14355,0.000471424,0.000471424,0.000471424
4,885.321,1.3876,3.37751,1.19768,0.79225,0.31165,0.34157,0.21849,1.29725,1.72705,1.15676,0.000413364,0.000413364,0.000413364
5,1106.36,1.32178,2.6936,1.15245,0.83984,0.30411,0.37687,0.22113,1.21578,1.51795,1.10775,0.000355152,0.000355152,0.000355152
6,1356.78,1.2874,2.24707,1.15651,0.67647,0.43392,0.40979,0.25159,1.19651,1.59712,1.11638,0.00029694,0.00029694,0.00029694
7,1574.91,1.24002,1.99383,1.11737,0.72236,0.4405,0.45131,0.27388,1.20011,1.54281,1.10866,0.000238728,0.000238728,0.000238728
8,1795.69,1.18183,1.7679,1.09105,0.66929,0.4584,0.47834,0.29649,1.17777,1.50821,1.10507,0.000180516,0.000180516,0.000180516
9,2017.89,1.15154,1.6302,1.07932,0.77437,0.41944,0.51598,0.32518,1.12704,1.38511,1.07433,0.000122304,0.000122304,0.000122304
10,2238.85,1.12816,1.51433,1.06147,0.74584,0.42685,0.50737,0.32326,1.08848,1.35256,1.06371,6.4092e-05,6.4092e-05,6.4092e-05
