epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.012,1.58794,8.57066,1.27224,0.93381,0.16369,0.18414,0.12242,1.32328,2.36999,1.11538,0.000195811,0.000195811,0.000195811
2,490.581,1.49119,5.99098,1.21992,0.83892,0.25122,0.25054,0.15928,1.32692,2.38722,1.13406,0.000353022,0.000353022,0.000353022
3,729.703,1.43364,4.31639,1.1862,0.80835,0.26038,0.28968,0.17253,1.37703,1.89571,1.13459,0.000471424,0.000471424,0.000471424
4,998.492,1.3873,3.19754,1.17742,0.69927,0.29686,0.3076,0.19695,1.25091,1.84681,1.09186,0.000413364,0.000413364,0.000413364
5,1268.22,1.33985,2.66102,1.14912,0.68133,0.34353,0.34513,0.21798,1.24641,1.50517,1.11004,0.000355152,0.000355152,0.000355152
6,1571.9,1.31471,2.20941,1.13262,0.63005,0.39199,0.35733,0.23148,1.2291,1.55665,1.1107,0.00029694,0.00029694,0.00029694
7,1849.69,1.22924,1.95515,1.09067,0.53233,0.42323,0.40249,0.25936,1.17238,1.2729,1.07566,0.000238728,0.000238728,0.000238728
8,2106.61,1.19274,1.72145,1.08009,0.52086,0.43962,0.42227,0.27432,1.15956,1.21516,1.0554,0.000180516,0.000180516,0.000180516
9,2348.66,1.15851,1.5761,1.06296,0.69718,0.43238,0.41585,0.27013,1.14989,1.22729,1.05175,0.000122304,0.000122304,0.000122304
10,2593.73,1.12852,1.52255,1.05228,0.6959,0.47426,0.44077,0.2868,1.12106,1.27173,1.04723,6.4092e-05,6.4092e-05,6.4092e-05
