epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.766,1.48407,8.2268,1.24477,0.91315,0.15857,0.18435,0.12172,1.39919,2.26859,1.14035,0.000195811,0.000195811,0.000195811
2,546.027,1.43922,6.75975,1.21206,0.63789,0.29603,0.27974,0.17499,1.34628,2.17469,1.21237,0.000384053,0.000384053,0.000384053
3,808.505,1.4201,5.65883,1.2254,0.76962,0.26801,0.29922,0.18086,1.33299,1.77295,1.2191,0.000564534,0.000564534,0.000564534
4,1075.42,1.45512,4.44143,1.25149,0.60084,0.31797,0.32298,0.19927,1.3139,1.77283,1.17718,0.000553073,0.000553073,0.000553073
5,1337.15,1.3723,3.48743,1.20821,0.61612,0.36563,0.36823,0.21887,1.25157,1.70782,1.16969,0.00054143,0.00054143,0.00054143
6,1665.69,1.35803,2.8088,1.20138,0.65687,0.33605,0.36861,0.22057,1.27225,1.7439,1.18694,0.000529788,0.000529788,0.000529788
7,1944.98,1.30146,2.41919,1.16004,0.58905,0.38228,0.38756,0.23905,1.28333,1.4201,1.18806,0.000518146,0.000518146,0.000518146
8,2223.1,1.30582,2.14174,1.17037,0.53652,0.4142,0.42446,0.26181,1.295,1.41991,1.1856,0.000506503,0.000506503,0.000506503
9,2494.66,1.29909,1.887,1.17375,0.63068,0.43202,0.44202,0.26673,1.27249,1.46512,1.1742,0.000494861,0.000494861,0.000494861
10,2771.39,1.28188,1.75532,1.13892,0.60221,0.39408,0.40864,0.25698,1.23982,1.49419,1.15436,0.000483218,0.000483218,0.000483218
11,3075.33,1.20226,1.61283,1.11754,0.55474,0.42425,0.50059,0.31461,1.2295,1.45701,1.16667,0.000471576,0.000471576,0.000471576
12,3362.92,1.23281,1.55365,1.14493,0.51862,0.5485,0.48487,0.30459,1.22367,1.27838,1.16669,0.000459934,0.000459934,0.000459934
13,3636.68,1.22279,1.50192,1.1201,0.5948,0.47306,0.49818,0.31641,1.22578,1.21575,1.17459,0.000448291,0.000448291,0.000448291
14,3905.26,1.20328,1.48989,1.1171,0.43841,0.56071,0.54231,0.33125,1.20501,1.20568,1.15142,0.000436649,0.000436649,0.000436649
15,4168.83,1.19252,1.35451,1.11526,0.48627,0.5691,0.54501,0.33908,1.20966,1.37519,1.15288,0.000425006,0.000425006,0.000425006
16,4472.54,1.17811,1.31185,1.10626,0.58005,0.52991,0.56771,0.35107,1.20201,1.17569,1.15585,0.000413364,0.000413364,0.000413364
17,4728.63,1.14831,1.26793,1.08491,0.58708,0.62116,0.57798,0.35888,1.20863,1.26229,1.15319,0.000401722,0.000401722,0.000401722
18,4986.03,1.12454,1.15916,1.0789,0.56866,0.56864,0.60956,0.38927,1.17166,1.11096,1.14006,0.000390079,0.000390079,0.000390079
