epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.233,1.51389,8.51214,1.23859,0.78962,0.20232,0.18983,0.13054,1.24504,2.66106,1.11296,0.00019583,0.00019583,0.00019583
2,574.494,1.4533,5.80453,1.21192,0.78366,0.28401,0.30896,0.17424,1.388,1.94324,1.18618,0.000353039,0.000353039,0.000353039
3,833.506,1.42365,4.22499,1.20085,0.61917,0.35384,0.38039,0.23989,1.28788,1.7155,1.13812,0.000471439,0.000471439,0.000471439
4,1082.43,1.38605,3.19429,1.18928,0.71202,0.32333,0.37023,0.22899,1.24879,1.73387,1.1602,0.000413364,0.000413364,0.000413364
5,1348.61,1.34396,2.4166,1.16755,0.69772,0.3528,0.40427,0.25369,1.2735,1.58261,1.14038,0.000355152,0.000355152,0.000355152
6,1696.03,1.28747,2.07701,1.13596,0.73056,0.38878,0.45584,0.28486,1.20135,1.41742,1.11931,0.00029694,0.00029694,0.00029694
7,1942.39,1.21875,1.78586,1.1015,0.62578,0.45346,0.4936,0.30735,1.17762,1.27296,1.10051,0.000238728,0.000238728,0.000238728
8,2185.82,1.1663,1.61922,1.07132,0.7273,0.47375,0.53556,0.35102,1.15767,1.32693,1.0839,0.000180516,0.000180516,0.000180516
9,2431.16,1.14376,1.51848,1.0611,0.62959,0.54335,0.55434,0.35813,1.11537,1.20887,1.06739,0.000122304,0.000122304,0.000122304
10,2685.89,1.09759,1.39266,1.04042,0.69168,0.51698,0.57456,0.37003,1.10967,1.16804,1.06838,6.4092e-05,6.4092e-05,6.4092e-05
