stage_index,op,field,before,after,reason
0,clahe,prob,0.3,0.38,low_contrast_fn_high
0,clahe,strength,0.35,0.38999999999999996,low_contrast_fn_high
0,gamma,prob,0.3,0.38,low_contrast_fn_high
0,gamma,strength,0.35,0.38999999999999996,low_contrast_fn_high
0,brightness,prob,0.3,0.38,low_contrast_fn_high
0,brightness,strength,0.35,0.38999999999999996,low_contrast_fn_high
0,contrast,prob,0.3,0.38,low_contrast_fn_high
0,contrast,strength,0.35,0.38999999999999996,low_contrast_fn_high
0,sharpen_mild,prob,0.25,0.33,low_contrast_fn_high
0,sharpen_mild,strength,0.35,0.38999999999999996,low_contrast_fn_high
0,sharpen,prob,0.0,0.08,low_contrast_fn_high
0,sharpen,strength,0.0,0.04,low_contrast_fn_high
0,clahe,prob,0.38,0.43,recall_low_or_fn_high
0,clahe,strength,0.38999999999999996,0.41999999999999993,recall_low_or_fn_high
0,gamma,prob,0.38,0.43,recall_low_or_fn_high
0,gamma,strength,0.38999999999999996,0.41999999999999993,recall_low_or_fn_high
0,brightness,prob,0.38,0.43,recall_low_or_fn_high
0,brightness,strength,0.38999999999999996,0.41999999999999993,recall_low_or_fn_high
0,contrast,prob,0.38,0.43,recall_low_or_fn_high
0,contrast,strength,0.38999999999999996,0.41999999999999993,recall_low_or_fn_high
0,mild_scale,prob,0.18,0.22999999999999998,recall_low_or_fn_high
0,mild_scale,strength,0.35,0.38,recall_low_or_fn_high
0,mosaic4,prob,0.75,0.8,recall_low_or_fn_high
0,copy_paste,prob,0.0,0.04,recall_low_copy_paste_pending
0,brightness,prob,0.43,0.37,precision_low_or_fp_high
0,brightness,strength,0.41999999999999993,0.3899999999999999,precision_low_or_fp_high
0,contrast,prob,0.43,0.37,precision_low_or_fp_high
0,contrast,strength,0.41999999999999993,0.3899999999999999,precision_low_or_fp_high
0,gamma,prob,0.43,0.37,precision_low_or_fp_high
0,gamma,strength,0.41999999999999993,0.3899999999999999,precision_low_or_fp_high
0,gaussian_noise,prob,0.1,0.04000000000000001,precision_low_or_fp_high
0,gaussian_noise,strength,0.15,0.12,precision_low_or_fp_high
0,copy_paste,prob,0.04,0.0,precision_low_or_fp_high
0,cutout_safe,prob,0.2,0.26,precision_low_hard_negative_like
0,cutout_safe,strength,0.3,0.32,precision_low_hard_negative_like
0,random_erasing,prob,0.0,0.06,precision_low_hard_negative_like
0,random_erasing,strength,0.0,0.02,precision_low_hard_negative_like
0,class_balanced_copy_paste,prob,0.0,0.06,class_imbalance_copy_paste_pending
