epoch,action,op,field,before,after,reason,delta_precision,delta_recall,delta_map50,delta_map50_95,guard_triggered,rollback_reason,frozen
5,rollback,,,,,,0.049899999999999944,-0.12128999999999995,-0.02123999999999998,-0.0049000000000000155,"precision_guard,low_contrast_fn,recall_low,constraint_warning,rollback",map50_drop_lt_0.015,False
10,cooldown,clahe,prob,0.05,0.030000000000000002,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,clahe,strength,0.2,0.17,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,gamma,prob,0.05,0.030000000000000002,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,gamma,strength,0.2,0.17,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,brightness,prob,0.03,0.009999999999999998,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,brightness,strength,0.15,0.12,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,contrast,prob,0.03,0.009999999999999998,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,contrast,strength,0.15,0.12,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,sharpen_mild,prob,0.08,0.085,cooldown_texture_only,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,sharpen_mild,strength,0.25,0.255,cooldown_texture_only,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,local_contrast,prob,0.06,0.065,cooldown_texture_only,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,local_contrast,strength,0.2,0.20500000000000002,cooldown_texture_only,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,cutout_safe,prob,0.03,0.009999999999999998,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
10,cooldown,cutout_safe,strength,0.1,0.07,cooldown_shrink_risk_ops,0.03476999999999997,0.07841000000000004,0.10103000000000001,0.04543999999999998,"precision_guard,low_contrast_fn",,False
15,accept,clahe,prob,0.030000000000000002,0.010000000000000002,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,clahe,strength,0.17,0.14,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,gamma,prob,0.030000000000000002,0.010000000000000002,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,gamma,strength,0.17,0.14,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,brightness,prob,0.009999999999999998,0.0,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,brightness,strength,0.12,0.09,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,contrast,prob,0.009999999999999998,0.0,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,contrast,strength,0.12,0.09,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,cutout_safe,prob,0.009999999999999998,0.0,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
15,accept,cutout_safe,strength,0.07,0.04000000000000001,precision_guard,0.15716999999999992,-0.10514000000000001,0.003329999999999944,0.007319999999999993,"precision_guard,low_contrast_fn,recall_low",,False
20,rollback,clahe,prob,0.010000000000000002,0.030000000000000002,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,clahe,strength,0.14,0.17,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,gamma,prob,0.010000000000000002,0.030000000000000002,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,gamma,strength,0.14,0.17,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,brightness,prob,0.0,0.009999999999999998,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,brightness,strength,0.09,0.12,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,contrast,prob,0.0,0.009999999999999998,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,contrast,strength,0.09,0.12,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,cutout_safe,prob,0.0,0.009999999999999998,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
20,rollback,cutout_safe,strength,0.04000000000000001,0.07,catf_update,-0.07096999999999998,0.020600000000000063,0.0007899999999999574,0.0007699999999999929,"precision_guard,low_contrast_fn,constraint_warning,rollback",precision_drop_lt_0.015,False
25,cooldown,clahe,prob,0.030000000000000002,0.010000000000000002,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
25,cooldown,clahe,strength,0.17,0.14,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
25,cooldown,gamma,prob,0.030000000000000002,0.010000000000000002,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
25,cooldown,gamma,strength,0.17,0.14,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
25,cooldown,brightness,prob,0.009999999999999998,0.0,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
25,cooldown,brightness,strength,0.12,0.09,cooldown_shrink_risk_ops,0.07547999999999999,-0.027559999999999918,0.028569999999999984,0.011319999999999997,"precision_guard,low_contrast_fn,recall_low",,False
