epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.249,1.49756,7.8032,1.2464,0.84002,0.21231,0.23358,0.15154,1.35138,2.22272,1.16837,0.00019583,0.00019583,0.00019583
2,566.454,1.42837,5.84189,1.20021,0.78183,0.26434,0.28132,0.16698,1.37628,1.95997,1.17766,0.000384071,0.000384071,0.000384071
3,840.703,1.41135,4.3233,1.21406,0.72234,0.23216,0.26884,0.16416,1.3179,1.87393,1.16605,0.000564552,0.000564552,0.000564552
4,1101.99,1.41618,3.13504,1.21519,0.82919,0.27628,0.31708,0.19853,1.32459,1.8517,1.19116,0.000553073,0.000553073,0.000553073
5,1363.63,1.42008,2.60702,1.21961,0.65691,0.33799,0.33963,0.20569,1.35388,1.69085,1.23406,0.00054143,0.00054143,0.00054143
6,1705.92,1.34334,2.13341,1.17808,0.6953,0.3695,0.40838,0.24959,1.29785,1.36793,1.2076,0.000529788,0.000529788,0.000529788
7,1972.12,1.33689,1.86998,1.18938,0.69488,0.41106,0.45539,0.28553,1.27965,1.37915,1.16959,0.000518146,0.000518146,0.000518146
8,2244.76,1.29271,1.69756,1.15505,0.65915,0.4238,0.4555,0.27933,1.25463,1.44666,1.16431,0.000506503,0.000506503,0.000506503
9,2523.95,1.30745,1.66464,1.16587,0.55291,0.48511,0.48579,0.30072,1.24038,1.3382,1.16434,0.000494861,0.000494861,0.000494861
10,2790.95,1.27896,1.51881,1.15645,0.5537,0.51221,0.51912,0.31738,1.24227,1.24639,1.16638,0.000483218,0.000483218,0.000483218
11,3141.18,1.22667,1.45828,1.12321,0.63746,0.49411,0.51643,0.33137,1.19573,1.27578,1.14085,0.000471576,0.000471576,0.000471576
12,3418.3,1.21829,1.37708,1.10415,0.57193,0.51419,0.48988,0.29649,1.20793,1.18565,1.14032,0.000459934,0.000459934,0.000459934
13,3684.75,1.21437,1.34125,1.12549,0.72472,0.49765,0.5675,0.35298,1.18076,1.19952,1.1236,0.000448291,0.000448291,0.000448291
14,3958.46,1.20771,1.28364,1.10219,0.62258,0.44739,0.53995,0.33002,1.18878,1.19563,1.12221,0.000436649,0.000436649,0.000436649
15,4228.82,1.19108,1.22942,1.10239,0.6384,0.50123,0.56524,0.34776,1.18582,1.14049,1.14153,0.000425006,0.000425006,0.000425006
16,4578.55,1.14459,1.1884,1.0818,0.66272,0.55744,0.61963,0.38611,1.16336,1.10569,1.13532,0.000413364,0.000413364,0.000413364
17,4892.97,1.18105,1.154,1.09352,0.5231,0.62917,0.606,0.375,1.16839,1.11562,1.13286,0.000401722,0.000401722,0.000401722
18,5178.86,1.15531,1.16135,1.09308,0.53428,0.62169,0.58867,0.37064,1.15692,1.10835,1.11433,0.000390079,0.000390079,0.000390079
19,5455.85,1.10232,1.11054,1.07287,0.53668,0.58675,0.60714,0.37345,1.16296,1.0019,1.11962,0.000378437,0.000378437,0.000378437
20,5729.97,1.12664,1.07962,1.07248,0.49392,0.6448,0.57659,0.35319,1.13672,1.0456,1.12288,0.000366794,0.000366794,0.000366794
21,6087.79,1.09886,1.05507,1.06006,0.65913,0.58876,0.62216,0.37714,1.13938,1.0965,1.11519,0.000355152,0.000355152,0.000355152
22,6355.83,1.08414,1.02417,1.04145,0.56787,0.71896,0.64639,0.40154,1.16506,1.08462,1.12818,0.00034351,0.00034351,0.00034351
23,6620.68,1.08943,1.0058,1.0612,0.5347,0.64867,0.62784,0.39915,1.15329,0.98315,1.11665,0.000331867,0.000331867,0.000331867
24,6888.01,1.08256,0.97462,1.04898,0.54639,0.64271,0.64278,0.40418,1.14027,0.98913,1.11402,0.000320225,0.000320225,0.000320225
25,7174.92,1.08815,0.94919,1.06057,0.52679,0.69988,0.62364,0.37383,1.14866,1.01808,1.13209,0.000308582,0.000308582,0.000308582
26,7535.3,1.04706,0.94265,1.03579,0.56987,0.61151,0.63167,0.38212,1.14969,1.04279,1.11595,0.00029694,0.00029694,0.00029694
27,7813.4,1.03965,0.94835,1.02453,0.54469,0.64273,0.63816,0.393,1.15142,0.99075,1.12444,0.000285298,0.000285298,0.000285298
28,8096.4,1.02292,0.90254,1.02739,0.55544,0.73139,0.6682,0.40168,1.15524,0.95987,1.12122,0.000273655,0.000273655,0.000273655
29,8359.45,1.04106,0.89634,1.0345,0.71197,0.58967,0.65262,0.40157,1.15285,1.01024,1.11931,0.000262013,0.000262013,0.000262013
30,8621.73,1.02842,0.88103,1.01987,0.61407,0.57894,0.64486,0.40847,1.13692,0.96102,1.10471,0.00025037,0.00025037,0.00025037
31,8991.5,1.01778,0.8716,1.0275,0.65374,0.60284,0.64315,0.40736,1.12386,0.9757,1.10492,0.000238728,0.000238728,0.000238728
32,9251.53,1.02067,0.8563,1.00366,0.56023,0.6478,0.64192,0.40283,1.11426,0.97742,1.09939,0.000227086,0.000227086,0.000227086
33,9513.25,0.9945,0.82884,1.0168,0.59767,0.64958,0.67647,0.42355,1.11434,0.93957,1.10628,0.000215443,0.000215443,0.000215443
34,9777.71,0.96882,0.81381,0.99568,0.65208,0.61208,0.6505,0.41583,1.13406,0.93229,1.11161,0.000203801,0.000203801,0.000203801
35,10036.4,0.96921,0.79956,0.98126,0.62124,0.70478,0.68768,0.44729,1.10793,0.89959,1.10517,0.000192158,0.000192158,0.000192158
36,10382.4,0.97094,0.79499,0.99981,0.5889,0.72623,0.67935,0.43087,1.11325,0.93569,1.09816,0.000180516,0.000180516,0.000180516
37,10649,0.9604,0.74912,0.99684,0.60263,0.63543,0.65352,0.42076,1.10343,0.97432,1.09684,0.000168874,0.000168874,0.000168874
38,10917.7,0.94023,0.75958,1.0039,0.61866,0.63002,0.66491,0.42247,1.11695,0.95769,1.10036,0.000157231,0.000157231,0.000157231
