epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,,shrink,,,,,,"global_precision_guard,global_map50_guard,global_map95_guard"
10,,shrink,,,,,,global_precision_guard
15,,shrink,,,,,,"global_precision_guard,global_map50_guard,global_map95_guard"
20,,shrink,,,,,,"global_precision_guard,global_map50_guard,global_map95_guard"
25,8,accept,sharpen_mild,prob,0.0,0.005,texture_boundary_weak_domain_prior,
25,8,accept,sharpen_mild,strength,0.0,0.01,texture_boundary_weak_domain_prior,
25,8,accept,local_contrast,prob,0.0,0.005,texture_boundary_weak_domain_prior,
25,8,accept,local_contrast,strength,0.0,0.01,texture_boundary_weak_domain_prior,
30,,observe,,,,,,
35,,shrink,,,,,,global_precision_guard
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
