epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.724,1.48213,7.68804,1.24625,0.68785,0.24403,0.24375,0.14926,1.37266,2.15694,1.1756,0.00019583,0.00019583,0.00019583
2,590.735,1.42422,5.85935,1.2092,0.8222,0.25907,0.27009,0.16279,1.36677,2.0276,1.24174,0.000384071,0.000384071,0.000384071
3,869.627,1.40349,4.38761,1.21709,0.80133,0.25661,0.27397,0.16769,1.35305,2.10175,1.24137,0.000564552,0.000564552,0.000564552
4,1141.83,1.41171,3.20159,1.23121,0.71433,0.30095,0.2998,0.18471,1.32228,1.79255,1.24487,0.000553073,0.000553073,0.000553073
5,1422.23,1.43629,2.70284,1.23413,0.5385,0.33718,0.33331,0.19953,1.31223,1.70933,1.23449,0.00054143,0.00054143,0.00054143
6,1781.74,1.33366,2.13866,1.17858,0.70347,0.38271,0.40658,0.24248,1.25395,1.46727,1.20722,0.000529788,0.000529788,0.000529788
7,2054.35,1.35643,1.89409,1.20715,0.51732,0.40515,0.42169,0.25186,1.21924,1.44518,1.17378,0.000518146,0.000518146,0.000518146
8,2327.62,1.30249,1.69965,1.16174,0.76934,0.37957,0.44457,0.26949,1.25525,1.369,1.18529,0.000506503,0.000506503,0.000506503
9,2600.62,1.30425,1.64092,1.16417,0.61665,0.41658,0.47522,0.28972,1.25787,1.50488,1.19145,0.000494861,0.000494861,0.000494861
10,2874.36,1.2793,1.5129,1.1643,0.58984,0.51268,0.54208,0.32391,1.23095,1.24477,1.19547,0.000483218,0.000483218,0.000483218
11,3233.56,1.22726,1.42731,1.13048,0.61112,0.47763,0.51605,0.31076,1.1976,1.17247,1.16573,0.000471576,0.000471576,0.000471576
12,3517.65,1.22012,1.40008,1.11393,0.702,0.41387,0.48969,0.29938,1.23015,1.18604,1.16566,0.000459934,0.000459934,0.000459934
13,3794.15,1.22084,1.35386,1.13028,0.6914,0.49644,0.55242,0.33866,1.22567,1.19493,1.1672,0.000448291,0.000448291,0.000448291
14,4069.07,1.21403,1.29483,1.1186,0.61006,0.50963,0.52294,0.31236,1.18728,1.18187,1.1559,0.000436649,0.000436649,0.000436649
15,4341.65,1.19956,1.21606,1.11192,0.70144,0.47179,0.53663,0.33823,1.18952,1.18162,1.15893,0.000425006,0.000425006,0.000425006
16,4689.42,1.15279,1.16839,1.08614,0.6703,0.47021,0.53752,0.33943,1.20573,1.18118,1.17074,0.000413364,0.000413364,0.000413364
17,4954.79,1.17557,1.14613,1.0987,0.66346,0.52304,0.58596,0.38826,1.16133,1.07869,1.1501,0.000401722,0.000401722,0.000401722
18,5221.9,1.16694,1.11608,1.10513,0.5952,0.62812,0.6051,0.38926,1.1608,1.09209,1.13934,0.000390079,0.000390079,0.000390079
19,5488.24,1.10485,1.10674,1.07173,0.67236,0.50897,0.58761,0.36278,1.19143,1.03446,1.15442,0.000378437,0.000378437,0.000378437
20,5753.48,1.12555,1.0711,1.07968,0.52193,0.64639,0.60993,0.37988,1.16225,1.02719,1.1353,0.000366794,0.000366794,0.000366794
21,6101.76,1.10055,1.03698,1.06305,0.56569,0.71551,0.65963,0.43253,1.15658,1.06424,1.13821,0.000355152,0.000355152,0.000355152
22,6368.15,1.08096,1.0124,1.04657,0.54119,0.61926,0.58777,0.36031,1.18146,1.06286,1.15254,0.00034351,0.00034351,0.00034351
23,6633.9,1.08523,0.99462,1.06212,0.65399,0.61281,0.65147,0.40326,1.13139,0.98892,1.12638,0.000331867,0.000331867,0.000331867
24,6900.28,1.08636,0.97125,1.05761,0.70278,0.53272,0.61124,0.3919,1.17718,1.02197,1.14767,0.000320225,0.000320225,0.000320225
25,7166.68,1.08333,0.93294,1.06881,0.65914,0.67692,0.65624,0.41143,1.16817,1.01055,1.13474,0.000308582,0.000308582,0.000308582
26,7512,1.04423,0.92758,1.04427,0.67628,0.67515,0.66664,0.39938,1.16949,1.00109,1.14573,0.00029694,0.00029694,0.00029694
27,7778.44,1.04571,0.92901,1.03749,0.54742,0.61637,0.56443,0.355,1.1553,1.01718,1.13456,0.000285298,0.000285298,0.000285298
28,8044.48,1.02742,0.88869,1.03492,0.70156,0.59704,0.65794,0.41664,1.16367,0.96538,1.13624,0.000273655,0.000273655,0.000273655
29,8312.06,1.02483,0.87889,1.03909,0.60661,0.6262,0.62445,0.39183,1.14703,1.03768,1.12789,0.000262013,0.000262013,0.000262013
30,8579.01,1.00906,0.85323,1.0199,0.70518,0.61608,0.68929,0.46639,1.14099,1.03743,1.12079,0.00025037,0.00025037,0.00025037
31,8927.14,1.02037,0.85944,1.03644,0.5918,0.6988,0.65624,0.41812,1.10678,0.96741,1.10584,0.000238728,0.000238728,0.000238728
32,9195.22,1.01686,0.84111,1.00964,0.62274,0.71261,0.71188,0.45868,1.12493,0.97896,1.12147,0.000227086,0.000227086,0.000227086
33,9469.27,0.99587,0.83837,1.02787,0.66338,0.73226,0.72046,0.46013,1.11193,0.90037,1.12054,0.000215443,0.000215443,0.000215443
34,9745.59,0.96227,0.79553,1.00407,0.70867,0.64939,0.69985,0.45469,1.11762,0.89278,1.12181,0.000203801,0.000203801,0.000203801
35,10018.3,0.96376,0.80246,0.98615,0.64598,0.6665,0.6819,0.45277,1.11274,0.94201,1.12706,0.000192158,0.000192158,0.000192158
36,10367.3,0.96801,0.78095,1.00274,0.68603,0.69988,0.70616,0.46566,1.11978,0.92235,1.11685,0.000180516,0.000180516,0.000180516
37,10635.2,0.95584,0.74816,1.00149,0.60488,0.63063,0.63857,0.42568,1.12326,0.95034,1.12389,0.000168874,0.000168874,0.000168874
38,10902.7,0.9329,0.73509,1.00676,0.55708,0.71698,0.66024,0.43003,1.11978,0.91324,1.11403,0.000157231,0.000157231,0.000157231
39,11169.9,0.92354,0.71791,0.98709,0.58123,0.75841,0.71093,0.47861,1.10117,0.90379,1.11652,0.000145589,0.000145589,0.000145589
40,11436.9,0.91139,0.71823,0.98313,0.77321,0.63852,0.73284,0.48979,1.10753,0.91456,1.11597,0.000133946,0.000133946,0.000133946
41,11780.1,0.91791,0.68925,0.98934,0.63487,0.65009,0.6947,0.44297,1.12521,0.90192,1.13034,0.000122304,0.000122304,0.000122304
42,12041.4,0.89941,0.65272,0.98206,0.73667,0.66088,0.7181,0.4592,1.12759,0.87936,1.12689,0.000110662,0.000110662,0.000110662
43,12303.6,0.90072,0.64051,0.98514,0.63321,0.65714,0.66202,0.41879,1.13672,0.90469,1.13828,9.90192e-05,9.90192e-05,9.90192e-05
