epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,11,burnin_observe,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
5,11,burnin_observe,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
5,11,burnin_observe,local_contrast,prob,0.0,0.015,texture_boundary_weak,
5,11,burnin_observe,local_contrast,strength,0.0,0.02,texture_boundary_weak,
5,4,burnin_observe,sharpen_mild,prob,0.0,0.005,low_recall_domain_prior,
5,4,burnin_observe,sharpen_mild,strength,0.0,0.01,low_recall_domain_prior,
5,4,burnin_observe,local_contrast,prob,0.0,0.005,low_recall_domain_prior,
5,4,burnin_observe,local_contrast,strength,0.0,0.01,low_recall_domain_prior,
10,8,burnin_observe,sharpen_mild,prob,0.0,0.005,texture_boundary_weak_domain_prior,
10,8,burnin_observe,sharpen_mild,strength,0.0,0.01,texture_boundary_weak_domain_prior,
10,8,burnin_observe,local_contrast,prob,0.0,0.005,texture_boundary_weak_domain_prior,
10,8,burnin_observe,local_contrast,strength,0.0,0.01,texture_boundary_weak_domain_prior,
15,12,accept,local_contrast,prob,0.0,0.015,low_contrast_fn,
15,12,accept,local_contrast,strength,0.0,0.02,low_contrast_fn,
15,12,accept,gamma,prob,0.0,0.01,low_contrast_fn,
15,12,accept,gamma,strength,0.0,0.015,low_contrast_fn,
20,,observe,,,,,,
25,12,accept,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
25,12,accept,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
25,12,accept,local_contrast,prob,0.01,0.025,texture_boundary_weak,
25,12,accept,local_contrast,strength,0.02,0.04,texture_boundary_weak,
30,,observe,,,,,,
35,,shrink,,,,,,global_precision_guard
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
