epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.17,1.50251,7.63938,1.2344,0.8278,0.19843,0.21309,0.14562,1.27935,2.19284,1.09885,0.00019583,0.00019583,0.00019583
2,493.014,1.46469,5.66161,1.20673,0.78859,0.2534,0.26348,0.16168,1.38889,2.09527,1.15344,0.000384071,0.000384071,0.000384071
3,730.621,1.44868,4.12448,1.21179,0.4546,0.29604,0.30564,0.18886,1.34864,2.08499,1.19497,0.000564552,0.000564552,0.000564552
4,968.406,1.41741,3.0033,1.2084,0.50347,0.34303,0.31782,0.19781,1.26801,1.59625,1.15368,0.000553073,0.000553073,0.000553073
5,1205.97,1.377,2.43953,1.18951,0.52472,0.38057,0.35714,0.21955,1.28449,1.65188,1.17611,0.00054143,0.00054143,0.00054143
6,1521.99,1.33725,2.1292,1.16066,0.56256,0.3383,0.33961,0.20826,1.26158,1.46796,1.13338,0.000529788,0.000529788,0.000529788
7,1758.9,1.30661,1.88377,1.15727,0.58849,0.38429,0.36713,0.23,1.26036,1.41593,1.15911,0.000518146,0.000518146,0.000518146
8,1994.9,1.30501,1.73841,1.15384,0.62404,0.48077,0.48006,0.29549,1.24103,1.34611,1.14182,0.000506503,0.000506503,0.000506503
9,2231.24,1.26965,1.60601,1.14588,0.60866,0.48643,0.49601,0.3063,1.24554,1.35712,1.15498,0.000494861,0.000494861,0.000494861
10,2468.08,1.24899,1.47913,1.13215,0.58297,0.529,0.50905,0.30616,1.20607,1.29728,1.12329,0.000483218,0.000483218,0.000483218
11,2785.56,1.25054,1.42537,1.12977,0.66091,0.45282,0.48886,0.31835,1.16277,1.26632,1.1152,0.000471576,0.000471576,0.000471576
12,3022.86,1.24554,1.43448,1.11774,0.57461,0.47079,0.51311,0.32532,1.21925,1.22923,1.13458,0.000459934,0.000459934,0.000459934
13,3260.49,1.19686,1.34661,1.10527,0.52947,0.46696,0.5142,0.31074,1.17658,1.26574,1.11384,0.000448291,0.000448291,0.000448291
14,3502.94,1.18891,1.24375,1.09485,0.63319,0.45942,0.50879,0.32015,1.18901,1.24875,1.12685,0.000436649,0.000436649,0.000436649
15,3741.34,1.15626,1.20848,1.08528,0.58403,0.53691,0.55771,0.34161,1.18093,1.17198,1.10625,0.000425006,0.000425006,0.000425006
16,4059.19,1.16937,1.21849,1.08873,0.51797,0.53902,0.56074,0.33908,1.21297,1.24616,1.12356,0.000413364,0.000413364,0.000413364
17,4296.7,1.15875,1.15854,1.06945,0.69875,0.51856,0.61102,0.36509,1.15964,1.16102,1.10966,0.000401722,0.000401722,0.000401722
18,4533.91,1.13341,1.10152,1.06005,0.51984,0.67397,0.6424,0.40507,1.1864,1.07121,1.11564,0.000390079,0.000390079,0.000390079
19,4771.55,1.14756,1.09286,1.08656,0.68443,0.55376,0.60176,0.38719,1.17454,1.14375,1.10624,0.000378437,0.000378437,0.000378437
20,5009.44,1.13286,1.09623,1.07115,0.61505,0.62255,0.60204,0.38584,1.1481,1.17601,1.10416,0.000366794,0.000366794,0.000366794
21,5327.17,1.11233,1.02225,1.05847,0.649,0.59904,0.59145,0.38037,1.18341,1.12087,1.13004,0.000355152,0.000355152,0.000355152
22,5564.72,1.10153,1.02535,1.06065,0.632,0.61201,0.64548,0.40887,1.15876,1.09214,1.12573,0.00034351,0.00034351,0.00034351
23,5800.51,1.07518,1.00199,1.04577,0.69192,0.57724,0.60791,0.38885,1.17903,1.08517,1.12196,0.000331867,0.000331867,0.000331867
24,6038.79,1.0967,1.01669,1.04628,0.52304,0.6812,0.6157,0.39175,1.15076,1.09247,1.11327,0.000320225,0.000320225,0.000320225
25,6277.69,1.06876,0.97993,1.0439,0.71541,0.55099,0.61058,0.3851,1.1675,1.09044,1.11976,0.000308582,0.000308582,0.000308582
26,6592.63,1.05562,0.94266,1.03356,0.57753,0.67265,0.64389,0.40678,1.14468,1.04427,1.09902,0.00029694,0.00029694,0.00029694
27,6828.69,1.03309,0.91904,1.00789,0.71436,0.65941,0.68911,0.42324,1.15747,0.98726,1.12294,0.000285298,0.000285298,0.000285298
28,7065.56,1.0454,0.9138,1.02286,0.65328,0.58069,0.65394,0.39658,1.15625,0.99555,1.11539,0.000273655,0.000273655,0.000273655
29,7309.96,1.02965,0.86733,1.03098,0.69067,0.66028,0.72254,0.45923,1.16533,0.97486,1.11915,0.000262013,0.000262013,0.000262013
30,7550.51,1.01072,0.8604,1.01936,0.78405,0.64039,0.72613,0.46726,1.13776,0.99977,1.11524,0.00025037,0.00025037,0.00025037
31,7867.85,1.00016,0.82444,0.99834,0.75454,0.62701,0.73876,0.47701,1.12191,0.94845,1.10105,0.000238728,0.000238728,0.000238728
32,8106.98,1.01074,0.82902,1.01281,0.77401,0.62396,0.74582,0.48062,1.12876,0.93732,1.09578,0.000227086,0.000227086,0.000227086
33,8345.09,0.9908,0.82818,0.99488,0.59353,0.72213,0.66667,0.40589,1.12629,0.98534,1.09949,0.000215443,0.000215443,0.000215443
34,8583.92,1.00671,0.82129,1.01171,0.65983,0.70296,0.71342,0.45887,1.13315,0.99774,1.09736,0.000203801,0.000203801,0.000203801
35,8822.17,0.96971,0.78328,0.99314,0.7418,0.6918,0.73817,0.4948,1.12673,0.96414,1.09688,0.000192158,0.000192158,0.000192158
36,9139.68,0.97261,0.7565,0.99885,0.7399,0.68556,0.75125,0.48507,1.11555,0.97349,1.08422,0.000180516,0.000180516,0.000180516
37,9377.56,0.9373,0.75715,0.97324,0.6228,0.74719,0.67558,0.43152,1.10239,0.99252,1.08539,0.000168874,0.000168874,0.000168874
38,9615.01,0.94822,0.75894,0.98583,0.67145,0.72986,0.71404,0.46299,1.08546,0.94277,1.08407,0.000157231,0.000157231,0.000157231
39,9854.38,0.95304,0.74785,0.98518,0.72936,0.66188,0.67702,0.43086,1.09998,0.92682,1.09212,0.000145589,0.000145589,0.000145589
40,10092.2,0.9273,0.72434,0.97984,0.58251,0.73822,0.66996,0.42631,1.10208,0.92642,1.09537,0.000133946,0.000133946,0.000133946
41,10412.6,0.93265,0.69688,0.98123,0.72681,0.6971,0.72801,0.45836,1.10321,0.92753,1.11128,0.000122304,0.000122304,0.000122304
42,10655.2,0.90186,0.66702,0.9699,0.72733,0.72605,0.75124,0.47517,1.09966,0.94252,1.09996,0.000110662,0.000110662,0.000110662
43,10888.4,0.89568,0.649,0.96637,0.63633,0.65397,0.68126,0.43057,1.1139,0.95814,1.11025,9.90192e-05,9.90192e-05,9.90192e-05
44,11121.2,0.89254,0.63827,0.96207,0.69822,0.73587,0.74978,0.48294,1.10475,0.91889,1.102,8.73768e-05,8.73768e-05,8.73768e-05
45,11353.5,0.85981,0.60668,0.94612,0.64439,0.75348,0.69226,0.44251,1.10446,0.93959,1.10653,7.57344e-05,7.57344e-05,7.57344e-05
46,11665.7,0.87072,0.61604,0.95899,0.64773,0.66878,0.68142,0.43789,1.12594,0.93161,1.10671,6.4092e-05,6.4092e-05,6.4092e-05
47,11897.4,0.87132,0.62043,0.96167,0.61813,0.68713,0.68139,0.44213,1.10849,0.94001,1.10708,5.24496e-05,5.24496e-05,5.24496e-05
48,12131.7,0.85937,0.60328,0.95565,0.75343,0.66336,0.69471,0.44644,1.10836,0.92372,1.10304,4.08072e-05,4.08072e-05,4.08072e-05
49,12368.2,0.83884,0.59704,0.94306,0.74798,0.73381,0.76112,0.49814,1.10402,0.90977,1.10391,2.91648e-05,2.91648e-05,2.91648e-05
50,12586.1,0.82575,0.5708,0.93572,0.75555,0.7249,0.76388,0.49914,1.11375,0.9138,1.10786,1.75224e-05,1.75224e-05,1.75224e-05
