epoch,class_id,action,op,field,before,after,reason,guard_triggered
5,9,accept,sharpen_mild,prob,0.0,0.015,texture_boundary_weak,
5,9,accept,sharpen_mild,strength,0.0,0.02,texture_boundary_weak,
5,9,accept,local_contrast,prob,0.0,0.015,texture_boundary_weak,
5,9,accept,local_contrast,strength,0.0,0.02,texture_boundary_weak,
10,,shrink,,,,,,"global_map50_guard,global_map95_guard"
15,,shrink,,,,,,global_precision_guard
20,,shrink,,,,,,"global_precision_guard,global_map50_guard"
25,11,accept,sharpen_mild,prob,0.0,0.015,weak_localization,
25,11,accept,sharpen_mild,strength,0.0,0.02,weak_localization,
25,11,accept,local_contrast,prob,0.0,0.015,weak_localization,
25,11,accept,local_contrast,strength,0.0,0.02,weak_localization,
30,,shrink,,,,,,global_precision_guard
35,8,accept,sharpen_mild,prob,0.0,0.005,weak_localization_domain_prior,
35,8,accept,sharpen_mild,strength,0.0,0.01,weak_localization_domain_prior,
35,8,accept,local_contrast,prob,0.0,0.005,weak_localization_domain_prior,
35,8,accept,local_contrast,strength,0.0,0.01,weak_localization_domain_prior,
40,,freeze,,,,,,epoch_ge_40
45,,freeze,,,,,,epoch_ge_40
