epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.606,1.49973,7.76186,1.2578,0.88989,0.22574,0.25063,0.15203,1.35214,2.1049,1.18973,0.00019583,0.00019583,0.00019583
2,617.029,1.42465,5.78387,1.2132,0.79375,0.25396,0.27253,0.15844,1.33568,1.96667,1.15065,0.000384071,0.000384071,0.000384071
3,908.54,1.39136,4.28299,1.22466,0.81485,0.24197,0.2955,0.18642,1.32905,2.04582,1.21547,0.000564552,0.000564552,0.000564552
4,1203.13,1.40682,3.11306,1.22703,0.69215,0.26824,0.31503,0.19569,1.33219,1.69761,1.20148,0.000553073,0.000553073,0.000553073
5,1498.46,1.4211,2.57048,1.2294,0.55691,0.40929,0.36993,0.2199,1.31213,1.57537,1.23591,0.00054143,0.00054143,0.00054143
6,1871.52,1.33333,2.09241,1.18253,0.73197,0.34529,0.41289,0.25162,1.24747,1.37978,1.17823,0.000529788,0.000529788,0.000529788
7,2166.55,1.34524,1.83254,1.19727,0.55636,0.46281,0.44271,0.27867,1.25262,1.35083,1.19161,0.000518146,0.000518146,0.000518146
8,2460.19,1.31427,1.6859,1.1722,0.60238,0.36994,0.39584,0.24519,1.2603,1.47131,1.19602,0.000506503,0.000506503,0.000506503
9,2742.8,1.3015,1.61458,1.16175,0.58261,0.49927,0.45541,0.27519,1.243,1.52674,1.20172,0.000494861,0.000494861,0.000494861
10,3034.2,1.28197,1.46266,1.1668,0.67733,0.48265,0.51884,0.3119,1.2319,1.29078,1.18844,0.000483218,0.000483218,0.000483218
11,3400.64,1.22441,1.42732,1.12902,0.52414,0.55874,0.48917,0.314,1.20673,1.29685,1.16626,0.000471576,0.000471576,0.000471576
12,3677.17,1.20796,1.41226,1.11434,0.66223,0.48487,0.50129,0.3133,1.18408,1.18938,1.14541,0.000459934,0.000459934,0.000459934
13,3967.35,1.20397,1.33811,1.1255,0.68401,0.44887,0.50866,0.31419,1.18985,1.22058,1.15146,0.000448291,0.000448291,0.000448291
14,4257.09,1.21498,1.29211,1.12225,0.66446,0.4441,0.485,0.291,1.2031,1.23454,1.15498,0.000436649,0.000436649,0.000436649
15,4542.38,1.20107,1.22172,1.11432,0.68928,0.53911,0.57646,0.35073,1.19547,1.10143,1.15297,0.000425006,0.000425006,0.000425006
16,4905.42,1.15982,1.18681,1.09514,0.57127,0.55104,0.55863,0.33044,1.17891,1.17466,1.1607,0.000413364,0.000413364,0.000413364
17,5180.24,1.18092,1.17452,1.1044,0.56115,0.63302,0.59781,0.37461,1.13996,1.14356,1.1436,0.000401722,0.000401722,0.000401722
18,5456.78,1.15411,1.14281,1.10367,0.49608,0.63271,0.60955,0.38154,1.1553,1.04546,1.13742,0.000390079,0.000390079,0.000390079
19,5735.14,1.10253,1.08568,1.06794,0.57654,0.56467,0.60451,0.37852,1.16293,1.05121,1.13167,0.000378437,0.000378437,0.000378437
20,6025.51,1.11219,1.07757,1.07466,0.70573,0.56226,0.64404,0.40759,1.12443,1.01069,1.12171,0.000366794,0.000366794,0.000366794
21,6388.46,1.08014,1.05647,1.0594,0.52236,0.68358,0.65892,0.4195,1.15159,1.04103,1.12829,0.000355152,0.000355152,0.000355152
22,6663.56,1.05639,1.01019,1.04088,0.62577,0.64942,0.65005,0.41765,1.17039,1.06081,1.14087,0.00034351,0.00034351,0.00034351
23,6940.02,1.09628,0.99946,1.0738,0.57051,0.70153,0.63803,0.41362,1.1441,1.01398,1.13353,0.000331867,0.000331867,0.000331867
24,7245.73,1.08303,0.97074,1.05496,0.54184,0.68055,0.63065,0.41839,1.15507,1.00805,1.13495,0.000320225,0.000320225,0.000320225
25,7544.17,1.0887,0.93087,1.0761,0.63073,0.69774,0.71548,0.4611,1.12533,1.0245,1.11043,0.000308582,0.000308582,0.000308582
