epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,270.5,1.50251,7.63938,1.2344,0.8278,0.19843,0.21309,0.14562,1.27935,2.19284,1.09885,0.00019583,0.00019583,0.00019583
2,519.219,1.46469,5.66161,1.20673,0.78859,0.2534,0.26348,0.16168,1.38889,2.09527,1.15344,0.000384071,0.000384071,0.000384071
3,763.057,1.44868,4.12448,1.21179,0.4546,0.29604,0.30564,0.18886,1.34864,2.08499,1.19497,0.000564552,0.000564552,0.000564552
4,1005.77,1.41741,3.0033,1.2084,0.50347,0.34303,0.31782,0.19781,1.26801,1.59625,1.15368,0.000553073,0.000553073,0.000553073
5,1255.68,1.377,2.43953,1.18951,0.52472,0.38057,0.35714,0.21955,1.28449,1.65188,1.17611,0.00054143,0.00054143,0.00054143
6,1575.5,1.33736,2.12926,1.1608,0.57074,0.32493,0.34105,0.21004,1.25822,1.46956,1.13228,0.000529788,0.000529788,0.000529788
7,1818.67,1.30936,1.89489,1.15689,0.58439,0.3809,0.36336,0.22756,1.27553,1.48688,1.15762,0.000518146,0.000518146,0.000518146
8,2060.97,1.29329,1.74699,1.14807,0.55444,0.41819,0.45436,0.27889,1.26843,1.3739,1.15049,0.000506503,0.000506503,0.000506503
9,2302.97,1.28186,1.60018,1.14616,0.652,0.47672,0.47655,0.2873,1.251,1.38762,1.1588,0.000494861,0.000494861,0.000494861
10,2545.33,1.25318,1.45911,1.12529,0.64308,0.52104,0.52851,0.31802,1.21716,1.313,1.12667,0.000483218,0.000483218,0.000483218
11,2863.48,1.25608,1.40536,1.1281,0.59582,0.50151,0.5074,0.32138,1.17327,1.31863,1.12056,0.000471576,0.000471576,0.000471576
12,3105.25,1.23998,1.4386,1.11165,0.46601,0.56676,0.48448,0.29875,1.21083,1.2602,1.12243,0.000459934,0.000459934,0.000459934
13,3348.43,1.20192,1.33105,1.10268,0.4787,0.53525,0.49568,0.31525,1.15696,1.23567,1.11769,0.000448291,0.000448291,0.000448291
14,3591.86,1.19243,1.24909,1.10163,0.51055,0.51922,0.51757,0.30793,1.18295,1.18727,1.13226,0.000436649,0.000436649,0.000436649
15,3834.51,1.15406,1.22218,1.08199,0.49437,0.58372,0.54088,0.33824,1.18443,1.17056,1.12415,0.000425006,0.000425006,0.000425006
16,4155.45,1.16663,1.20376,1.08603,0.49426,0.57824,0.58294,0.36641,1.20153,1.10264,1.13797,0.000413364,0.000413364,0.000413364
17,4397.94,1.1541,1.13921,1.0661,0.65064,0.57354,0.57865,0.35526,1.15394,1.13721,1.10046,0.000401722,0.000401722,0.000401722
18,4640.19,1.13692,1.10955,1.06117,0.67707,0.55169,0.60151,0.38454,1.15012,1.06146,1.09416,0.000390079,0.000390079,0.000390079
