epoch,op,field,before,after,reason
5,clahe,prob,0.0,0.02,recall_low_or_fn_high
5,clahe,strength,0.0,0.015,recall_low_or_fn_high
5,gamma,prob,0.0,0.02,recall_low_or_fn_high
5,gamma,strength,0.0,0.015,recall_low_or_fn_high
5,sharpen_mild,prob,0.0,0.02,recall_low_or_fn_high
5,sharpen_mild,strength,0.0,0.015,recall_low_or_fn_high
5,local_contrast,prob,0.0,0.02,recall_low_or_fn_high
5,local_contrast,strength,0.0,0.015,recall_low_or_fn_high
5,brightness,prob,0.0,0.015,recall_low_brightness_like
5,brightness,strength,0.0,0.01,recall_low_brightness_like
5,brightness,prob,0.015,0.0,precision_low_or_fp_high
5,brightness,strength,0.01,0.0,precision_low_or_fp_high
5,clahe,prob,0.02,0.0,precision_low_or_fp_high
5,clahe,strength,0.015,0.0,precision_low_or_fp_high
5,gamma,prob,0.02,0.0,precision_low_or_fp_high
5,gamma,strength,0.015,0.0,precision_low_or_fp_high
5,cutout_safe,prob,0.0,0.03,precision_low_hard_negative_like
5,cutout_safe,strength,0.0,0.02,precision_low_hard_negative_like
5,clahe,prob,0.0,0.02,low_contrast_fn_high_monitor_fp
5,clahe,strength,0.0,0.015,low_contrast_fn_high_monitor_fp
5,gamma,prob,0.0,0.02,low_contrast_fn_high_monitor_fp
5,gamma,strength,0.0,0.015,low_contrast_fn_high_monitor_fp
5,local_contrast,prob,0.02,0.04,low_contrast_fn_high_monitor_fp
5,local_contrast,strength,0.015,0.03,low_contrast_fn_high_monitor_fp
5,sharpen_mild,prob,0.02,0.04,low_contrast_fn_high_monitor_fp
5,sharpen_mild,strength,0.015,0.03,low_contrast_fn_high_monitor_fp
10,clahe,prob,0.02,0.04,recall_low_or_fn_high
10,clahe,strength,0.015,0.03,recall_low_or_fn_high
10,gamma,prob,0.02,0.04,recall_low_or_fn_high
10,gamma,strength,0.015,0.03,recall_low_or_fn_high
10,sharpen_mild,prob,0.04,0.06,recall_low_or_fn_high
10,sharpen_mild,strength,0.03,0.045,recall_low_or_fn_high
10,local_contrast,prob,0.04,0.06,recall_low_or_fn_high
10,local_contrast,strength,0.03,0.045,recall_low_or_fn_high
10,brightness,prob,0.0,0.015,recall_low_brightness_like
10,brightness,strength,0.0,0.01,recall_low_brightness_like
10,brightness,prob,0.015,0.0,precision_low_or_fp_high
10,brightness,strength,0.01,0.0,precision_low_or_fp_high
10,clahe,prob,0.04,0.010000000000000002,precision_low_or_fp_high
10,clahe,strength,0.03,0.009999999999999998,precision_low_or_fp_high
10,gamma,prob,0.04,0.010000000000000002,precision_low_or_fp_high
10,gamma,strength,0.03,0.009999999999999998,precision_low_or_fp_high
10,cutout_safe,prob,0.03,0.06,precision_low_hard_negative_like
10,cutout_safe,strength,0.02,0.04,precision_low_hard_negative_like
10,sharpen_mild,prob,0.06,0.1,map50_high_map95_low
10,sharpen_mild,strength,0.045,0.075,map50_high_map95_low
10,local_contrast,prob,0.06,0.1,map50_high_map95_low
10,local_contrast,strength,0.045,0.075,map50_high_map95_low
10,cutout_safe,prob,0.06,0.039999999999999994,map50_high_map95_low_reduce_cutout
10,cutout_safe,strength,0.04,0.02,map50_high_map95_low_reduce_cutout
10,clahe,prob,0.010000000000000002,0.030000000000000002,low_contrast_fn_high_monitor_fp
10,clahe,strength,0.009999999999999998,0.024999999999999998,low_contrast_fn_high_monitor_fp
10,gamma,prob,0.010000000000000002,0.030000000000000002,low_contrast_fn_high_monitor_fp
10,gamma,strength,0.009999999999999998,0.024999999999999998,low_contrast_fn_high_monitor_fp
10,local_contrast,prob,0.1,0.12000000000000001,low_contrast_fn_high_monitor_fp
10,local_contrast,strength,0.075,0.09,low_contrast_fn_high_monitor_fp
10,sharpen_mild,prob,0.1,0.12000000000000001,low_contrast_fn_high_monitor_fp
10,sharpen_mild,strength,0.075,0.09,low_contrast_fn_high_monitor_fp
15,clahe,prob,0.030000000000000002,0.07,recall_low_or_fn_high
15,clahe,strength,0.024999999999999998,0.05499999999999999,recall_low_or_fn_high
15,gamma,prob,0.030000000000000002,0.07,recall_low_or_fn_high
15,gamma,strength,0.024999999999999998,0.05499999999999999,recall_low_or_fn_high
15,sharpen_mild,prob,0.12000000000000001,0.16,recall_low_or_fn_high
15,sharpen_mild,strength,0.09,0.12,recall_low_or_fn_high
15,local_contrast,prob,0.12000000000000001,0.16,recall_low_or_fn_high
