epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.272,1.48213,7.68804,1.24625,0.68785,0.24403,0.24375,0.14926,1.37266,2.15694,1.1756,0.00019583,0.00019583,0.00019583
2,530.693,1.42422,5.85935,1.2092,0.8222,0.25907,0.27009,0.16279,1.36677,2.0276,1.24174,0.000384071,0.000384071,0.000384071
3,790.172,1.40349,4.38761,1.21709,0.80133,0.25661,0.27397,0.16769,1.35305,2.10175,1.24137,0.000564552,0.000564552,0.000564552
4,1039.31,1.41171,3.20159,1.23121,0.71433,0.30095,0.2998,0.18471,1.32228,1.79255,1.24487,0.000553073,0.000553073,0.000553073
5,1287.94,1.43629,2.70284,1.23413,0.5385,0.33718,0.33331,0.19953,1.31223,1.70933,1.23449,0.00054143,0.00054143,0.00054143
6,1615.24,1.34031,2.13864,1.18143,0.70184,0.38283,0.41867,0.25418,1.25162,1.39535,1.20095,0.000529788,0.000529788,0.000529788
7,1870.04,1.33583,1.88901,1.19576,0.58035,0.40509,0.43109,0.24997,1.24552,1.50931,1.18686,0.000518146,0.000518146,0.000518146
8,2116.11,1.32726,1.72062,1.16862,0.68872,0.39874,0.43884,0.2633,1.24372,1.35993,1.18911,0.000506503,0.000506503,0.000506503
9,2360.61,1.30008,1.62381,1.16479,0.5162,0.44341,0.45334,0.27241,1.25691,1.44315,1.20873,0.000494861,0.000494861,0.000494861
10,2605,1.28686,1.51428,1.16348,0.64683,0.46728,0.54058,0.34636,1.22115,1.24195,1.17283,0.000483218,0.000483218,0.000483218
11,2933.01,1.2288,1.46602,1.12751,0.62905,0.51601,0.51128,0.32146,1.21355,1.27165,1.16082,0.000471576,0.000471576,0.000471576
12,3185.75,1.2257,1.39505,1.11556,0.59656,0.5415,0.5282,0.33071,1.19485,1.12038,1.15432,0.000459934,0.000459934,0.000459934
13,3438.26,1.21078,1.34315,1.12593,0.69241,0.46672,0.5291,0.32917,1.1652,1.1805,1.14715,0.000448291,0.000448291,0.000448291
14,3691.87,1.20897,1.28768,1.1144,0.62369,0.51736,0.58604,0.39831,1.1569,1.16001,1.12282,0.000436649,0.000436649,0.000436649
15,3946.32,1.19405,1.23047,1.11295,0.68692,0.51772,0.63287,0.42056,1.15223,1.06876,1.14004,0.000425006,0.000425006,0.000425006
16,4288.65,1.15104,1.16291,1.08824,0.59442,0.55318,0.55685,0.34424,1.15592,1.16925,1.13361,0.000413364,0.000413364,0.000413364
17,4559.12,1.1746,1.14562,1.10133,0.58407,0.68653,0.66377,0.41896,1.16558,1.10724,1.14541,0.000401722,0.000401722,0.000401722
18,4829.43,1.14815,1.12444,1.09343,0.65825,0.58106,0.60907,0.37549,1.15656,1.05916,1.13212,0.000390079,0.000390079,0.000390079
19,5099.48,1.10052,1.0826,1.06983,0.63082,0.52524,0.57046,0.36659,1.16086,1.01854,1.13424,0.000378437,0.000378437,0.000378437
20,5369.58,1.11148,1.07245,1.07613,0.49817,0.66829,0.59828,0.38056,1.13347,1.00147,1.12993,0.000366794,0.000366794,0.000366794
21,5715.81,1.08637,1.03708,1.06157,0.51209,0.70328,0.61337,0.38563,1.13702,1.07203,1.12134,0.000355152,0.000355152,0.000355152
22,5982.09,1.07992,1.0205,1.05072,0.65628,0.646,0.63361,0.40041,1.16073,1.00818,1.12954,0.00034351,0.00034351,0.00034351
23,6257.87,1.09938,1.00171,1.077,0.58868,0.70616,0.66358,0.4137,1.13916,0.9914,1.13141,0.000331867,0.000331867,0.000331867
24,6530.83,1.07126,0.95274,1.05016,0.57061,0.68384,0.63896,0.40623,1.15469,1.02158,1.13324,0.000320225,0.000320225,0.000320225
25,6796.61,1.09932,0.94464,1.07504,0.64683,0.616,0.62696,0.39306,1.1643,1.0031,1.14588,0.000308582,0.000308582,0.000308582
26,7134.2,1.04994,0.91753,1.04371,0.54011,0.73503,0.63296,0.38504,1.16844,0.98903,1.14131,0.00029694,0.00029694,0.00029694
27,7399.68,1.0479,0.92671,1.03487,0.68035,0.59868,0.64679,0.39182,1.15225,0.99249,1.12784,0.000285298,0.000285298,0.000285298
28,7664.52,1.02661,0.88388,1.03,0.57059,0.65161,0.63606,0.38564,1.14061,0.97928,1.13127,0.000273655,0.000273655,0.000273655
29,7929.37,1.03305,0.87545,1.03779,0.68076,0.68725,0.6879,0.42929,1.13495,0.96926,1.11059,0.000262013,0.000262013,0.000262013
30,8195.21,1.01075,0.85025,1.01914,0.61457,0.65193,0.67167,0.43818,1.15662,0.99352,1.122,0.00025037,0.00025037,0.00025037
31,8530.83,1.01741,0.83673,1.03196,0.67348,0.61506,0.69815,0.45349,1.12699,0.9473,1.11362,0.000238728,0.000238728,0.000238728
32,8798.42,1.00968,0.8285,1.00902,0.65796,0.63123,0.66028,0.4017,1.13445,0.93934,1.12698,0.000227086,0.000227086,0.000227086
33,9066.55,0.98634,0.81225,1.02237,0.68908,0.73102,0.74624,0.48719,1.11821,0.923,1.11763,0.000215443,0.000215443,0.000215443
34,9335.06,0.97396,0.80361,1.01035,0.66514,0.6911,0.69562,0.44938,1.15129,0.9214,1.12468,0.000203801,0.000203801,0.000203801
35,9601.5,0.96881,0.79845,0.98905,0.63017,0.69878,0.67403,0.43345,1.12236,0.91446,1.11155,0.000192158,0.000192158,0.000192158
36,9953.95,0.97894,0.78725,1.00512,0.68493,0.66104,0.72764,0.47334,1.13346,0.93421,1.1214,0.000180516,0.000180516,0.000180516
37,10228,0.95021,0.7475,1.00057,0.63321,0.63747,0.67587,0.44355,1.11875,0.96074,1.11836,0.000168874,0.000168874,0.000168874
38,10502.1,0.93243,0.74792,1.0067,0.67949,0.64683,0.69688,0.45475,1.14302,0.95576,1.1255,0.000157231,0.000157231,0.000157231
39,10776.5,0.91835,0.71826,0.98736,0.67704,0.67297,0.74298,0.49603,1.12202,0.90008,1.12337,0.000145589,0.000145589,0.000145589
40,11051,0.92278,0.72753,0.99087,0.71097,0.68239,0.67984,0.43762,1.11723,0.898,1.12031,0.000133946,0.000133946,0.000133946
41,11395.9,0.92409,0.69654,0.99553,0.69517,0.68706,0.67829,0.42455,1.12681,0.90931,1.12551,0.000122304,0.000122304,0.000122304
42,11668.2,0.89602,0.65737,0.98251,0.70778,0.66491,0.70308,0.44688,1.12504,0.89542,1.12341,0.000110662,0.000110662,0.000110662
43,11938.3,0.90611,0.65736,0.98384,0.70646,0.66804,0.67108,0.42828,1.14233,0.87692,1.13454,9.90192e-05,9.90192e-05,9.90192e-05
44,12208.4,0.89594,0.64457,0.99181,0.69102,0.70588,0.74191,0.48838,1.1224,0.87407,1.12484,8.73768e-05,8.73768e-05,8.73768e-05
45,12479.5,0.87751,0.63576,0.98504,0.754,0.66385,0.73984,0.48076,1.13012,0.89439,1.13399,7.57344e-05,7.57344e-05,7.57344e-05
46,12829.6,0.86528,0.61742,0.9751,0.71664,0.6989,0.72845,0.46675,1.11536,0.86973,1.11976,6.4092e-05,6.4092e-05,6.4092e-05
47,13102.7,0.85522,0.6175,0.96318,0.74471,0.69702,0.71282,0.45549,1.11605,0.88573,1.1231,5.24496e-05,5.24496e-05,5.24496e-05
48,13376.3,0.849,0.61424,0.95944,0.72329,0.70198,0.71662,0.45465,1.11294,0.86994,1.12256,4.08072e-05,4.08072e-05,4.08072e-05
49,13652.9,0.84571,0.60511,0.96839,0.74397,0.68844,0.71667,0.46045,1.10795,0.85746,1.12171,2.91648e-05,2.91648e-05,2.91648e-05
50,13931.4,0.84466,0.59128,0.96044,0.74732,0.69845,0.71872,0.46362,1.10841,0.85725,1.11755,1.75224e-05,1.75224e-05,1.75224e-05
