epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.429,1.48407,8.2268,1.24477,0.91315,0.15857,0.18435,0.12172,1.39919,2.26859,1.14035,0.000195811,0.000195811,0.000195811
2,456.771,1.43922,6.75975,1.21206,0.63789,0.29603,0.27974,0.17499,1.34628,2.17469,1.21237,0.000384053,0.000384053,0.000384053
3,678.584,1.4201,5.65883,1.2254,0.76962,0.26801,0.29922,0.18086,1.33299,1.77295,1.2191,0.000564534,0.000564534,0.000564534
4,900.095,1.45512,4.44143,1.25149,0.60084,0.31797,0.32298,0.19927,1.3139,1.77283,1.17718,0.000553073,0.000553073,0.000553073
5,1121.44,1.3723,3.48743,1.20821,0.61612,0.36563,0.36823,0.21887,1.25157,1.70782,1.16969,0.00054143,0.00054143,0.00054143
6,1341.3,1.35803,2.8088,1.20138,0.65687,0.33605,0.36861,0.22057,1.27225,1.7439,1.18694,0.000529788,0.000529788,0.000529788
7,1564.43,1.30146,2.41919,1.16004,0.58905,0.38228,0.38756,0.23905,1.28333,1.4201,1.18806,0.000518146,0.000518146,0.000518146
8,1787.09,1.30582,2.14174,1.17037,0.53652,0.4142,0.42446,0.26181,1.295,1.41991,1.1856,0.000506503,0.000506503,0.000506503
9,2025.64,1.29909,1.887,1.17375,0.63068,0.43202,0.44202,0.26673,1.27249,1.46512,1.1742,0.000494861,0.000494861,0.000494861
10,2253.19,1.28188,1.75532,1.13892,0.60221,0.39408,0.40864,0.25698,1.23982,1.49419,1.15436,0.000483218,0.000483218,0.000483218
11,2485.58,1.20226,1.61283,1.11754,0.55474,0.42425,0.50059,0.31461,1.2295,1.45701,1.16667,0.000471576,0.000471576,0.000471576
12,2713.61,1.23281,1.55365,1.14493,0.51862,0.5485,0.48487,0.30459,1.22367,1.27838,1.16669,0.000459934,0.000459934,0.000459934
13,2941.34,1.22279,1.50192,1.1201,0.5948,0.47306,0.49818,0.31641,1.22578,1.21575,1.17459,0.000448291,0.000448291,0.000448291
14,3167.87,1.20328,1.48989,1.1171,0.43841,0.56071,0.54231,0.33125,1.20501,1.20568,1.15142,0.000436649,0.000436649,0.000436649
15,3387.12,1.19252,1.35451,1.11526,0.48627,0.5691,0.54501,0.33908,1.20966,1.37519,1.15288,0.000425006,0.000425006,0.000425006
16,3610.44,1.16149,1.29961,1.09415,0.61988,0.48729,0.55598,0.35286,1.19624,1.19021,1.14767,0.000413364,0.000413364,0.000413364
17,3835.36,1.12283,1.22336,1.0774,0.5261,0.5414,0.57886,0.37026,1.18913,1.14435,1.1428,0.000401722,0.000401722,0.000401722
18,4059.08,1.12645,1.17122,1.08943,0.62893,0.59456,0.6537,0.40875,1.20283,1.16884,1.15426,0.000390079,0.000390079,0.000390079
19,4280.11,1.15668,1.21438,1.09837,0.56313,0.61269,0.62856,0.3842,1.17128,1.07726,1.13325,0.000378437,0.000378437,0.000378437
20,4499.49,1.13987,1.15201,1.08909,0.6023,0.57631,0.59933,0.3604,1.18262,1.14088,1.13895,0.000366794,0.000366794,0.000366794
21,4718.29,1.08614,1.12076,1.05251,0.52248,0.68584,0.61926,0.37595,1.19264,1.11645,1.13846,0.000355152,0.000355152,0.000355152
22,4946.02,1.1016,1.06906,1.05635,0.55845,0.56482,0.61839,0.38646,1.17385,1.10579,1.13183,0.00034351,0.00034351,0.00034351
23,5186.1,1.09375,1.09112,1.0591,0.55154,0.60961,0.60298,0.36775,1.15024,1.09699,1.12568,0.000331867,0.000331867,0.000331867
24,5407.95,1.09227,1.02167,1.06714,0.54405,0.59707,0.61442,0.3946,1.18553,1.1127,1.14127,0.000320225,0.000320225,0.000320225
25,5635.01,1.05273,0.99094,1.03097,0.57537,0.57325,0.60236,0.37362,1.17462,1.13266,1.13342,0.000308582,0.000308582,0.000308582
26,5857.49,1.0529,0.95103,1.04662,0.6169,0.57857,0.63221,0.3939,1.152,1.05265,1.12178,0.00029694,0.00029694,0.00029694
27,6076.97,1.05488,0.98443,1.05253,0.67228,0.66701,0.69015,0.46089,1.16992,1.16893,1.13975,0.000285298,0.000285298,0.000285298
28,6297.79,1.06195,0.99269,1.04753,0.62969,0.6847,0.65488,0.40943,1.14933,1.01797,1.12164,0.000273655,0.000273655,0.000273655
29,6521.87,1.04397,0.92332,1.04233,0.5825,0.71543,0.66574,0.42509,1.15013,1.04285,1.12531,0.000262013,0.000262013,0.000262013
30,6741.22,1.02839,0.8843,1.02725,0.71924,0.58172,0.66039,0.41754,1.14624,0.99856,1.1255,0.00025037,0.00025037,0.00025037
31,6958.35,0.99784,0.8901,1.01507,0.62918,0.67966,0.68674,0.45442,1.15797,1.02423,1.12854,0.000238728,0.000238728,0.000238728
32,7176.78,0.97872,0.86586,1.01395,0.65101,0.6937,0.69386,0.46425,1.15876,1.06819,1.14349,0.000227086,0.000227086,0.000227086
33,7395.56,0.96993,0.85256,0.99451,0.69038,0.66307,0.73605,0.48654,1.16329,1.00713,1.14293,0.000215443,0.000215443,0.000215443
34,7613.87,0.968,0.86152,0.98694,0.70739,0.68346,0.74731,0.48772,1.15673,1.00701,1.14168,0.000203801,0.000203801,0.000203801
35,7832.95,0.98092,0.82368,1.00612,0.72781,0.65569,0.72329,0.45989,1.16045,0.9924,1.13866,0.000192158,0.000192158,0.000192158
36,8051.89,0.97046,0.82548,1.01426,0.71754,0.64879,0.72807,0.47558,1.12626,0.9638,1.10749,0.000180516,0.000180516,0.000180516
37,8271.31,0.96238,0.81239,1.00827,0.73443,0.67471,0.74656,0.49716,1.13031,0.95345,1.11491,0.000168874,0.000168874,0.000168874
38,8490.28,0.97127,0.81194,1.00563,0.61372,0.67719,0.70883,0.47365,1.13987,0.98185,1.11969,0.000157231,0.000157231,0.000157231
39,8708.16,0.94627,0.79048,0.99776,0.56972,0.73403,0.72939,0.47422,1.15146,0.96005,1.12942,0.000145589,0.000145589,0.000145589
40,8928.11,0.94172,0.76117,0.9932,0.70145,0.67279,0.75646,0.496,1.13637,0.93667,1.11893,0.000133946,0.000133946,0.000133946
41,9144.78,0.94867,0.74159,1.00206,0.70081,0.71561,0.74393,0.4792,1.13883,0.93641,1.11514,0.000122304,0.000122304,0.000122304
42,9359.92,0.90722,0.68976,0.98624,0.76893,0.62486,0.75981,0.49427,1.13415,0.92739,1.11581,0.000110662,0.000110662,0.000110662
43,9573.62,0.91465,0.67925,0.98414,0.67584,0.68554,0.72768,0.47166,1.1303,0.94509,1.1154,9.90192e-05,9.90192e-05,9.90192e-05
44,9789.09,0.89559,0.65711,0.97523,0.73353,0.6703,0.75159,0.49831,1.13177,0.93419,1.12268,8.73768e-05,8.73768e-05,8.73768e-05
45,10004.8,0.87423,0.64947,0.97905,0.74317,0.66872,0.75322,0.50155,1.12683,0.94011,1.11554,7.57344e-05,7.57344e-05,7.57344e-05
46,10219.9,0.86773,0.64901,0.9623,0.74827,0.67613,0.75503,0.51067,1.12031,0.94405,1.11382,6.4092e-05,6.4092e-05,6.4092e-05
47,10435.1,0.87148,0.63329,0.96304,0.73254,0.69162,0.75808,0.5123,1.12291,0.94442,1.11705,5.24496e-05,5.24496e-05,5.24496e-05
48,10650.3,0.85175,0.62226,0.96253,0.74755,0.67858,0.75678,0.51345,1.11793,0.94395,1.11502,4.08072e-05,4.08072e-05,4.08072e-05
49,10866.1,0.86488,0.63159,0.96503,0.72347,0.68183,0.75541,0.51022,1.10988,0.94699,1.11229,2.91648e-05,2.91648e-05,2.91648e-05
50,11081.4,0.86324,0.62585,0.95738,0.7259,0.68124,0.75352,0.50778,1.11499,0.94555,1.1157,1.75224e-05,1.75224e-05,1.75224e-05
