epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.568,1.47151,8.83027,1.19144,0.86925,0.15873,0.20827,0.13321,1.33354,2.21073,1.14036,0.000195811,0.000195811,0.000195811
2,521.999,1.44473,6.51475,1.21056,0.62502,0.25167,0.25792,0.1605,1.3625,2.28324,1.16953,0.000384053,0.000384053,0.000384053
3,768.768,1.47266,5.45311,1.25225,0.78893,0.26373,0.29876,0.17932,1.40524,1.80281,1.24632,0.000564534,0.000564534,0.000564534
4,1011.7,1.4265,4.22003,1.21752,0.6686,0.28428,0.30144,0.1845,1.36179,1.80555,1.17906,0.000553073,0.000553073,0.000553073
5,1255.03,1.41506,3.37563,1.21454,0.61268,0.32246,0.34079,0.2046,1.30121,1.5797,1.17059,0.00054143,0.00054143,0.00054143
6,1537.67,1.38743,2.71471,1.19182,0.5418,0.29074,0.33744,0.2041,1.30713,1.91688,1.19538,0.000529788,0.000529788,0.000529788
7,1783.84,1.3489,2.3977,1.17135,0.59415,0.34133,0.37862,0.22956,1.31391,1.51591,1.1694,0.000518146,0.000518146,0.000518146
8,2033.22,1.31276,2.08942,1.14296,0.55212,0.40498,0.39394,0.24695,1.26002,1.40904,1.16407,0.000506503,0.000506503,0.000506503
9,2278.5,1.26328,1.87023,1.13078,0.67135,0.40731,0.4198,0.25595,1.23319,1.36711,1.15613,0.000494861,0.000494861,0.000494861
10,2531.87,1.2682,1.76348,1.1257,0.6399,0.40752,0.43663,0.26145,1.25055,1.48119,1.15342,0.000483218,0.000483218,0.000483218
11,2819.46,1.25799,1.6222,1.10962,0.70666,0.4034,0.48825,0.30156,1.24895,1.35699,1.14374,0.000471576,0.000471576,0.000471576
12,3040.49,1.22612,1.52404,1.09517,0.56582,0.46425,0.47142,0.27818,1.23014,1.38045,1.15349,0.000459934,0.000459934,0.000459934
13,3252.48,1.24626,1.48115,1.11412,0.60877,0.49422,0.51629,0.31202,1.28412,1.37007,1.16024,0.000448291,0.000448291,0.000448291
