stage_index,scope,name,field,before,after,reason
0,official_yolo_aug,hsv_v,value,0.4,0.41500000000000004,recall_low_or_fn_high
0,official_yolo_aug,translate,value,0.1,0.10500000000000001,recall_low_or_fn_high
0,official_yolo_aug,scale,value,0.5,0.525,recall_low_or_fn_high
0,custom_industrial_policy,clahe,prob,0.0,0.025,recall_low_or_fn_high
0,custom_industrial_policy,clahe,strength,0.0,0.02,recall_low_or_fn_high
0,custom_industrial_policy,gamma,prob,0.0,0.025,recall_low_or_fn_high
0,custom_industrial_policy,gamma,strength,0.0,0.02,recall_low_or_fn_high
0,custom_industrial_policy,sharpen_mild,prob,0.0,0.025,recall_low_or_fn_high
0,custom_industrial_policy,sharpen_mild,strength,0.0,0.02,recall_low_or_fn_high
0,official_yolo_aug,hsv_v,value,0.41500000000000004,0.37500000000000006,precision_low_or_fp_high
0,custom_industrial_policy,clahe,prob,0.025,0.0,precision_low_or_fp_high
0,custom_industrial_policy,clahe,strength,0.02,0.0,precision_low_or_fp_high
0,custom_industrial_policy,gamma,prob,0.025,0.0,precision_low_or_fp_high
0,custom_industrial_policy,gamma,strength,0.02,0.0,precision_low_or_fp_high
0,official_yolo_aug,erasing,value,0.4,0.44,precision_low_hard_negative_like
0,custom_industrial_policy,cutout_safe,prob,0.0,0.04,precision_low_hard_negative_like
0,custom_industrial_policy,cutout_safe,strength,0.0,0.03,precision_low_hard_negative_like
0,custom_industrial_policy,clahe,prob,0.0,0.025,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,clahe,strength,0.0,0.02,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,gamma,prob,0.0,0.025,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,gamma,strength,0.0,0.02,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,local_contrast,prob,0.0,0.025,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,local_contrast,strength,0.0,0.02,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,sharpen_mild,prob,0.025,0.05,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,sharpen_mild,strength,0.02,0.04,low_contrast_fn_high_monitor_fp
