stage_index,scope,name,field,before,after,reason
0,official_yolo_aug,hsv_v,value,0.4,0.43000000000000005,recall_low_or_fn_high
0,official_yolo_aug,translate,value,0.1,0.11,recall_low_or_fn_high
0,official_yolo_aug,scale,value,0.5,0.55,recall_low_or_fn_high
0,custom_industrial_policy,clahe,prob,0.0,0.05,recall_low_or_fn_high
0,custom_industrial_policy,clahe,strength,0.0,0.04,recall_low_or_fn_high
0,custom_industrial_policy,gamma,prob,0.0,0.05,recall_low_or_fn_high
0,custom_industrial_policy,gamma,strength,0.0,0.04,recall_low_or_fn_high
0,custom_industrial_policy,sharpen_mild,prob,0.0,0.05,recall_low_or_fn_high
0,custom_industrial_policy,sharpen_mild,strength,0.0,0.04,recall_low_or_fn_high
0,official_yolo_aug,hsv_v,value,0.43000000000000005,0.39000000000000007,precision_low_or_fp_high
0,custom_industrial_policy,clahe,prob,0.05,0.010000000000000002,precision_low_or_fp_high
0,custom_industrial_policy,clahe,strength,0.04,0.010000000000000002,precision_low_or_fp_high
0,custom_industrial_policy,gamma,prob,0.05,0.010000000000000002,precision_low_or_fp_high
0,custom_industrial_policy,gamma,strength,0.04,0.010000000000000002,precision_low_or_fp_high
0,official_yolo_aug,erasing,value,0.4,0.44,precision_low_hard_negative_like
0,custom_industrial_policy,cutout_safe,prob,0.0,0.04,precision_low_hard_negative_like
0,custom_industrial_policy,cutout_safe,strength,0.0,0.03,precision_low_hard_negative_like
0,custom_industrial_policy,clahe,prob,0.010000000000000002,0.060000000000000005,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,clahe,strength,0.010000000000000002,0.05,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,gamma,prob,0.010000000000000002,0.060000000000000005,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,gamma,strength,0.010000000000000002,0.05,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,local_contrast,prob,0.0,0.05,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,local_contrast,strength,0.0,0.04,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,sharpen_mild,prob,0.05,0.1,low_contrast_fn_high_monitor_fp
0,custom_industrial_policy,sharpen_mild,strength,0.04,0.08,low_contrast_fn_high_monitor_fp
1,official_yolo_aug,hsv_v,value,0.39000000000000007,0.4050000000000001,recall_low_or_fn_high
1,official_yolo_aug,translate,value,0.11,0.115,recall_low_or_fn_high
1,official_yolo_aug,scale,value,0.55,0.5750000000000001,recall_low_or_fn_high
1,custom_industrial_policy,clahe,prob,0.060000000000000005,0.085,recall_low_or_fn_high
1,custom_industrial_policy,clahe,strength,0.05,0.07,recall_low_or_fn_high
1,custom_industrial_policy,gamma,prob,0.060000000000000005,0.085,recall_low_or_fn_high
1,custom_industrial_policy,gamma,strength,0.05,0.07,recall_low_or_fn_high
1,custom_industrial_policy,sharpen_mild,prob,0.1,0.125,recall_low_or_fn_high
1,custom_industrial_policy,sharpen_mild,strength,0.08,0.1,recall_low_or_fn_high
1,official_yolo_aug,hsv_v,value,0.4050000000000001,0.3650000000000001,precision_low_or_fp_high
1,custom_industrial_policy,clahe,prob,0.085,0.045000000000000005,precision_low_or_fp_high
1,custom_industrial_policy,clahe,strength,0.07,0.04000000000000001,precision_low_or_fp_high
1,custom_industrial_policy,gamma,prob,0.085,0.045000000000000005,precision_low_or_fp_high
1,custom_industrial_policy,gamma,strength,0.07,0.04000000000000001,precision_low_or_fp_high
1,custom_industrial_policy,local_contrast,prob,0.05,0.010000000000000002,precision_low_or_fp_high
1,custom_industrial_policy,local_contrast,strength,0.04,0.010000000000000002,precision_low_or_fp_high
1,official_yolo_aug,erasing,value,0.44,0.48,precision_low_hard_negative_like
1,custom_industrial_policy,cutout_safe,prob,0.04,0.08,precision_low_hard_negative_like
1,custom_industrial_policy,cutout_safe,strength,0.03,0.06,precision_low_hard_negative_like
1,official_yolo_aug,translate,value,0.115,0.095,map50_high_map95_low_reduce_geometry
1,official_yolo_aug,scale,value,0.5750000000000001,0.525,map50_high_map95_low_reduce_geometry
1,official_yolo_aug,mosaic,value,1.0,0.9,map50_high_map95_low_reduce_mosaic
1,custom_industrial_policy,sharpen_mild,prob,0.125,0.175,map50_high_map95_low
1,custom_industrial_policy,sharpen_mild,strength,0.1,0.14,map50_high_map95_low
1,custom_industrial_policy,local_contrast,prob,0.010000000000000002,0.060000000000000005,map50_high_map95_low
1,custom_industrial_policy,local_contrast,strength,0.010000000000000002,0.05,map50_high_map95_low
1,custom_industrial_policy,clahe,prob,0.045000000000000005,0.07,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,clahe,strength,0.04000000000000001,0.06000000000000001,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,gamma,prob,0.045000000000000005,0.07,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,gamma,strength,0.04000000000000001,0.06000000000000001,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,local_contrast,prob,0.060000000000000005,0.085,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,local_contrast,strength,0.05,0.07,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,sharpen_mild,prob,0.175,0.19999999999999998,low_contrast_fn_high_monitor_fp
1,custom_industrial_policy,sharpen_mild,strength,0.14,0.16,low_contrast_fn_high_monitor_fp
2,official_yolo_aug,hsv_v,value,0.3650000000000001,0.3800000000000001,recall_low_or_fn_high
2,official_yolo_aug,translate,value,0.095,0.1,recall_low_or_fn_high
2,official_yolo_aug,scale,value,0.525,0.55,recall_low_or_fn_high
2,custom_industrial_policy,clahe,prob,0.07,0.095,recall_low_or_fn_high
2,custom_industrial_policy,clahe,strength,0.06000000000000001,0.08000000000000002,recall_low_or_fn_high
2,custom_industrial_policy,gamma,prob,0.07,0.095,recall_low_or_fn_high
2,custom_industrial_policy,gamma,strength,0.06000000000000001,0.08000000000000002,recall_low_or_fn_high
2,custom_industrial_policy,sharpen_mild,prob,0.19999999999999998,0.22499999999999998,recall_low_or_fn_high
2,custom_industrial_policy,sharpen_mild,strength,0.16,0.18,recall_low_or_fn_high
2,official_yolo_aug,hsv_v,value,0.3800000000000001,0.34000000000000014,precision_low_or_fp_high
2,custom_industrial_policy,clahe,prob,0.095,0.055,precision_low_or_fp_high
2,custom_industrial_policy,clahe,strength,0.08000000000000002,0.05000000000000002,precision_low_or_fp_high
2,custom_industrial_policy,gamma,prob,0.095,0.055,precision_low_or_fp_high
2,custom_industrial_policy,gamma,strength,0.08000000000000002,0.05000000000000002,precision_low_or_fp_high
2,custom_industrial_policy,local_contrast,prob,0.085,0.045000000000000005,precision_low_or_fp_high
