epoch,op,field,before,after,reason
5,clahe,prob,0.0,0.04,recall_low_or_fn_high
5,clahe,strength,0.0,0.03,recall_low_or_fn_high
5,gamma,prob,0.0,0.04,recall_low_or_fn_high
5,gamma,strength,0.0,0.03,recall_low_or_fn_high
5,sharpen_mild,prob,0.0,0.04,recall_low_or_fn_high
5,sharpen_mild,strength,0.0,0.03,recall_low_or_fn_high
5,local_contrast,prob,0.0,0.04,recall_low_or_fn_high
5,local_contrast,strength,0.0,0.03,recall_low_or_fn_high
5,brightness,prob,0.0,0.03,recall_low_brightness_like
5,brightness,strength,0.0,0.02,recall_low_brightness_like
5,brightness,prob,0.03,0.0,precision_low_or_fp_high
5,brightness,strength,0.02,0.0,precision_low_or_fp_high
5,clahe,prob,0.04,0.010000000000000002,precision_low_or_fp_high
5,clahe,strength,0.03,0.009999999999999998,precision_low_or_fp_high
5,gamma,prob,0.04,0.010000000000000002,precision_low_or_fp_high
5,gamma,strength,0.03,0.009999999999999998,precision_low_or_fp_high
5,cutout_safe,prob,0.0,0.03,precision_low_hard_negative_like
5,cutout_safe,strength,0.0,0.02,precision_low_hard_negative_like
5,clahe,prob,0.010000000000000002,0.05,low_contrast_fn_high_monitor_fp
5,clahe,strength,0.009999999999999998,0.039999999999999994,low_contrast_fn_high_monitor_fp
5,gamma,prob,0.010000000000000002,0.05,low_contrast_fn_high_monitor_fp
5,gamma,strength,0.009999999999999998,0.039999999999999994,low_contrast_fn_high_monitor_fp
5,local_contrast,prob,0.04,0.08,low_contrast_fn_high_monitor_fp
5,local_contrast,strength,0.03,0.06,low_contrast_fn_high_monitor_fp
5,sharpen_mild,prob,0.04,0.08,low_contrast_fn_high_monitor_fp
5,sharpen_mild,strength,0.03,0.06,low_contrast_fn_high_monitor_fp
