epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.492,1.5387,8.49932,1.23856,0.88738,0.16994,0.18619,0.12547,1.34563,2.18502,1.12959,0.00019583,0.00019583,0.00019583
2,497.951,1.47434,5.92933,1.2148,0.80316,0.24903,0.27033,0.16434,1.35566,1.89672,1.16993,0.000353039,0.000353039,0.000353039
3,739.366,1.44353,4.29712,1.19465,0.60235,0.33706,0.34405,0.21123,1.34619,1.62882,1.14844,0.000471439,0.000471439,0.000471439
4,978.42,1.42744,3.22475,1.19322,0.55276,0.35733,0.36014,0.22455,1.27519,1.74005,1.13937,0.000413364,0.000413364,0.000413364
5,1219.7,1.35139,2.43285,1.1568,0.70451,0.36569,0.38283,0.23856,1.2427,1.56459,1.09745,0.000355152,0.000355152,0.000355152
6,1550.88,1.29804,2.09436,1.12101,0.63811,0.41346,0.43169,0.27982,1.20303,1.36203,1.0786,0.00029694,0.00029694,0.00029694
7,1802.2,1.23002,1.79584,1.09235,0.75055,0.43375,0.48307,0.30659,1.17648,1.37923,1.06858,0.000238728,0.000238728,0.000238728
8,2052.47,1.1634,1.61051,1.05598,0.66698,0.49557,0.50468,0.33402,1.13448,1.27785,1.05701,0.000180516,0.000180516,0.000180516
9,2304.33,1.15168,1.51953,1.05409,0.70142,0.43641,0.53268,0.35234,1.09672,1.22642,1.03961,0.000122304,0.000122304,0.000122304
10,2558.39,1.10633,1.39377,1.03616,0.72819,0.44715,0.54762,0.3681,1.09215,1.12835,1.04,6.4092e-05,6.4092e-05,6.4092e-05
