epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,265.942,1.50894,8.37618,1.21768,0.58646,0.17093,0.1505,0.09528,1.38971,2.65099,1.14191,0.00019583,0.00019583,0.00019583
2,519.454,1.46017,6.588,1.21363,0.71381,0.27528,0.27562,0.17262,1.34776,2.04446,1.18865,0.000384071,0.000384071,0.000384071
3,769.955,1.44841,5.15787,1.22267,0.74216,0.32926,0.33671,0.19881,1.33164,1.76592,1.21146,0.000564552,0.000564552,0.000564552
4,1020.25,1.42577,3.97495,1.18971,0.67911,0.28812,0.42979,0.25887,1.34726,1.77009,1.20657,0.000553073,0.000553073,0.000553073
5,1269.23,1.37468,3.01474,1.18803,0.70194,0.32375,0.41998,0.2528,1.31309,1.90745,1.20519,0.00054143,0.00054143,0.00054143
6,1609.96,1.30387,2.55177,1.14733,0.72375,0.31778,0.41063,0.24889,1.28951,1.50464,1.19219,0.000529788,0.000529788,0.000529788
7,1867.05,1.34386,2.25384,1.18159,0.64797,0.37754,0.43554,0.27451,1.29027,1.45582,1.19163,0.000518146,0.000518146,0.000518146
8,2118.13,1.28837,1.9111,1.14531,0.60863,0.42579,0.5002,0.30735,1.27603,1.65953,1.18367,0.000506503,0.000506503,0.000506503
9,2366.15,1.27861,1.76061,1.14521,0.52815,0.40563,0.42978,0.26201,1.23488,1.40585,1.16605,0.000494861,0.000494861,0.000494861
10,2613.91,1.26864,1.63747,1.13621,0.68749,0.3918,0.44448,0.26733,1.26194,1.35822,1.17624,0.000483218,0.000483218,0.000483218
11,2942.31,1.22754,1.51419,1.12059,0.53253,0.50027,0.51676,0.32389,1.18283,1.24028,1.14886,0.000471576,0.000471576,0.000471576
12,3196.51,1.22574,1.42452,1.11459,0.50324,0.53207,0.47836,0.29532,1.24297,1.39247,1.17875,0.000459934,0.000459934,0.000459934
13,3452.67,1.219,1.40794,1.11805,0.57434,0.5199,0.50005,0.31018,1.21444,1.2976,1.13574,0.000448291,0.000448291,0.000448291
14,3707.52,1.1999,1.30038,1.10767,0.60447,0.51276,0.53465,0.3388,1.19177,1.20985,1.14653,0.000436649,0.000436649,0.000436649
15,3962.72,1.16558,1.30149,1.08307,0.68122,0.49952,0.52598,0.32238,1.19782,1.14346,1.15019,0.000425006,0.000425006,0.000425006
16,4301.81,1.14152,1.21016,1.07713,0.47056,0.55863,0.5255,0.31995,1.20269,1.17054,1.14528,0.000413364,0.000413364,0.000413364
17,4567.96,1.18033,1.1526,1.09706,0.5127,0.58048,0.5745,0.35199,1.19401,1.08257,1.13133,0.000401722,0.000401722,0.000401722
18,4831.7,1.15198,1.17753,1.09006,0.53555,0.58561,0.59048,0.37205,1.17637,1.07868,1.14304,0.000390079,0.000390079,0.000390079
19,5096.27,1.13696,1.14965,1.07418,0.54209,0.60933,0.59915,0.36905,1.17568,1.10047,1.13051,0.000378437,0.000378437,0.000378437
20,5360.49,1.14613,1.09194,1.08255,0.59455,0.61724,0.61935,0.4041,1.20609,1.06733,1.1532,0.000366794,0.000366794,0.000366794
21,5711.66,1.10814,1.03885,1.06495,0.64243,0.60428,0.60503,0.38487,1.17737,1.14513,1.15039,0.000355152,0.000355152,0.000355152
22,5986.59,1.0919,1.04053,1.05228,0.57471,0.62074,0.63856,0.38845,1.18525,1.03591,1.13862,0.00034351,0.00034351,0.00034351
23,6263.07,1.08425,0.97923,1.03578,0.59074,0.70128,0.65858,0.44042,1.15808,1.03505,1.12471,0.000331867,0.000331867,0.000331867
24,6538.79,1.08046,0.98211,1.05436,0.59422,0.58852,0.64289,0.42073,1.14892,1.02849,1.12616,0.000320225,0.000320225,0.000320225
25,6815.12,1.08943,1.01876,1.05372,0.61061,0.68228,0.6592,0.42701,1.15692,1.05234,1.12341,0.000308582,0.000308582,0.000308582
26,7172.38,1.06241,0.94636,1.03433,0.72532,0.5932,0.63747,0.41538,1.14724,0.97935,1.12857,0.00029694,0.00029694,0.00029694
27,7456.8,1.06987,0.92924,1.04415,0.64856,0.63162,0.66732,0.4114,1.14888,0.98408,1.12442,0.000285298,0.000285298,0.000285298
